SWRCB_name,AGENCYUNIQ,Hydrologic Region
San Bruno  City of,2157,San Francisco Bay
San Buenaventura  City of,2158,South Coast
San Clemente  City of,2159,South Coast
San Diego  City of,2160,South Coast
San Dieguito Water District,2162,South Coast
San Fernando  City of,2163,South Coast
San Francisco Public Utilities Commission,2164,San Francisco Bay
San Gabriel County Water District,,South Coast
San Gabriel Valley Fontana Water Company,,South Coast
San Gabriel Valley Water Company,2167,South Coast
San Jacinto  City of,2169,South Coast
San Jose  City of,,San Francisco Bay
San Jose Water Company,2175,San Francisco Bay
San Juan Capistrano  City of,2177,South Coast
San Juan Water District,2179,Sacramento River
San Lorenzo Valley Water District,2180,Central Coast
San Luis Obispo  City of,2182,Central Coast
Sanger  City of,2205,Tulare Lake
Santa Ana  City of,2207,South Coast
Santa Barbara  City of,2209,Central Coast
Santa Clara  City of,2210,San Francisco Bay
Santa Cruz  City of,2213,Central Coast
Santa Fe Irrigation District,2214,South Coast
Santa Fe Springs  City of,2215,South Coast
Santa Margarita Water District,2217,South Coast
Santa Maria  City of,2218,Central Coast
Santa Monica  City of,2220,South Coast
Santa Paula  City of,2222,South Coast
Santa Rosa  City of,2224,North Coast
Scotts Valley Water District,2237,Central Coast
Seal Beach  City of,2241,South Coast
Shafter  City of,2260,Tulare Lake
Shasta Lake  City of,,Sacramento River
Sierra Madre  City of,2290,South Coast
"Soledad, City of",2323,Central Coast
Sonoma  City of,2326,San Francisco Bay
Soquel Creek Water District,2330,Central Coast
South Coast Water District,2334,South Coast
South Feather Water and Power Agency,2337,Sacramento River
South Gate  City of,2341,South Coast
South Pasadena  City of,2345,South Coast
South Tahoe Public Utilities District,2348,North Lahontan
Stockton  City of,2381,San Joaquin River
Suburban Water Systems San Jose Hills,2401,South Coast
Suburban Water Systems Whittier/La Mirada,2402,South Coast
Suisun-Solano Water Authority,,San Francisco Bay
Sunny Slope Water Company,2419,South Coast
Sunnyslope County Water District,2424,Central Coast
Sunnyvale  City of,2425,San Francisco Bay
Susanville  City of,2432,North Lahontan
Sweetwater Authority,2437,South Coast
Sweetwater Springs Water District,,North Coast
Tahoe City Public Utilities District,,North Lahontan
"Tehachapi, City of",2451,Tulare Lake
Thousand Oaks  City of,2469,South Coast
Torrance  City of,2487,South Coast
Trabuco Canyon Water District,2490,South Coast
Tracy  City of,4699,San Joaquin River
Triunfo Sanitation District / Oak Park Water Service,2510,South Coast
Truckee-Donner Public Utilities District,2512,North Lahontan
"Tulare, City of",2516,Tulare Lake
Tuolumne Utilities District,2523,San Joaquin River
Turlock  City of,2524,San Joaquin River
Tustin  City of,2528,South Coast
Twentynine Palms Water District,2530,Colorado River
Ukiah  City of,2536,North Coast
Upland  City of,2541,South Coast
Vacaville  City of,2597,Sacramento River
Valencia Water Company,2601,South Coast
Vallecitos Water District,2602,South Coast
Vallejo  City of,2603,San Francisco Bay
Valley Center Municipal Water District,2604,South Coast
Valley County Water District,2605,South Coast
Valley of the Moon Water District,2610,San Francisco Bay
Valley Water Company,2618,South Coast
Vaughn Water Company,2626,Tulare Lake
Ventura County Waterworks District No 1,2629,South Coast
Ventura County Waterworks District No. 8,2631,South Coast
Vernon  City of,2633,South Coast
Victorville Water District,2635,South Lahontan
Vista Irrigation District,2649,South Coast
Walnut Valley Water District,2661,South Coast
Wasco  City of,2662,Tulare Lake
Watsonville  City of,2669,Central Coast
West Kern Water District,2679,Tulare Lake
West Sacramento  City of,2683,Sacramento River
West Valley Water District,2690,South Coast
Westborough Water District,2691,San Francisco Bay
Western Municipal Water District of Riverside,2697,South Coast
Westminster  City of,2704,South Coast
Whittier  City of,2723,South Coast
"Windsor, Town of",2751,North Coast
Winton Water & Sanitary District,2757,San Joaquin River
Woodland  City of,2766,Sacramento River
Yorba Linda Water District,2782,South Coast
"Yreka, City of",2789,North Coast
Yuba City  City of,2790,Sacramento River
Yucaipa Valley Water District,2793,South Coast
