School,Grade,Housing Status,Adult Household,EL,Special Ed.,Services,Living Status,year,GT,greater_than_four
Cypress,K,in a foster care,2 parents,,,,,2010-2011,,
Chaparral,2,> 1 family,1 parent,,,,,2010-2011,,
Randall Pepper,3,> 1 family,2 parents,,,,,2010-2011,,
Cypress,5,> 1 family,1 parent,,,,,2010-2011,,
Kaiser H.S.,11,>1 family,1 parent,,,,,2010-2011,,
Alder,8,> 1 family,1 parent & another adult,,,,,2010-2011,,
Redwood,6,> 1 family,2 parents,,,,,2010-2011,,
Cypress,5,> 1 family,1 parent,,,,,2010-2011,,
S. Tamarind,2,friends or family,2 parents,,,,,2010-2011,,
S. Tamarind,K,friends or family,2 parents,,,,,2010-2011,,
Almeria,8,> 1 family,1 parent,,,,,2010-2011,,
Canyon Crest,3,> 1 family,2 parents,,,,,2010-2011,,
Palmetto,1,> 1 family,1 parent,,,,,2010-2011,,
Oleander,3,> 1 family,1 parent & another adult,,,,,2010-2011,,
Truman,8,> 1 family,2 parents,,,,,2010-2011,,
Juniper,3,motel,2 parents,,,,,2010-2011,,
Truman,8,> 1 family,1 parent & another adult,,,,,2010-2011,,
Truman,7,> 1 family,1 parent & another adult,,,,,2010-2011,,
Palmetto,2,> 1 family,1 parent & another adult,,,,,2010-2011,,
A.B. Miller,12,group home,unknown,,,,,2010-2011,,
Cypress,3,> 1 family,2 parents,,,,,2010-2011,,
A.B. Miller,10,friends or family,2 parents,,,,,2010-2011,,
Ruble,8,> 1 family,2 parents,,,,,2010-2011,,
Oleander,2,> 1 family,1 parent & another adult,,,,,2010-2011,,
Mango,1,> 1 family,1 parent,,,,,2010-2011,,
Redwood,5,>1 family,2 parents,,,,,2010-2011,,
Almeria,8,Other,2 parents,,,,,2010-2011,,
Kaiser H.S.,10,>1 family,2 parents,,,,,2010-2011,,
Cypress,K,Other,2 parents,,,,,2010-2011,,
Summit,9,> 1 family,1 parent,,,,,2010-2011,,
Sierra Lakes,K,>1 family,2 parents,,,,,2010-2011,,
Ruble,8,other,1 parent,,,,,2010-2011,,
Truman,7,> 1 family,1 parent,,,,,2010-2011,,
Locust,1,> 1 family,unknown,,,,,2010-2011,,
Redwood,6,> 1 family,2 parents,,,,,2010-2011,,
Poplar,1,> 1 family,2 parents,,,,,2010-2011,,
Randall Pepper,3,friends or family,relative/another adult,,,,,2010-2011,,
Live Oak,K,> 1 family,1 parent & another adult,,,,,2010-2011,,
Jurupa,9,> 1 family,1 parent,,,,,2010-2011,,
Beech,5,> 1 family,1 parent,,,,,2010-2011,,
Beech,1,> 1 family,1 parent,,,,,2010-2011,,
Southridge,6,friends or family,1 parent,,,,,2010-2011,,
Chaparral,4,friends or family,1 parent,,Yes,,,2010-2011,,
Redwood,5,in a foster care,relative/another adult,,,,,2010-2011,,
Redwood,K,> 1 family,2 parents,,,,,2010-2011,,
Jurupa,9,friends or family,1 parent & another adult,,,,,2010-2011,,
Kaiser H.S.,12,friends or family,2 parents,,,,,2010-2011,,
Jurupa,9,> 1 family,2 parents,,,,,2010-2011,,
West Randall,5,> 1 family,2 parents,,,,,2010-2011,,
West Randall,5,> 1 family,2 parents,,,,,2010-2011,,
Juniper,3,Other,1 parent & another adult,,,,,2010-2011,,
Fontana M.S.,6,> 1 family,1 parent,,,,,2010-2011,,
Randall Pepper,1,> 1 family,1 parent & another adult,,,,,2010-2011,,
Jurupa,10,> 1 family, 1 parent,,,,,2010-2011,,
Jurupa,8,> 1 family ,2 parents,,,,,2010-2011,,
Alder,8,> 1 family,1 parent,,,,,2010-2011,,
Oak Park,5,> 1 family,2 parents,,,,,2010-2011,,
Juniper,5,>1 family,1 parent,,,,,2010-2011,,
Oak Park,1,> 1 family,2 parents,,,,,2010-2011,,
Sierra Lakes,4,>1 family,1 Parent,,,,,2010-2011,,
Sierra Lakes,K,>1 family,1 parent,,,,,2010-2011,,
