School,Grade,Housing Status,Adult Household,EL,Special Ed.,Services,Living Status,year,GT,greater_than_four
Redwood,4,> 1 fam.,1 parent & another adult ,,x,,,2015-2016,,
Grant,K,> 1 fam.,1 parent,,,,,2015-2016,,
Jurupa ,9,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Mango,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
FMS,7,> 1 fam.,1 parent,,,,,2015-2016,,
Jurupa ,10,in a group home,"relative, friend, or another",,,,,2015-2016,,
Kaiser,11,in a group home ,unknown,,,,,2015-2016,,
Date,5,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Date,4,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
FMS,6,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Alder,8,> 1 fam.,1 parent,,,,,2015-2016,,
Miller,9,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Birch,11,> 1 fam.,2 parents,,,,,2015-2016,,
Maple,2,> 1 fam.,2 parents,,,,,2015-2016,,
Maple,4,> 1 fam.,2 parents,,,,,2015-2016,,
Maple,K,> 1 fam.,2 parents,,,,,2015-2016,,
Fohi,10,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
S. Tamarind,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Citrus,K,> 1 fam.,1 parent,,,,,2015-2016,,
Tokay,PK,> 1 fam.,2 parents,,,,,2015-2016,,
Juniper,2,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Juniper,2,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Jurupa,9,> 1 fam.,1 parent,,,,,2015-2016,,
Kaiser,10,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Sequoia,8,> 1 fam.,1 parent,,,,,2015-2016,,
Binks,4,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Summit,10,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Shadow H.,3,> 1 fam.,1 parent,,,,,2015-2016,,
Ruble,6,> 1 fam.,1 parent,,,,,2015-2016,,
Binks,4,> 1 fam.,1 parent,,,,,2015-2016,,
Binks,1,> 1 fam.,1 parent,,,,,2015-2016,,
Tokay,TK,> 1 fam.,2 parents,,,,,2015-2016,,
FMS,8,> 1 fam.,2 parents,,,,,2015-2016,,
Almond,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Redwood,K,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Sierra Lakes,5,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Sierra Lakes,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Mango,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Kaiser,10,> 1 fam.,1 parent,,,,,2015-2016,,
SRMS,8,in a foster care,2 parents,,,,,2015-2016,,
C. Crest,K,in a foster care,2 parents,,,,,2015-2016,,
SRMS,7,in a foster care,2 parents,,,,,2015-2016,,
Oleander,4,in a foster care,2 parents,,,,,2015-2016,,
Fohi,9,> 1 fam.,1 parent,,,,,2015-2016,,
Chaparral,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Shadow H.,4,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Fohi,11,"in a car, trailer park, ",1 parent,,,,,2015-2016,,
Shadow H.,5,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Chaparral,2,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
SRMS,6,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Poplar,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
S. Tamarind,K,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
S. Tamarind,5,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Alder,8,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
W. Randall,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Mango,2,> 1 fam.,2 parents,,,,,2015-2016,,
Almeria,7,> 1 fam.,2 parents,,,,,2015-2016,,
Ruble,7,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Jurupa,11,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
Chaparral,1,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Chaparral,3,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Primrose,1,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Sequoia,7,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Summit,9,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Almond,5,> 1 fam.,2 parents,,,,,2015-2016,,
Citrus H.S.,12,> 1 fam.,2 parents,,,,,2015-2016,,
Live Oak,K,> 1 fam.,unknown,,,,,2015-2016,,
Kaiser,12,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Redwood,1,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Miller,11,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
Miller,11,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
FUSD NPS,7,in a foster care,"relative, friend, or another",,x,,,2015-2016,,
FMS,8,> 1 fam.,1 parent,,,,,2015-2016,,
Locust,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Citrus,1,> 1 fam.,2 parents,,,,,2015-2016,,
Shadow H.,3,> 1 fam.,1 parent,,,,,2015-2016,,
Shadow H.,4,> 1 fam.,1 parent,,,,,2015-2016,,
Kaiser,10,> 1 fam.,1 parent,,,,,2015-2016,,
Jurupa,9,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Citrus H.S.,12,in a group home,unknown,,,,,2015-2016,,
Cypress,K,> 1 fam.,1 parent,,,,,2015-2016,,
FMS,7,> 1 fam.,2 parents,,,,,2015-2016,,
Oleander,5,> 1 fam.,2 parents,,,,,2015-2016,,
Truman,7,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Poplar,2,in a foster care,2 parents,,,,,2015-2016,,
Poplar,2,in a foster care,2 parents,,,,,2015-2016,,
Almond,1,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Kaiser,11,in a group home,unknown,,,,,2015-2016,,
Alder,6,> 1 fam.,unknown,,,,,2015-2016,,
Miller,9,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Poplar,2,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Maple,5,> 1 fam.,unknown,,,,,2015-2016,,
Alder,6,> 1 fam.,1 parent,,,,,2015-2016,,
Cypress,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Summit,11,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Sierra Lakes,K,> 1 fam.,2 parents,,,,,2015-2016,,
Fohi,10,> 1 fam.,1 parent,,,,,2015-2016,,
Shadow H.,5,> 1 fam.,1 parent,,,,,2015-2016,,
Shadow H.,3,> 1 fam.,1 parent,,x,,,2015-2016,,
Shadow H.,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
Palmetto,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Jurupa,10,in a foster care,1 parent,,,,,2015-2016,,
Citrus,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Cypress,PK,"in a car, trailer park, ",unknown,,,,,2015-2016,,Yes
FMS,6,> 1 fam.,1 parent,,,,,2015-2016,,
N. Tamarind,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Date,3,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Date,4,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
W. Randall,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Jurupa,10,> 1 fam.,2 parents,,x,,,2015-2016,,
Jurupa,9,> 1 fam.,2 parents,,,,,2015-2016,,
Shadow H.,1,> 1 fam.,1 parent,,,,,2015-2016,,
Sequoia,7,in a foster care,1 parent & another adult,,,,,2015-2016,,
Locust,2,> 1 fam.,2 parents,,,,,2015-2016,,
Locust,5,> 1 fam.,2 parents,,,,,2015-2016,,
Locust,4,> 1 fam.,2 parents,,,,,2015-2016,,
Date,2,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Miller,10,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Live Oak,K,> 1 fam.,1 parent,,,,,2015-2016,,
S. Tamarind,K,> 1 fam.,1 parent,,,,,2015-2016,,
SRMS,7,> 1 fam.,2 parents,,,,,2015-2016,,
Birch,11,> 1 fam.,2 parents,,,,,2015-2016,,
Redwood,6,> 1 fam.,2 parents,,,,,2015-2016,,
Live Oak,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Fohi,10,> 1 fam.,1 parent,,,,,2015-2016,,
Jurupa,11,> 1 fam.,2 parents,,,,,2015-2016,,
Jurupa,9,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
C. Crest,1,> 1 fam.,2 parents,,,,,2015-2016,,
C. Crest,4,> 1 fam.,2 parents,,,,,2015-2016,,
Citrus,K,> 1 fam.,2 parents,,,,,2015-2016,,
Birch,12,> 1 fam.,2 parents,,,,,2015-2016,,
S. Tamarind,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Jurupa,12,> 1 fam.,1 parent,,x,,,2015-2016,,
Date,5,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Date,3,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Ruble,6,in a motel or hotel,1 parent & another adult,,,,,2015-2016,,
Truman,8,> 1 fam.,2 parents,,,,,2015-2016,,
R. Pepper,5,> 1 fam.,2 parents,,,,,2015-2016,,
Oleander,K,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
FMS,6,> 1 fam.,1 parent,,,,,2015-2016,,
Primrose,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
S. Tamarind,4,> 1 fam.,1 parent,,,,,2015-2016,,
S. Tamarind,3,> 1 fam.,1 parent,,,,,2015-2016,,
Redwood,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
FMS,7,> 1 fam.,1 parent,,,,,2015-2016,,
Date,2,> 1 fam.,1 parent,,,,,2015-2016,,
FMS,8,> 1 fam.,1 parent,,,,,2015-2016,,
Kaiser,11,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Palmetto,1,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
S. Tamarind,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Beech Ave.,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Truman,8,in a group home,"relative, friend, or another",,x,,,2015-2016,,
Grant,3,> 1 fam.,2 parents,,,,,2015-2016,,
Almeria,8,> 1 fam.,2 parents,,,,,2015-2016,,
Summit,9,in a foster care,2 parents,,,,,2015-2016,,
Shadow H.,K,> 1 fam.,1 parent,,,,,2015-2016,,
Redwood,K,in a foster care,2 parents,,,,,2015-2016,,
Grant,2,in a foster care,2 parents,,,,,2015-2016,,
Palmetto,K,> 1 fam.,2 parents,,,,,2015-2016,,
R. Pepper,1,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Live Oak,3,in a foster care,2 parents,,,,,2015-2016,,
Live Oak,K,in a foster care,2 parents,,,,,2015-2016,,
Live Oak,2,in a foster care,2 parents,,,,,2015-2016,,
Kaiser,12,in a group home,unknown,,,,,2015-2016,,
Sequoia,8,> 1 fam.,1 parent,,,,,2015-2016,,
Citrus,K,> 1 fam.,2 parents,,,,,2015-2016,,
W. Randall,TK,> 1 fam.,2 parents,,,,,2015-2016,,
FMS,6,in a foster care,1 parent,,,,,2015-2016,,
Jurupa ,11,> 1 fam.,2 parents,,,,,2015-2016,,
Oak Park,3,in a foster care,1 parent,,,,,2015-2016,,
R. Pepper,5,> 1 fam.,2 parents,,,,,2015-2016,,
R. Pepper,1,> 1 fam.,2 parents,,,,,2015-2016,,
Beech Ave.,4,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Maple,4,> 1 fam.,1 parent,,,,,2015-2016,,
Fohi,10,> 1 fam.,1 parent,,,,,2015-2016,,
N. Tamarind,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Shadow H.,5,> 1 fam.,2 parents,,,,,2015-2016,,
Hemlock,2,in a foster care,2 parents,,,,,2015-2016,,
Hemlock,3,in a foster care,2 parents,,,,,2015-2016,,
Sequoia,8,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Miller,11,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
FMS,6,> 1 fam.,2 parents,,,,,2015-2016,,
Citrus H.S.,12,> 1 fam.,2 parents,,,,,2015-2016,,
N. Tamarind,3,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
C. Crest,4,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
Jurupa ,10,> 1 fam.,1 parent,,,,,2015-2016,,
Kaiser,11,in a group home,unknown,,,,,2015-2016,,
Beech Ave.,K,> 1 fam.,2 parents,,,,,2015-2016,,
Maple,TK,> 1 fam.,2 parents,,,,,2015-2016,,
Hemlock,K,> 1 fam.,2 parents,,,,,2015-2016,,
Citrus,K,temp. w/friends or fam.,2 parents,,x,,,2015-2016,,
Live Oak,K,> 1 fam.,2 parents,,,,,2015-2016,,
Almond,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
Alder,7,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Alder,6,> 1 fam.,2 parents,,,,,2015-2016,,
Almond,K,in a motel or hotel,2 parents,,,,,2015-2016,,
R. Pepper,1,> 1 fam.,2 parents,,,,,2015-2016,,
Shadow H.,1,> 1 fam.,2 parents,,,,,2015-2016,,
Jurupa ,12,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Citrus,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
FMS,8,> 1 fam.,1 parent,,,,,2015-2016,,
FMS,6,temp. w/friends or fam.,2 parents,,x,,,2015-2016,,
Jurupa,10,> 1 fam.,2 parents,,,,,2015-2016,,
Jurupa,9,> 1 fam.,1 parent,,,,,2015-2016,,
Fohi,9,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Fohi,9,> 1 fam.,1 parent,,,,,2015-2016,,
Fohi,11,in a foster care,unknown,,,,,2015-2016,,
W. Randall,1,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
R. Pepper,PK,in a foster care,unknown,,,,,2015-2016,,Yes
Alder,8,> 1 fam.,unknown,,x,,,2015-2016,,
Cypress,5,in a foster care,2 parents,,x,,,2015-2016,,
Cypress,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Maple,3,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
N. Tamarind,EC,in a foster care,2 parents,,,,,2015-2016,,Yes
Primrose,K,temp. w/friends or fam.,2 parents,,x,,,2015-2016,,
Primrose,K,> 1 fam.,1 parent,,,,,2015-2016,,
Alder,6,in a foster care,1 parent,,,,,2015-2016,,
Fohi,9,> 1 fam.,2 parents,,,,,2015-2016,,
R. Pepper,5,> 1 fam.,2 parents,,,,,2015-2016,,
S. Tamarind,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
S. Tamarind,K,in a foster care,2 parents,,,,,2015-2016,,
S. Tamarind,K,> 1 fam.,1 parent,,,,,2015-2016,,
Hemlock,K,> 1 fam.,1 parent,,,,,2015-2016,,
Jurupa,9,> 1 fam.,2 parents,,,,,2015-2016,,
Cypress,2,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Citrus H.S.,10,> 1 fam.,2 parents,,,,,2015-2016,,
Palmetto,1,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Chaparral,5,> 1 fam.,1 parent,,,,,2015-2016,,
Poplar,2,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Kaiser,10,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Jurupa,11,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Almeria,6,temp. w/friends or fam.,2 parents,,x,,,2015-2016,,
Tokay,1,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
FUSD,4,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Poplar,2,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Truman,7,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
SRMS,8,temp. w/friends or fam.,1 parent & another adult,,x,,,2015-2016,,
Fohi,10,> 1 fam.,1 parent,,,,,2015-2016,,
Jurupa,10,> 1 fam.,1 parent,,,,,2015-2016,,
Porter,2,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Oleander,4,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Sierra Lakes,1,in a foster care,2 parents,,,,,2015-2016,,
Sierra Lakes,3,in a foster care,2 parents,,,,,2015-2016,,
W. Randall,K,> 1 fam.,1 parent,,,,,2015-2016,,
Cypress,1,> 1 fam.,1 parent,,,,,2015-2016,,
Palmetto,1,> 1 fam.,1 parent,,,,,2015-2016,,
Palmetto,4,> 1 fam.,1 parent,,,,,2015-2016,,
Alder,8,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Maple,3,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Ruble,8,> 1 fam.,1 parent,,,,,2015-2016,,
Miller,10,> 1 fam.,1 parent,,,,,2015-2016,,
Juniper,EC,> 1 fam.,1 parent & another adult,,,,,2015-2016,,Yes
Redwood,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Oleander,5,> 1 fam.,unknown,,,,,2015-2016,,
Oleander,K,> 1 fam.,1 parent,,,,,2015-2016,,
C. Crest,K,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Date,K,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
FMS,7,> 1 fam.,2 parents,,,,,2015-2016,,
Live Oak,1,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Locust,K,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
Jurupa,9,> 1 fam.,1 parent,,,,,2015-2016,,
Jurupa,10,> 1 fam.,1 parent,,x,,,2015-2016,,
Jurupa,11,> 1 fam.,2 parents,,,,,2015-2016,,
Miller,12,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Jurupa ,11,temp. w/friends or fam.,1 parent & another adult,,x,,,2015-2016,,
C. Crest,K,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Citrus,TK,> 1 fam.,1 parent,,,,,2015-2016,,
Almond,2,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Citrus,K,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Alder,6,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Citrus H.S.,11,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Ruble,6,> 1 fam.,1 parent,,,,,2015-2016,,
Date,K,> 1 fam.,2 parents,,,,,2015-2016,,
Oleander,3,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Oleander,5,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Miller,10,> 1 fam.,1 parent,,,,,2015-2016,,
S. Tamarind,2,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Citrus,6,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
FMS,6,> 1 fam.,2 parents,,,,,2015-2016,,
FMS,6,other,2 parents,,,,,2015-2016,,
Citrus,3,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Poplar,K,temp. w/friends or fam.,unknown,,,,,2015-2016,,
Sequoia,7,> 1 fam.,2 parents,,,,,2015-2016,,
FMS,6,> 1 fam.,2 parents,,,,,2015-2016,,
Jurupa,12,> 1 fam.,2 parents,,,,,2015-2016,,
Sequoia,8,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Poplar,K,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
FMS,6,> 1 fam.,2 parents,,,,,2015-2016,,
W. Randall,1,> 1 fam.,1 parent,,,,,2015-2016,,
Porter,K,> 1 fam.,2 parents,,,,,2015-2016,,
Tokay,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
R. Pepper,EC,> 1 fam.,unknown,,,,,2015-2016,,Yes
Porter,K,> 1 fam.,1 parent,,,,,2015-2016,,
Hemlock,3,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Shadow H.,2,> 1 fam.,1 parent,,,,,2015-2016,,
Maple,TK,> 1 fam.,2 parents,,,,,2015-2016,,
Almond,2,> 1 fam.,2 parents,,,,,2015-2016,,
Almond,K,> 1 fam.,2 parents,,,,,2015-2016,,
W. Randall,4,> 1 fam.,1 parent,,,,,2015-2016,,
W. Randall,6,> 1 fam.,1 parent,,,,,2015-2016,,
Hemlock,EC,> 1 fam.,unknown,,,,,2015-2016,,Yes
Fohi,10,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
FMS,7,> 1 fam.,2 parents,,,,,2015-2016,,
Palmetto,3,in a foster care,"relative, friend, or another",,x,,,2015-2016,,
Citrus,4,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Citrus,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
Porter,K,> 1 fam.,2 parents,,,,,2015-2016,,
Porter,K,> 1 fam.,1 parent,,,,,2015-2016,,
Maple,K,> 1 fam.,2 parents,,,,,2015-2016,,
Miller,11,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
Hemlock,PK,in a foster care,unknown,,,,,2015-2016,,Yes
Cypress,K,> 1 fam.,1 parent,,,,,2015-2016,,
Jurupa,11,in a foster care,2 parents,,,,,2015-2016,,
Jurupa,9,in a foster care,2 parents,,,,,2015-2016,,
Truman,6,in a foster care,2 parents,,x,,,2015-2016,,
Cypress,K,> 1 fam.,2 parents,,,,,2015-2016,,
S. Tamarind,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
FMS,6,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Miller,9,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
FMS,8,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Chaparral,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Miller,12,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Birch,12,other,"relative, friend, or another",,,,,2015-2016,,
Miller,9,in a group home,unknown,,,,,2015-2016,,
FMS,6,temp. w/friends or fam.,1 parent,,x,,,2015-2016,,
Birch,11,> 1 fam.,1 parent,,,,,2015-2016,,
Truman,7,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Poplar,5,> 1 fam.,1 parent,,,,,2015-2016,,
Hemlock,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
Poplar,3,> 1 fam.,1 parent,,,,,2015-2016,,
Poplar,5,> 1 fam.,1 parent,,,,,2015-2016,,
R. Pepper,2,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Miller,10,> 1 fam.,1 parent,,,,,2015-2016,,
Miller,10,> 1 fam.,1 parent,,,,,2015-2016,,
Beech Ave.,K,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Oleander,2,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
FMS,6,> 1 fam.,2 parents,,,,,2015-2016,,
Palmetto,K,in a foster care,1 parent,,,,,2015-2016,,
Citrus,4,> 1 fam.,1 parent,,,,,2015-2016,,
Primrose,2,> 1 fam.,1 parent,,,,,2015-2016,,
Oleander,K,> 1 fam.,1 parent,,,,,2015-2016,,
Citrus,6,> 1 fam.,1 parent,,,,,2015-2016,,
Primrose,EC,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
Cypress,K,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Cypress,3,in a foster care,"relative, friend, or another",,,,,2015-2016,,
W. Randall,5,> 1 fam.,2 parents,,,,,2015-2016,,
Miller,11,> 1 fam.,1 parent,,,,,2015-2016,,
Truman,6,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
FMS,6,> 1 fam.,2 parents,,x,,,2015-2016,,
FMS,6,> 1 fam.,2 parents,,x,,,2015-2016,,
Grant,2,in a foster care,2 parents,,x,,,2015-2016,,
FUSD,10,in a group home,unknown,,?,,,2015-2016,,
Tokay,4,> 1 fam.,1 parent,,,,,2015-2016,,
Tokay,5,> 1 fam.,1 parent,,,,,2015-2016,,
R. Pepper,K,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
FUSD,1,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Adult Ed. (601),PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
S. Tamarind,3,in a foster care,unknown,,,,,2015-2016,,
Binks,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Fohi,11,> 1 fam.,1 parent,,,,,2015-2016,,
Jurupa,11,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
Summit,12,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Almeria,8,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Juniper,2,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Redwood,K,> 1 fam.,2 parents,,,,,2015-2016,,
Birch,11,> 1 fam.,2 parents,,,,,2015-2016,,
Date,1,in a foster care,2 parents,,,,,2015-2016,,
W. Randall,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Alder,8,> 1 fam.,1 parent,,,,,2015-2016,,
S. Tamarind,K,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Kaiser,9,> 1 fam.,2 parents,,,,,2015-2016,,
Kaiser,11,> 1 fam.,2 parents,,,,,2015-2016,,
Jurupa H.,10,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
FMS,8,> 1 fam.,2 parents,,,,,2015-2016,,
Oleander,K,> 1 fam.,unknown,,,,,2015-2016,,
Primrose,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Binks,K,> 1 fam.,2 parents,,,,,2015-2016,,
Maple,K,> 1 fam.,1 parent,,,,,2015-2016,,
Maple,K,> 1 fam.,1 parent,,,,,2015-2016,,
Live Oak,2,> 1 fam.,1 parent,,,,,2015-2016,,
Locust,4,> 1 fam.,2 parents,,,,,2015-2016,,
Locust,3,> 1 fam.,2 parents,,,,,2015-2016,,
Binks,4,> 1 fam.,1 parent,,,,,2015-2016,,
Binks,3,> 1 fam.,1 parent,,,,,2015-2016,,
Birch ,12,> 1 fam.,2 parents,,x,,,2015-2016,,
Almeria,8,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Miller,9,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
R. Pepper,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
S. Tamarind,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
FMS,6,> 1 fam.,1 parent,,,,,2015-2016,,
Citrus H.S.,11,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
FMS,7,> 1 fam.,2 parents,,,,,2015-2016,,
Truman,6,in a group home,"relative, friend, or another",,,,,2015-2016,,
R. Pepper,PK,in a foster care,unknown,,,,,2015-2016,,Yes
Binks,5,in a foster care,"relative, friend, or another",,,,,2015-2016,,
Oak Park,1,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Ruble,7,temp. w/friends or fam.,2 parents,,x,,,2015-2016,,
Jurupa,10,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Chaparral,K,> 1 fam.,2 parents,,,,,2015-2016,,
Jurupa,10,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Jurupa,11,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Birch,11,in a foster care,"relative, friend, or another",,,,,2015-2016,,
Grant,1,in a foster care,"relative, friend, or another",,,,,2015-2016,,
W. Randall,1,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Locust,3,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Fohi,10,> 1 fam.,2 parents,,,,,2015-2016,,
