id,furn_type,address,permit_issued,installed,lat,lon
785,Shelter ,1221 Broadway  SB Broadway FS 12th,Yes ,Yes,34.03759,-118.2607971
786,Shelter ,139 W. 5th St  WB 5th NS Spring St,Yes,,34.0470299,-118.2490185
787,Shelter ,5110 Normandie  NB Normandie NS 51st St,Yes ,Yes,33.9965929,-118.299857
788,Shelter ,EB 1st St. NS Los Angeles,Yes,,34.0515239,-118.24241
789,Shelter ,1400 S. Central Ave  NB Central Ave NS 14th St,Yes,,34.0284219,-118.2468845
790,Shelter ,1000 E. Adams Bl.  WB Adams Bl FS Central,Yes ,Yes,34.0193138,-118.2562343
791,Shelter ,2500 S. Central Ave  SB Central NS Adams,Yes ,Yes,34.0196742,-118.2543183
792,Shelter ,3510 S. Central Ave  NB Central Ave NS 35th St.,Yes ,Yes,34.0116739,-118.2560655
793,Shelter ,5140 S Central Ave NB Central Ave NS 51st St,Yes,,33.9962219,-118.2560787
794,Shelter ,1061 54th St.  SB Central Ave NS 54th,Yes,,33.993476,-118.293707
795,Shelter ,1061 54th St. WB 54th FS Central,Yes,,33.993476,-118.293707
796,Shelter ,5800 S. Central Ave  SB Central FS Slauson,Yes ,Yes,33.9899442,-118.2561313
797,Shelter ,1000 E. Slauson Ave  EB Slauson Ave NS Central,Yes,,33.988364,-118.257548
798,Shelter ,6300 S. Central Ave  SB Central FS Gage,Yes,,33.982281,-118.254291
799,Shelter ,1000 E Gage Ave EB Gage Ave NS Central Ave,Yes,,33.9818679,-118.2577594
800,Shelter ,1000 E. Gage  WB Gage FS Central,Yes ,Yes,33.9818679,-118.2577594
801,Shelter ,7100 S Central Ave SB Central Ave NS Florence Ave,Yes,,33.975617,-118.256051
802,Shelter ,3900 S Avalon Blvd NB Avalon Blvd FS Martin Luther King Blvd,Yes,,34.0113156,-118.2652425
803,Shelter ,4400 1/2 Avalon Bl  NB Avalon NS Vernon,Yes ,Yes,33.9811416,-118.2654096
804,Shelter ,600 E Vernon Ave EB Vernon Ave FS Avalon Blvd,Yes,,34.0038664,-118.2652144
805,Shelter ,SB Avalon Bl NS 51St St.,Yes ,Yes,33.9965825,-118.2652047
806,Shelter ,5600 S. Avalon  NB Avalon Bl NS 56 St,Yes,,33.9915533,-118.2651728
807,Shelter ,500 E. Gage  WB Gage Ave FS Avalon Bl,Yes,,33.982147,-118.266306
808,Shelter ,6300 S Avalon Blvd NB Avalon Blvd NS Gage Ave,Yes,,33.982483,-118.2651789
809,Shelter ,600 E. Gage  EB Gage Ave FS Avalon,Yes,,33.9819089,-118.2651832
810,Shelter ,7100 S Avalon Blvd SB Avalon Blvd NS Florence Ave,Yes,,33.975563,-118.264487
811,Shelter ,7800 S. Avalon  SB Avalon NS 79th,Yes,,33.968285,-118.26482
812,Shelter ,528 E. Manchester Ave  EB Manchester Ave NS Avalon,Yes,,33.9597154,-118.2655611
813,Shelter ,500 E. Manchester  WB Manchester Ave FS Avalon Bl,Yes,,33.9598106,-118.2663559
814,Shelter ,300 E. Manchester EB Manchester FS San Pedro,Yes ,Yes,33.9600534,-118.2694858
815,Shelter ,8600 S. San Pedro St  NB San Pedro NS Manchester,Yes ,Yes,33.960069,-118.2694815
816,Shelter ,255 E. Manchester  WB Manchester Ave FS San Pedro,Yes,,33.9605013,-118.2700068
817,Shelter ,7200 S. San Pedro St.  NB San Pedro NS Florence,Yes ,Yes,33.97471,-118.2695203
818,Shelter ,7125 S. San Pedro St SB San Pedro NS Florence,Yes ,Yes,33.9749721,-118.2701847
819,Shelter ,100 S. Alameda St. NB Alameda St NS 1st St,Yes,,34.0480156,-118.2375247
820,Shelter ,222 S. Alameda St  SB Alameda St NS 3rd St,Yes,,34.0466935,-118.2380897
821,Shelter ,5850 S Main St  NB Main St NS Slauson Ave,Yes,,33.9882273,-118.2732047
822,Shelter ,5821 S. Main St  SB Main St FS Slauson,Yes ,Yes,33.988936,-118.274267
823,Shelter ,5811 S. Broadway  SB Broadway NS Slauson,Yes ,Yes,33.989521,-118.27866
824,Shelter ,5800 S Figueroa St SB Figueroa St FS Slauson Ave,Yes,,33.9896893,-118.2826583
825,Shelter ,1789 W. Slauson Ave  EB Slauson Ave FS Vermont Ave,Yes ,Yes,33.9891536,-118.3086543
826,Shelter ,255 S. Grand Ave  SB Grand Ave NS 3rd St,Yes,,34.0536755,-118.2515421
827,Shelter ,SB Grand Ave FS 5th Mid Block,Yes,,34.0522342,-118.2436849
828,Shelter ,200 E. 3rd St  WB 3rd St. NS Los Angeles,Yes,,34.0485006,-118.2447275
829,Shelter ,300 E. 3rd St  WB 3rd St FS San Pedro St,Yes,,34.047652,-118.243768
830,Shelter ,880 E. 1St St.  EB 1st Street NS Vignes St,Yes,,34.048163,-118.234336
831,Shelter ,200 N. Spring St  NB Spring NS Temple St.,Yes ,Yes,34.0537126,-118.2428145
832,Shelter ,100 W. Temple  EB Temple NS Main,Yes,,34.0542367,-118.2419873
833,Shelter ,100 W. 1st St.  WB 1st FS Main,Yes,,34.0518561,-118.244337
834,Shelter ,4000 S. Main  NB Main NS MLK,Yes,,34.0104694,-118.2737963
835,Shelter ,3900 S. Woodlawn  SB Woodlawn NS MLK,Yes,,34.0113507,-118.2728209
836,Shelter ,(by corner)  200 N. Spring NB Spring NS Temple,Yes ,Yes,34.0549056,-118.242603
837,Shelter ,NB Hope St. NS 1st St.,Yes,,34.0564195,-118.2498956
838,Shelter ,NB Spring FS 1St (Midblock by Steps),Yes ,Yes,34.0529364,-118.2444611
839,Shelter ,10341 Venice Blvd NB Motor Ave. FS Venice Bl,Yes ,Yes,34.0209029,-118.40406
840,Shelter ,3520 Motor NB Motor Ave NS Palms,Yes ,Yes,34.0263398,-118.4079575
841,Shelter ,4471 West Adams WB Adams Bl NS Wellington Rd,Yes ,Yes,34.0329084,-118.337455
842,Shelter ,998 S. Western Ave.  WB Olympic Bl NS Western Ave,Yes,,34.052873,-118.308702
843,Shelter ,9900 Venice Bl EB Venice NS Hughes Ave,Yes,,34.022969,-118.398837
844,Shelter ,8800 Venice Bl EB Venice NS Helms Ave.,Yes ,Yes,34.0306792,-118.3851538
