LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TERESA P MAGNO,SONGHAI ARMSTEAD
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,2639,3513
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,1963,2653
CITY OF SANTA MONICA,N,62632,TOTAL,16552,4602,6166
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,461,409
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,340,461
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,801,870
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,362,247
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,285,238
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,647,485
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,205,122
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,189,97
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,394,219
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,950,540
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,596,367
CITY OF SOUTH GATE,N,35773,TOTAL,3018,1546,907
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,681,801
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,570,697
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,1251,1498
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,634,492
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,504,576
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1138,1068
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,5156,3598
CITY OF TORRANCE,N,0,VBM PORTION,11369,4144,3812
CITY OF TORRANCE,N,83037,TOTAL,23394,9300,7410
CITY OF VERNON,N,60,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,5,3
CITY OF VERNON,N,60,TOTAL,16,5,3
CITY OF WALNUT,N,18002,POLLING PLACE,1247,544,354
CITY OF WALNUT,N,0,VBM PORTION,1658,606,545
CITY OF WALNUT,N,18002,TOTAL,2905,1150,899
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,1797,1126
CITY OF WEST COVINA,N,0,VBM PORTION,3945,1694,1314
CITY OF WEST COVINA,N,53486,TOTAL,7643,3491,2440
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,718,968
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,674,815
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,1392,1783
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,224,288
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,268,246
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,492,534
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,2079,1316
CITY OF WHITTIER,N,0,VBM PORTION,3748,1581,1175
CITY OF WHITTIER,N,46005,TOTAL,8056,3660,2491
UNINCORPORATED,N,520339,POLLING PLACE,43458,19101,14638
UNINCORPORATED,N,0,VBM PORTION,39390,15332,14339
UNINCORPORATED,N,520339,TOTAL,82731,34433,28977
