LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CAROL ROSE,CHARLES M CALDERON
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,909,668
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,685,310
CITY OF SOUTH GATE,N,35773,TOTAL,3018,1594,978
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,838,695
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,839,463
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,1677,1158
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,736,446
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,779,352
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1515,798
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,5981,3019
CITY OF TORRANCE,N,0,VBM PORTION,11369,6002,2121
CITY OF TORRANCE,N,83037,TOTAL,23394,11983,5140
CITY OF VERNON,N,60,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,8,1
CITY OF VERNON,N,60,TOTAL,16,8,1
CITY OF WALNUT,N,18002,POLLING PLACE,1247,611,341
CITY OF WALNUT,N,0,VBM PORTION,1658,818,381
CITY OF WALNUT,N,18002,TOTAL,2905,1429,722
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,1942,1080
CITY OF WEST COVINA,N,0,VBM PORTION,3945,2229,904
CITY OF WEST COVINA,N,53486,TOTAL,7643,4171,1984
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,969,752
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,923,676
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,1892,1428
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,272,262
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,331,196
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,603,458
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,2560,1022
CITY OF WHITTIER,N,0,VBM PORTION,3748,2239,690
CITY OF WHITTIER,N,46005,TOTAL,8056,4799,1712
UNINCORPORATED,N,520339,POLLING PLACE,43458,22395,12754
UNINCORPORATED,N,0,VBM PORTION,39390,21746,8825
UNINCORPORATED,N,520339,TOTAL,82731,44141,21579
