LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SAL GENOVESE,ADAM B SCHIFF,STEVE STOKES
GLENDALE,2550079A,937,46,N,894,TOTAL,128,9,92,14
GLENDALE,2550080A,938,46,N,1149,POLLING PLACE,72,8,43,13
GLENDALE,2550080A,938,46,N,0,VBM PORTION,80,7,62,9
GLENDALE,2550080A,938,46,N,1149,TOTAL,152,15,105,22
GLENDALE,2550081A,939,46,N,1349,POLLING PLACE,72,3,47,10
GLENDALE,2550081A,939,46,N,0,VBM PORTION,164,9,106,13
GLENDALE,2550081A,939,46,N,1349,TOTAL,236,12,153,23
GLENDALE,2550082A,940,46,N,1038,POLLING PLACE,53,2,35,7
GLENDALE,2550082A,940,46,N,0,VBM PORTION,151,7,79,10
GLENDALE,2550082A,940,46,N,1038,TOTAL,204,9,114,17
GLENDALE,2550085A,941,46,N,1238,POLLING PLACE,128,7,81,19
GLENDALE,2550085A,941,46,N,0,VBM PORTION,172,12,109,19
GLENDALE,2550085A,941,46,N,1238,TOTAL,300,19,190,38
GLENDALE,2550086A,942,46,N,1144,POLLING PLACE,81,5,57,7
GLENDALE,2550086A,942,46,N,0,VBM PORTION,150,4,105,14
GLENDALE,2550086A,942,46,N,1144,TOTAL,231,9,162,21
GLENDALE,2550087A,943,46,N,1314,POLLING PLACE,67,5,43,4
GLENDALE,2550087A,943,46,N,0,VBM PORTION,136,9,76,12
GLENDALE,2550087A,943,46,N,1314,TOTAL,203,14,119,16
GLENDALE,2550088C,944,46,N,1266,POLLING PLACE,81,1,55,4
GLENDALE,2550088C,944,46,N,0,VBM PORTION,155,7,108,9
GLENDALE,2550088C,944,46,N,1266,TOTAL,236,8,163,13
GLENDALE,2550089A,945,46,N,1226,POLLING PLACE,60,4,44,5
GLENDALE,2550089A,945,46,N,0,VBM PORTION,163,9,107,10
GLENDALE,2550089A,945,46,N,1226,TOTAL,223,13,151,15
GLENDALE,2550090A,946,46,N,1021,POLLING PLACE,83,8,54,5
GLENDALE,2550090A,946,46,N,0,VBM PORTION,91,5,55,8
GLENDALE,2550090A,946,46,N,1021,TOTAL,174,13,109,13
GLENDALE,2550091A,947,46,N,1300,POLLING PLACE,56,2,33,8
GLENDALE,2550091A,947,46,N,0,VBM PORTION,141,6,86,11
GLENDALE,2550091A,947,46,N,1300,TOTAL,197,8,119,19
GLENDALE,2550095A,948,46,N,1420,POLLING PLACE,94,9,61,9
GLENDALE,2550095A,948,46,N,0,VBM PORTION,159,1,111,8
GLENDALE,2550095A,948,46,N,1420,TOTAL,253,10,172,17
GLENDALE,2550097A,949,46,N,1121,POLLING PLACE,90,7,53,14
GLENDALE,2550097A,949,46,N,0,VBM PORTION,128,6,83,11
GLENDALE,2550097A,949,46,N,1121,TOTAL,218,13,136,25
GLENDALE,2550098A,950,46,N,907,POLLING PLACE,98,3,75,14
GLENDALE,2550098A,950,46,N,0,VBM PORTION,116,5,80,17
GLENDALE,2550098A,950,46,N,907,TOTAL,214,8,155,31
GLENDALE,2550100A,951,46,N,1346,POLLING PLACE,81,5,41,12
GLENDALE,2550100A,951,46,N,0,VBM PORTION,148,4,85,11
GLENDALE,2550100A,951,46,N,1346,TOTAL,229,9,126,23
GLENDALE,2550102A,952,46,N,1223,POLLING PLACE,96,9,59,15
GLENDALE,2550102A,952,46,N,0,VBM PORTION,131,8,87,16
GLENDALE,2550102A,952,46,N,1223,TOTAL,227,17,146,31
GLENDALE,2550105A,953,46,N,1130,POLLING PLACE,84,3,42,10
GLENDALE,2550105A,953,46,N,0,VBM PORTION,117,5,79,5
GLENDALE,2550105A,953,46,N,1130,TOTAL,201,8,121,15
GLENDALE,2550108A,954,46,N,1308,POLLING PLACE,74,5,49,5
GLENDALE,2550108A,954,46,N,0,VBM PORTION,184,13,122,11
GLENDALE,2550108A,954,46,N,1308,TOTAL,258,18,171,16
GLENDALE,2550111A,955,46,N,1268,POLLING PLACE,78,6,45,5
GLENDALE,2550111A,955,46,N,0,VBM PORTION,155,5,106,8
GLENDALE,2550111A,955,46,N,1268,TOTAL,233,11,151,13
GLENDALE,2550113A,956,46,N,1115,POLLING PLACE,112,6,65,19
GLENDALE,2550113A,956,46,N,0,VBM PORTION,151,4,98,20
