LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SUSAN SHELLEY,MATT DABABNEH
LOS ANGELES,9000557A,3318,56,N,1216,TOTAL,165,56,93
LOS ANGELES,9000559A,3320,50,N,1130,POLLING PLACE,55,22,24
LOS ANGELES,9000559A,3320,50,N,0,VBM PORTION,81,47,25
LOS ANGELES,9000559A,3320,50,N,1130,TOTAL,136,69,49
LOS ANGELES,9000624A,3356,57,N,1193,POLLING PLACE,134,64,62
LOS ANGELES,9000624A,3356,57,N,0,VBM PORTION,120,63,48
LOS ANGELES,9000624A,3356,57,N,1193,TOTAL,254,127,110
LOS ANGELES,9000689A,3382,56,N,1303,POLLING PLACE,98,34,55
LOS ANGELES,9000689A,3382,56,N,0,VBM PORTION,90,33,50
LOS ANGELES,9000689A,3382,56,N,1303,TOTAL,188,67,105
LOS ANGELES,9000711A,3391,54,N,1467,POLLING PLACE,90,37,45
LOS ANGELES,9000711A,3391,54,N,0,VBM PORTION,95,35,50
LOS ANGELES,9000711A,3391,54,N,1467,TOTAL,185,72,95
LOS ANGELES,9000713C,3393,56,N,1199,POLLING PLACE,67,23,43
LOS ANGELES,9000713C,3393,56,N,0,VBM PORTION,50,21,28
LOS ANGELES,9000713C,3393,56,N,1199,TOTAL,117,44,71
LOS ANGELES,9000742A,3404,56,N,1280,POLLING PLACE,124,34,76
LOS ANGELES,9000742A,3404,56,N,0,VBM PORTION,169,47,105
LOS ANGELES,9000742A,3404,56,N,1280,TOTAL,293,81,181
LOS ANGELES,9000755A,3410,56,N,1048,POLLING PLACE,56,31,22
LOS ANGELES,9000755A,3410,56,N,0,VBM PORTION,63,29,29
LOS ANGELES,9000755A,3410,56,N,1048,TOTAL,119,60,51
LOS ANGELES,9000780C,3418,54,N,1475,POLLING PLACE,104,36,60
LOS ANGELES,9000780C,3418,54,N,0,VBM PORTION,120,31,84
LOS ANGELES,9000780C,3418,54,N,1475,TOTAL,224,67,144
LOS ANGELES,9000801C,3427,56,N,476,POLLING PLACE,36,13,17
LOS ANGELES,9000801C,3427,56,N,0,VBM PORTION,46,9,34
LOS ANGELES,9000801C,3427,56,N,476,TOTAL,82,22,51
LOS ANGELES,9000804A,3430,56,N,1345,POLLING PLACE,104,26,61
LOS ANGELES,9000804A,3430,56,N,0,VBM PORTION,81,25,50
LOS ANGELES,9000804A,3430,56,N,1345,TOTAL,185,51,111
LOS ANGELES,9000831B,3440,56,N,572,POLLING PLACE,55,31,15
LOS ANGELES,9000831B,3440,56,N,0,VBM PORTION,39,23,12
LOS ANGELES,9000831B,3440,56,N,572,TOTAL,94,54,27
LOS ANGELES,9000837B,3444,50,N,1136,POLLING PLACE,56,20,30
LOS ANGELES,9000837B,3444,50,N,0,VBM PORTION,87,43,39
LOS ANGELES,9000837B,3444,50,N,1136,TOTAL,143,63,69
LOS ANGELES,9000912C,3471,57,N,1157,POLLING PLACE,58,22,33
LOS ANGELES,9000912C,3471,57,N,0,VBM PORTION,79,34,40
LOS ANGELES,9000912C,3471,57,N,1157,TOTAL,137,56,73
LOS ANGELES,9000920A,3475,50,N,1173,POLLING PLACE,100,44,48
LOS ANGELES,9000920A,3475,50,N,0,VBM PORTION,84,26,48
LOS ANGELES,9000920A,3475,50,N,1173,TOTAL,184,70,96
LOS ANGELES,9001019A,3518,56,N,773,POLLING PLACE,62,26,30
LOS ANGELES,9001019A,3518,56,N,0,VBM PORTION,87,20,53
LOS ANGELES,9001019A,3518,56,N,773,TOTAL,149,46,83
