LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CHRIS HOLDEN
LA VERNE,3400013A,6076,30,Y,0,TOTAL,0,0
LA VERNE,3400014A,1246,35,N,599,POLLING PLACE,61,38
LA VERNE,3400014A,1246,35,N,0,VBM PORTION,59,34
LA VERNE,3400014A,1246,35,N,599,TOTAL,120,72
LA VERNE,3400015A,1247,35,N,749,POLLING PLACE,140,87
LA VERNE,3400015A,1247,35,N,0,VBM PORTION,144,87
LA VERNE,3400015A,1247,35,N,749,TOTAL,284,174
LA VERNE,3400016A,1248,35,N,907,POLLING PLACE,96,48
LA VERNE,3400016A,1248,35,N,0,VBM PORTION,119,76
LA VERNE,3400016A,1248,35,N,907,TOTAL,215,124
LA VERNE,3400017A,1249,35,N,792,POLLING PLACE,95,40
LA VERNE,3400017A,1249,35,N,0,VBM PORTION,92,40
LA VERNE,3400017A,1249,35,N,792,TOTAL,187,80
LA VERNE,3400018A,1250,35,N,1198,POLLING PLACE,109,47
LA VERNE,3400018A,1250,35,N,0,VBM PORTION,177,88
LA VERNE,3400018A,1250,35,N,1198,TOTAL,286,135
LA VERNE,3400019A,1251,35,N,927,POLLING PLACE,142,67
LA VERNE,3400019A,1251,35,N,0,VBM PORTION,124,49
LA VERNE,3400019A,1251,35,N,927,TOTAL,266,116
LA VERNE,3400021A,1252,35,N,1042,POLLING PLACE,207,123
LA VERNE,3400021A,1252,35,N,0,VBM PORTION,141,68
LA VERNE,3400021A,1252,35,N,1042,TOTAL,348,191
LA VERNE,3400022A,1253,35,N,751,POLLING PLACE,154,93
LA VERNE,3400022A,1253,35,N,0,VBM PORTION,138,69
LA VERNE,3400022A,1253,35,N,751,TOTAL,292,162
LA VERNE,3400023A,1254,35,N,1046,POLLING PLACE,98,55
LA VERNE,3400023A,1254,35,N,0,VBM PORTION,82,39
LA VERNE,3400023A,1254,35,N,1046,TOTAL,180,94
LA VERNE,3400024A,1255,35,N,955,POLLING PLACE,132,54
LA VERNE,3400024A,1255,35,N,0,VBM PORTION,73,39
LA VERNE,3400024A,1255,35,N,955,TOTAL,205,93
LA VERNE,3400025A,1256,35,N,885,POLLING PLACE,101,50
