LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GEORGE MCKENNA,HATTIE B MCFRAZIER,O O MANIGAULT,G HUDLEY-HAYES,RACHEL C JOHNSON,ALEX JOHNSON,SHERLETT H NEWBILL
WEST ATHENS,7670024A,2804,161,N,817,TOTAL,126,58,7,1,8,5,23,9
LOS ANGELES,9000002A,2973,116,N,839,POLLING PLACE,110,36,4,4,8,7,22,6
LOS ANGELES,9000002A,2973,116,N,0,VBM PORTION,102,24,6,5,8,3,12,11
LOS ANGELES,9000002A,2973,116,N,839,TOTAL,212,60,10,9,16,10,34,17
LOS ANGELES,9000006A,2976,86,N,1290,POLLING PLACE,127,51,5,3,9,3,28,7
LOS ANGELES,9000006A,2976,86,N,0,VBM PORTION,172,50,10,9,13,4,15,11
LOS ANGELES,9000006A,2976,86,N,1290,TOTAL,299,101,15,12,22,7,43,18
LOS ANGELES,9000272A,3139,83,N,719,POLLING PLACE,130,42,5,4,10,4,11,9
LOS ANGELES,9000272A,3139,83,N,0,VBM PORTION,87,41,3,3,2,5,7,6
LOS ANGELES,9000272A,3139,83,N,719,TOTAL,217,83,8,7,12,9,18,15
LOS ANGELES,9000282A,3144,159,N,1129,POLLING PLACE,46,23,1,0,1,4,11,2
LOS ANGELES,9000282A,3144,159,N,0,VBM PORTION,68,18,1,4,3,7,20,3
LOS ANGELES,9000282A,3144,159,N,1129,TOTAL,114,41,2,4,4,11,31,5
LOS ANGELES,9000283A,3145,159,N,1030,POLLING PLACE,102,51,0,2,9,0,28,5
LOS ANGELES,9000283A,3145,159,N,0,VBM PORTION,79,29,3,3,7,0,12,7
LOS ANGELES,9000283A,3145,159,N,1030,TOTAL,181,80,3,5,16,0,40,12
LOS ANGELES,9000284C,3146,148,N,950,POLLING PLACE,143,65,5,1,10,5,34,12
LOS ANGELES,9000284C,3146,148,N,0,VBM PORTION,69,26,2,1,5,1,18,5
LOS ANGELES,9000284C,3146,148,N,950,TOTAL,212,91,7,2,15,6,52,17
