LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ARNOLD W MEDNICK,ANDREW COOPER
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,14,60
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,14,53
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,28,113
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,6,26
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,11,45
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,17,71
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,11,28
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,6,28
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,17,56
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,7,30
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,3,37
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,10,67
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,7,31
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,7,45
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,14,76
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,15,55
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,12,36
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,27,91
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,13,59
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,7,47
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,20,106
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,12,45
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,5,23
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,17,68
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,9,43
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,7,30
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,16,73
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,4,17
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,2,26
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,6,43
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,10,74
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,8,29
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,18,103
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,11,46
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,15,56
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,26,102
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,17,77
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,11,53
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,28,130
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,10,35
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,20,79
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,30,114
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,9,51
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,11,43
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,20,94
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,4,25
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,2,25
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,6,50
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,13,40
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,7,28
ALTADENA,0200001A,63,33,N,500,TOTAL,118,20,68
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,3,31
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,8,66
ALTADENA,0200002A,64,33,N,692,TOTAL,152,11,97
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,14,51
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,5,48
ALTADENA,0200003A,65,33,N,854,TOTAL,161,19,99
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,18,91
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,24,119
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,42,210
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,18,74
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,15,73
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,33,147
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,19,40
ALTADENA,0200008A,68,33,N,0,VBM PORTION,58,11,32
ALTADENA,0200008A,68,33,N,873,TOTAL,135,30,72
ALTADENA,0200009A,69,33,N,969,POLLING PLACE,89,19,55
ALTADENA,0200009A,69,33,N,0,VBM PORTION,62,9,41
ALTADENA,0200009A,69,33,N,969,TOTAL,151,28,96
ALTADENA,0200011A,70,33,N,860,POLLING PLACE,77,13,42
ALTADENA,0200011A,70,33,N,0,VBM PORTION,101,18,58
ALTADENA,0200011A,70,33,N,860,TOTAL,178,31,100
ALTADENA,0200012A,71,33,N,819,POLLING PLACE,94,13,71
ALTADENA,0200012A,71,33,N,0,VBM PORTION,100,5,66
ALTADENA,0200012A,71,33,N,819,TOTAL,194,18,137
ALTADENA,0200013A,72,33,N,931,POLLING PLACE,63,16,31
ALTADENA,0200013A,72,33,N,0,VBM PORTION,46,7,23
ALTADENA,0200013A,72,33,N,931,TOTAL,109,23,54
ALTADENA,0200015A,73,33,N,1366,POLLING PLACE,103,19,53
ALTADENA,0200015A,73,33,N,0,VBM PORTION,106,14,70
ALTADENA,0200015A,73,33,N,1366,TOTAL,209,33,123
ALTADENA,0200017A,74,33,N,1002,POLLING PLACE,55,10,35
ALTADENA,0200017A,74,33,N,0,VBM PORTION,59,9,31
ALTADENA,0200017A,74,33,N,1002,TOTAL,114,19,66
ALTADENA,0200018A,75,33,N,852,POLLING PLACE,54,8,37
ALTADENA,0200018A,75,33,N,0,VBM PORTION,39,4,27
ALTADENA,0200018A,75,33,N,852,TOTAL,93,12,64
ALTADENA,0200019B,76,33,N,872,POLLING PLACE,57,11,36
ALTADENA,0200019B,76,33,N,0,VBM PORTION,24,8,13
ALTADENA,0200019B,76,33,N,872,TOTAL,81,19,49
ALTADENA,0200022A,77,33,N,866,POLLING PLACE,122,9,75
ALTADENA,0200022A,77,33,N,0,VBM PORTION,121,18,68
ALTADENA,0200022A,77,33,N,866,TOTAL,243,27,143
ALTADENA,0200025B,78,33,N,915,POLLING PLACE,84,12,57
ALTADENA,0200025B,78,33,N,0,VBM PORTION,52,5,26
ALTADENA,0200025B,78,33,N,915,TOTAL,136,17,83
ALTADENA,0200028A,79,33,N,1306,POLLING PLACE,207,34,117
ALTADENA,0200028A,79,33,N,0,VBM PORTION,206,24,130
ALTADENA,0200028A,79,33,N,1306,TOTAL,413,58,247
ALTADENA,0200030A,80,33,N,889,POLLING PLACE,118,13,79
ALTADENA,0200030A,80,33,N,0,VBM PORTION,143,22,86
ALTADENA,0200030A,80,33,N,889,TOTAL,261,35,165
ALTADENA,0200031A,6012,44,Y,3,POLLING PLACE,0,0,0
ALTADENA,0200031A,6012,44,Y,0,VBM PORTION,0,0,0
ALTADENA,0200031A,6012,44,Y,3,TOTAL,0,0,0
ALTADENA,0200032A,81,33,N,1378,POLLING PLACE,196,56,102
ALTADENA,0200032A,81,33,N,0,VBM PORTION,153,22,91
ALTADENA,0200032A,81,33,N,1378,TOTAL,349,78,193
ALTADENA,0200038B,82,33,N,1195,POLLING PLACE,180,22,107
ALTADENA,0200038B,82,33,N,0,VBM PORTION,134,19,84
ALTADENA,0200038B,82,33,N,1195,TOTAL,314,41,191
ALTADENA,0200039A,83,33,N,1132,POLLING PLACE,145,19,90
ALTADENA,0200039A,83,33,N,0,VBM PORTION,117,14,71
ALTADENA,0200039A,83,33,N,1132,TOTAL,262,33,161
ALTADENA,0200044A,84,33,N,985,POLLING PLACE,77,15,50
ALTADENA,0200044A,84,33,N,0,VBM PORTION,59,10,31
ALTADENA,0200044A,84,33,N,985,TOTAL,136,25,81
ALTADENA,0200051A,85,33,N,1218,POLLING PLACE,131,27,73
ALTADENA,0200051A,85,33,N,0,VBM PORTION,151,25,90
ALTADENA,0200051A,85,33,N,1218,TOTAL,282,52,163
ALTADENA,0200086A,86,33,N,1189,POLLING PLACE,153,30,89
