LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PROPHET L WALKER,MICAH ALI,STEVE NEAL,MIKE GIPSON
COMPTON,1450040C,529,178,N,0,VBM PORTION,46,10,11,7,11
COMPTON,1450040C,529,178,N,1061,TOTAL,115,23,28,15,41
COMPTON,1450042C,530,178,N,1065,POLLING PLACE,85,19,12,5,44
COMPTON,1450042C,530,178,N,0,VBM PORTION,36,11,4,2,15
COMPTON,1450042C,530,178,N,1065,TOTAL,121,30,16,7,59
COMPTON,1450043B,531,178,N,763,POLLING PLACE,85,20,6,19,36
COMPTON,1450043B,531,178,N,0,VBM PORTION,54,8,8,13,20
COMPTON,1450043B,531,178,N,763,TOTAL,139,28,14,32,56
COMPTON,1450045A,532,178,N,1015,POLLING PLACE,88,14,9,15,46
COMPTON,1450045A,532,178,N,0,VBM PORTION,52,14,6,3,25
COMPTON,1450045A,532,178,N,1015,TOTAL,140,28,15,18,71
COMPTON,1450052A,533,178,N,938,POLLING PLACE,47,15,11,6,14
COMPTON,1450052A,533,178,N,0,VBM PORTION,38,11,4,4,15
COMPTON,1450052A,533,178,N,938,TOTAL,85,26,15,10,29
COMPTON,1450062B,534,178,N,952,POLLING PLACE,33,6,5,2,17
COMPTON,1450062B,534,178,N,0,VBM PORTION,40,7,8,7,18
COMPTON,1450062B,534,178,N,952,TOTAL,73,13,13,9,35
COMPTON,1450091A,535,178,N,1142,POLLING PLACE,90,24,13,5,47
COMPTON,1450091A,535,178,N,0,VBM PORTION,57,16,3,4,26
COMPTON,1450091A,535,178,N,1142,TOTAL,147,40,16,9,73
COMPTON,1450113A,536,178,N,1120,POLLING PLACE,86,17,17,8,41
COMPTON,1450113A,536,178,N,0,VBM PORTION,39,3,12,7,14
COMPTON,1450113A,536,178,N,1120,TOTAL,125,20,29,15,55
COMPTON,1450118B,537,178,N,1004,POLLING PLACE,64,10,18,8,26
COMPTON,1450118B,537,178,N,0,VBM PORTION,52,12,8,9,18
COMPTON,1450118B,537,178,N,1004,TOTAL,116,22,26,17,44
COMPTON,1450132A,538,178,N,789,POLLING PLACE,54,15,8,5,24
COMPTON,1450132A,538,178,N,0,VBM PORTION,25,6,4,3,12
COMPTON,1450132A,538,178,N,789,TOTAL,79,21,12,8,36
COMPTON,1450133A,539,178,N,839,POLLING PLACE,38,5,7,5,20
COMPTON,1450133A,539,178,N,0,VBM PORTION,30,2,8,3,15
COMPTON,1450133A,539,178,N,839,TOTAL,68,7,15,8,35
