LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,NATHALIE HRIZI,DAVE JONES,TED GAINES
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,11,71,25
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,0,10,4
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,3,21,7
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,3,31,11
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,6,60,17
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,6,23,13
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,12,83,30
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,6,38,20
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,10,37,26
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,16,75,46
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,5,56,26
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,4,34,29
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,9,90,55
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,3,27,17
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,2,50,61
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,5,77,78
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,6,25,19
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,3,23,27
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,9,48,46
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,1,15,10
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,5,17,10
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,6,32,20
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,0,44,10
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,2,32,7
ALTADENA,0200001A,63,33,N,500,TOTAL,118,2,76,17
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,0,27,14
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,2,43,21
ALTADENA,0200002A,64,33,N,692,TOTAL,152,2,70,35
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,1,59,13
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,1,55,3
ALTADENA,0200003A,65,33,N,854,TOTAL,161,2,114,16
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,2,70,47
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,6,79,68
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,8,149,115
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,3,71,23
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,5,62,33
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,8,133,56
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,5,51,3
ALTADENA,0200008A,68,33,N,0,VBM PORTION,58,6,39,3
ALTADENA,0200008A,68,33,N,873,TOTAL,135,11,90,6
ALTADENA,0200009A,69,33,N,969,POLLING PLACE,89,1,62,12
ALTADENA,0200009A,69,33,N,0,VBM PORTION,62,3,41,6
ALTADENA,0200009A,69,33,N,969,TOTAL,151,4,103,18
ALTADENA,0200011A,70,33,N,860,POLLING PLACE,77,4,46,7
ALTADENA,0200011A,70,33,N,0,VBM PORTION,101,7,66,12
ALTADENA,0200011A,70,33,N,860,TOTAL,178,11,112,19
ALTADENA,0200012A,71,33,N,819,POLLING PLACE,94,1,56,20
ALTADENA,0200012A,71,33,N,0,VBM PORTION,100,2,60,24
ALTADENA,0200012A,71,33,N,819,TOTAL,194,3,116,44
ALTADENA,0200013A,72,33,N,931,POLLING PLACE,63,1,45,4
ALTADENA,0200013A,72,33,N,0,VBM PORTION,46,1,28,5
ALTADENA,0200013A,72,33,N,931,TOTAL,109,2,73,9
ALTADENA,0200015A,73,33,N,1366,POLLING PLACE,103,1,61,11
ALTADENA,0200015A,73,33,N,0,VBM PORTION,106,4,63,13
ALTADENA,0200015A,73,33,N,1366,TOTAL,209,5,124,24
ALTADENA,0200017A,74,33,N,1002,POLLING PLACE,55,3,38,3
ALTADENA,0200017A,74,33,N,0,VBM PORTION,59,4,38,9
ALTADENA,0200017A,74,33,N,1002,TOTAL,114,7,76,12
ALTADENA,0200018A,75,33,N,852,POLLING PLACE,54,4,32,4
ALTADENA,0200018A,75,33,N,0,VBM PORTION,39,3,22,7
ALTADENA,0200018A,75,33,N,852,TOTAL,93,7,54,11
ALTADENA,0200019B,76,33,N,872,POLLING PLACE,57,1,32,9
ALTADENA,0200019B,76,33,N,0,VBM PORTION,24,1,16,3
ALTADENA,0200019B,76,33,N,872,TOTAL,81,2,48,12
ALTADENA,0200022A,77,33,N,866,POLLING PLACE,122,0,73,27
ALTADENA,0200022A,77,33,N,0,VBM PORTION,121,0,71,25
ALTADENA,0200022A,77,33,N,866,TOTAL,243,0,144,52
ALTADENA,0200025B,78,33,N,915,POLLING PLACE,84,5,51,10
ALTADENA,0200025B,78,33,N,0,VBM PORTION,52,1,36,7
ALTADENA,0200025B,78,33,N,915,TOTAL,136,6,87,17
ALTADENA,0200028A,79,33,N,1306,POLLING PLACE,207,2,125,34
ALTADENA,0200028A,79,33,N,0,VBM PORTION,206,8,114,35
ALTADENA,0200028A,79,33,N,1306,TOTAL,413,10,239,69
ALTADENA,0200030A,80,33,N,889,POLLING PLACE,118,2,64,36
ALTADENA,0200030A,80,33,N,0,VBM PORTION,143,3,72,45
ALTADENA,0200030A,80,33,N,889,TOTAL,261,5,136,81
ALTADENA,0200031A,6012,44,Y,3,POLLING PLACE,0,0,0,0
ALTADENA,0200031A,6012,44,Y,0,VBM PORTION,0,0,0,0
ALTADENA,0200031A,6012,44,Y,3,TOTAL,0,0,0,0
ALTADENA,0200032A,81,33,N,1378,POLLING PLACE,196,6,113,44
ALTADENA,0200032A,81,33,N,0,VBM PORTION,153,3,89,24
ALTADENA,0200032A,81,33,N,1378,TOTAL,349,9,202,68
ALTADENA,0200038B,82,33,N,1195,POLLING PLACE,180,5,103,47
ALTADENA,0200038B,82,33,N,0,VBM PORTION,134,2,70,34
ALTADENA,0200038B,82,33,N,1195,TOTAL,314,7,173,81
ALTADENA,0200039A,83,33,N,1132,POLLING PLACE,145,4,70,45
ALTADENA,0200039A,83,33,N,0,VBM PORTION,117,7,58,26
ALTADENA,0200039A,83,33,N,1132,TOTAL,262,11,128,71
ALTADENA,0200044A,84,33,N,985,POLLING PLACE,77,4,41,18
ALTADENA,0200044A,84,33,N,0,VBM PORTION,59,2,27,13
ALTADENA,0200044A,84,33,N,985,TOTAL,136,6,68,31
ALTADENA,0200051A,85,33,N,1218,POLLING PLACE,131,0,82,21
ALTADENA,0200051A,85,33,N,0,VBM PORTION,151,5,80,31
ALTADENA,0200051A,85,33,N,1218,TOTAL,282,5,162,52
ALTADENA,0200086A,86,33,N,1189,POLLING PLACE,153,4,98,18
ALTADENA,0200086A,86,33,N,0,VBM PORTION,152,5,79,21
ALTADENA,0200086A,86,33,N,1189,TOTAL,305,9,177,39
ALTADENA,0200086B,6013,33,Y,22,POLLING PLACE,0,0,0,0
ALTADENA,0200086B,6013,33,Y,0,VBM PORTION,8,0,2,2
ALTADENA,0200086B,6013,33,Y,22,TOTAL,8,0,2,2
ALTADENA,0200087A,87,33,N,703,POLLING PLACE,92,2,57,17
ALTADENA,0200087A,87,33,N,0,VBM PORTION,61,4,37,10
ALTADENA,0200087A,87,33,N,703,TOTAL,153,6,94,27
ALTADENA,0200088B,88,33,N,1376,POLLING PLACE,144,7,87,23
ALTADENA,0200088B,88,33,N,0,VBM PORTION,145,4,91,20
ALTADENA,0200088B,88,33,N,1376,TOTAL,289,11,178,43
ALTADENA,0200090A,89,33,N,1130,POLLING PLACE,137,5,82,22
ALTADENA,0200090A,89,33,N,0,VBM PORTION,111,9,64,18
ALTADENA,0200090A,89,33,N,1130,TOTAL,248,14,146,40
ALTADENA,0200091A,90,33,N,1298,POLLING PLACE,166,3,109,12
ALTADENA,0200091A,90,33,N,0,VBM PORTION,116,4,71,14
ALTADENA,0200091A,90,33,N,1298,TOTAL,282,7,180,26
ANTELOPE,0300002A,91,3,N,834,POLLING PLACE,126,3,25,82
ANTELOPE,0300002A,91,3,N,0,VBM PORTION,117,1,27,74
ANTELOPE,0300002A,91,3,N,834,TOTAL,243,4,52,156
ANTELOPE,0300003A,6014,3,Y,66,POLLING PLACE,0,0,0,0
ANTELOPE,0300003A,6014,3,Y,0,VBM PORTION,15,1,0,10
ANTELOPE,0300003A,6014,3,Y,66,TOTAL,15,1,0,10
ARCADIA,0350001A,92,76,N,998,POLLING PLACE,124,0,35,64
ARCADIA,0350001A,92,76,N,0,VBM PORTION,145,1,44,78
ARCADIA,0350001A,92,76,N,998,TOTAL,269,1,79,142
ARCADIA,0350005A,93,76,N,1240,POLLING PLACE,96,4,29,44
ARCADIA,0350005A,93,76,N,0,VBM PORTION,165,6,52,66
ARCADIA,0350005A,93,76,N,1240,TOTAL,261,10,81,110
ARCADIA,0350007A,94,76,N,1143,POLLING PLACE,88,0,19,51
ARCADIA,0350007A,94,76,N,0,VBM PORTION,156,2,39,77
ARCADIA,0350007A,94,76,N,1143,TOTAL,244,2,58,128
ARCADIA,0350008A,95,76,N,1256,POLLING PLACE,170,2,47,86
ARCADIA,0350008A,95,76,N,0,VBM PORTION,159,5,47,73
ARCADIA,0350008A,95,76,N,1256,TOTAL,329,7,94,159
ARCADIA,0350009A,96,76,N,1456,POLLING PLACE,98,10,31,36
ARCADIA,0350009A,96,76,N,0,VBM PORTION,173,6,56,79
ARCADIA,0350009A,96,76,N,1456,TOTAL,271,16,87,115
ARCADIA,0350013A,97,76,N,1231,POLLING PLACE,125,1,43,58
ARCADIA,0350013A,97,76,N,0,VBM PORTION,135,3,38,67
ARCADIA,0350013A,97,76,N,1231,TOTAL,260,4,81,125
ARCADIA,0350018A,98,76,N,1403,POLLING PLACE,134,3,38,61
ARCADIA,0350018A,98,76,N,0,VBM PORTION,242,8,53,123
ARCADIA,0350018A,98,76,N,1403,TOTAL,376,11,91,184
ARCADIA,0350023A,99,76,N,1456,POLLING PLACE,82,1,29,36
ARCADIA,0350023A,99,76,N,0,VBM PORTION,139,7,59,39
ARCADIA,0350023A,99,76,N,1456,TOTAL,221,8,88,75
ARCADIA,0350024A,100,76,N,1485,POLLING PLACE,80,4,35,27
ARCADIA,0350024A,100,76,N,0,VBM PORTION,134,5,45,49
ARCADIA,0350024A,100,76,N,1485,TOTAL,214,9,80,76
ARCADIA,0350029B,101,76,N,1373,POLLING PLACE,120,2,44,45
ARCADIA,0350029B,101,76,N,0,VBM PORTION,140,3,31,77
ARCADIA,0350029B,101,76,N,1373,TOTAL,260,5,75,122
ARCADIA,0350030A,102,76,N,1307,POLLING PLACE,74,4,23,30
ARCADIA,0350030A,102,76,N,0,VBM PORTION,116,8,46,39
ARCADIA,0350030A,102,76,N,1307,TOTAL,190,12,69,69
ARCADIA,0350035A,103,76,N,1078,POLLING PLACE,93,5,30,35
ARCADIA,0350035A,103,76,N,0,VBM PORTION,115,3,41,51
ARCADIA,0350035A,103,76,N,1078,TOTAL,208,8,71,86
ARCADIA,0350037A,104,76,N,1210,POLLING PLACE,91,7,24,34
ARCADIA,0350037A,104,76,N,0,VBM PORTION,110,1,36,38
ARCADIA,0350037A,104,76,N,1210,TOTAL,201,8,60,72
ARCADIA,0350038A,105,76,N,1246,POLLING PLACE,111,5,36,41
ARCADIA,0350038A,105,76,N,0,VBM PORTION,120,7,37,45
ARCADIA,0350038A,105,76,N,1246,TOTAL,231,12,73,86
ARCADIA,0350042A,106,76,N,1251,POLLING PLACE,70,1,29,29
ARCADIA,0350042A,106,76,N,0,VBM PORTION,67,6,30,22
ARCADIA,0350042A,106,76,N,1251,TOTAL,137,7,59,51
ARCADIA,0350043C,107,76,N,1204,POLLING PLACE,68,4,32,14
ARCADIA,0350043C,107,76,N,0,VBM PORTION,67,5,30,19
ARCADIA,0350043C,107,76,N,1204,TOTAL,135,9,62,33
ARCADIA,0350045B,108,76,N,1355,POLLING PLACE,88,2,25,33
ARCADIA,0350045B,108,76,N,0,VBM PORTION,146,6,42,58
ARCADIA,0350045B,108,76,N,1355,TOTAL,234,8,67,91
ARCADIA,0350048A,109,76,N,1098,POLLING PLACE,112,1,40,42
