LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PHIL WYMAN,DAVID KING,ORLY TAITZ,KAMALA D HARRIS,JOHN HAGGERTY,JONATHAN JAECH,RONALD GOLD
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,6,10,0,58,5,4,20
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,2,6,4,45,4,1,6
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,8,16,4,103,9,5,26
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,9,3,2,54,6,1,7
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,7,19,2,23,3,1,12
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,16,22,4,77,9,2,19
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,7,1,4,55,3,1,4
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,2,3,1,47,1,0,2
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,9,4,5,102,4,1,6
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,4,2,2,37,2,0,12
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,3,12,1,56,8,3,22
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,7,14,3,93,10,3,34
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,2,5,3,58,2,3,10
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,7,7,3,34,3,0,5
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,9,12,6,92,5,3,15
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,2,1,0,55,2,1,4
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,3,6,5,37,1,0,11
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,5,7,5,92,3,1,15
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,0,1,1,21,1,1,3
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,0,4,0,16,2,0,6
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,0,5,1,37,3,1,9
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,2,2,0,33,3,0,0
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,3,4,2,36,4,3,4
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,5,6,2,69,7,3,4
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,4,6,1,45,1,1,8
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,3,8,2,44,0,1,8
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,7,14,3,89,1,2,16
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,5,7,2,43,7,3,10
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,0,8,7,41,2,0,10
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,5,15,9,84,9,3,20
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,1,3,2,24,4,0,8
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,2,3,1,13,2,0,4
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,3,6,3,37,6,0,12
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,5,6,2,57,3,3,9
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,4,2,2,37,3,0,13
