LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ALAN REYNOLDS,GEORGE YANG,ERIC KOREVAAR,DAVID FENNELL,AMOS JOHNSON,GAVIN NEWSOM,RON NEHRING,JENA F GOODMAN
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,6,13,9,5,0,25,5,1
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,6,18,16,7,1,42,11,4
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,1,11,3,7,2,57,13,1
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,0,10,8,8,1,45,9,0
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,1,21,11,15,3,102,22,1
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,0,5,1,2,0,25,8,3
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,0,18,1,2,0,30,6,3
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,0,23,2,4,0,55,14,6
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,1,8,4,2,0,26,3,1
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,0,11,5,2,1,12,11,2
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,1,19,9,4,1,38,14,3
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,0,9,1,3,2,13,12,0
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,0,10,4,3,0,29,5,1
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,0,19,5,6,2,42,17,1
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,1,9,3,1,0,30,10,1
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,0,19,4,2,1,34,10,0
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,1,28,7,3,1,64,20,1
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,1,13,6,3,0,46,10,1
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,2,6,4,3,3,38,6,1
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,3,19,10,6,3,84,16,2
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,1,8,6,1,1,50,12,3
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,1,8,5,6,0,28,11,1
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,2,16,11,7,1,78,23,4
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,1,9,2,2,0,37,12,1
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,1,7,1,1,0,29,8,1
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,2,16,3,3,0,66,20,2
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,2,7,9,3,0,38,8,0
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,1,10,0,1,2,23,9,1
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,3,17,9,4,2,61,17,1
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,1,2,2,2,0,10,5,0
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,1,6,3,1,0,19,4,1
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,2,8,5,3,0,29,9,1
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,2,12,9,5,0,68,5,1
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,3,15,4,1,1,15,5,2
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,5,27,13,6,1,83,10,3
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,0,12,3,6,0,44,12,1
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,2,12,3,8,0,36,15,1
