LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,STEVE FOX,KERMIT F FRANKLIN,TOM LACKEY,SUZETTE M MARTINEZ,JD KENNEDY
LANCASTER,3550095A,1362,3,N,1504,POLLING PLACE,93,31,6,31,7,11
LANCASTER,3550095A,1362,3,N,0,VBM PORTION,113,40,6,48,1,9
LANCASTER,3550095A,1362,3,N,1504,TOTAL,206,71,12,79,8,20
LANCASTER,3550096A,1363,3,N,1396,POLLING PLACE,77,40,5,18,7,6
LANCASTER,3550096A,1363,3,N,0,VBM PORTION,73,32,6,24,3,8
LANCASTER,3550096A,1363,3,N,1396,TOTAL,150,72,11,42,10,14
LANCASTER,3550097A,1364,2,N,1296,POLLING PLACE,102,22,2,55,12,6
LANCASTER,3550097A,1364,2,N,0,VBM PORTION,161,50,7,65,13,16
LANCASTER,3550097A,1364,2,N,1296,TOTAL,263,72,9,120,25,22
LANCASTER,3550098A,1365,3,N,1439,POLLING PLACE,82,22,3,32,8,12
LANCASTER,3550098A,1365,3,N,0,VBM PORTION,95,49,6,19,6,7
LANCASTER,3550098A,1365,3,N,1439,TOTAL,177,71,9,51,14,19
LANCASTER,3550099B,1366,3,N,1109,POLLING PLACE,45,12,8,14,5,6
LANCASTER,3550099B,1366,3,N,0,VBM PORTION,59,29,5,12,5,4
LANCASTER,3550099B,1366,3,N,1109,TOTAL,104,41,13,26,10,10
LANCASTER,3550101A,6083,2,Y,54,POLLING PLACE,0,0,0,0,0,0
LANCASTER,3550101A,6083,2,Y,0,VBM PORTION,20,2,3,8,0,2
LANCASTER,3550101A,6083,2,Y,54,TOTAL,20,2,3,8,0,2
LANCASTER,3550101B,1367,2,N,669,POLLING PLACE,51,13,2,17,10,7
LANCASTER,3550101B,1367,2,N,0,VBM PORTION,57,16,2,25,4,7
LANCASTER,3550101B,1367,2,N,669,TOTAL,108,29,4,42,14,14
LANCASTER,3550101E,1368,2,N,830,POLLING PLACE,71,14,6,27,12,11
LANCASTER,3550101E,1368,2,N,0,VBM PORTION,66,18,1,26,3,10
LANCASTER,3550101E,1368,2,N,830,TOTAL,137,32,7,53,15,21
LANCASTER,3550107A,1369,2,N,1333,POLLING PLACE,88,32,5,29,9,9
LANCASTER,3550107A,1369,2,N,0,VBM PORTION,96,36,3,33,10,11
LANCASTER,3550107A,1369,2,N,1333,TOTAL,184,68,8,62,19,20
LEONA VALLEY,3680001A,1390,3,N,1077,POLLING PLACE,209,34,5,120,11,35
LEONA VALLEY,3680001A,1390,3,N,0,VBM PORTION,109,15,4,64,10,10
LEONA VALLEY,3680001A,1390,3,N,1077,TOTAL,318,49,9,184,21,45
LITTLEROCK,3700001A,1391,3,N,806,POLLING PLACE,96,29,2,38,8,13
LITTLEROCK,3700001A,1391,3,N,0,VBM PORTION,51,11,1,26,10,1
LITTLEROCK,3700001A,1391,3,N,806,TOTAL,147,40,3,64,18,14
LITTLEROCK,3700003A,6084,4,Y,3,POLLING PLACE,0,0,0,0,0,0
LITTLEROCK,3700003A,6084,4,Y,0,VBM PORTION,0,0,0,0,0,0
LITTLEROCK,3700003A,6084,4,Y,3,TOTAL,0,0,0,0,0,0
LITTLEROCK,3700040A,1392,3,N,919,POLLING PLACE,90,32,2,37,7,10
LITTLEROCK,3700040A,1392,3,N,0,VBM PORTION,81,25,6,35,2,9
LITTLEROCK,3700040A,1392,3,N,919,TOTAL,171,57,8,72,9,19
LITTLEROCK,3700042B,1393,3,N,821,POLLING PLACE,67,15,3,25,9,11
LITTLEROCK,3700042B,1393,3,N,0,VBM PORTION,65,14,1,30,4,15
LITTLEROCK,3700042B,1393,3,N,821,TOTAL,132,29,4,55,13,26
LITTLEROCK,3700043A,1394,3,N,911,POLLING PLACE,71,36,4,14,10,4
LITTLEROCK,3700043A,1394,3,N,0,VBM PORTION,58,24,9,20,1,3
LITTLEROCK,3700043A,1394,3,N,911,TOTAL,129,60,13,34,11,7
LITTLEROCK,3700044A,1395,3,N,975,POLLING PLACE,62,33,3,21,3,2
LITTLEROCK,3700044A,1395,3,N,0,VBM PORTION,73,30,4,20,10,8
LITTLEROCK,3700044A,1395,3,N,975,TOTAL,135,63,7,41,13,10
LITTLEROCK,3700046A,1396,3,N,1085,POLLING PLACE,77,35,5,16,10,7
LITTLEROCK,3700046A,1396,3,N,0,VBM PORTION,75,31,4,30,2,5
LITTLEROCK,3700046A,1396,3,N,1085,TOTAL,152,66,9,46,12,12
LLANO,3750003A,6085,3,Y,107,POLLING PLACE,0,0,0,0,0,0
LLANO,3750003A,6085,3,Y,0,VBM PORTION,9,5,0,3,0,0
LLANO,3750003A,6085,3,Y,107,TOTAL,9,5,0,3,0,0
LLANO,3750005A,1397,3,N,622,POLLING PLACE,124,19,4,58,13,19
LLANO,3750005A,1397,3,N,0,VBM PORTION,114,28,2,52,10,14
LLANO,3750005A,1397,3,N,622,TOTAL,238,47,6,110,23,33
LLANO,3750012A,6087,1,Y,30,POLLING PLACE,0,0,0,0,0,0
LLANO,3750012A,6087,1,Y,0,VBM PORTION,4,1,0,2,1,0
LLANO,3750012A,6087,1,Y,30,TOTAL,4,1,0,2,1,0
LLANO,3750047A,6088,4,Y,100,POLLING PLACE,0,0,0,0,0,0
LLANO,3750047A,6088,4,Y,0,VBM PORTION,28,5,2,12,8,0
LLANO,3750047A,6088,4,Y,100,TOTAL,28,5,2,12,8,0
NEENACH,4650001A,1832,3,N,477,POLLING PLACE,82,14,0,40,7,20
NEENACH,4650001A,1832,3,N,0,VBM PORTION,92,21,4,45,14,4
NEENACH,4650001A,1832,3,N,477,TOTAL,174,35,4,85,21,24
PALMDALE,5000001A,1886,3,N,1227,POLLING PLACE,87,42,14,19,4,5
PALMDALE,5000001A,1886,3,N,0,VBM PORTION,72,22,8,20,9,9
PALMDALE,5000001A,1886,3,N,1227,TOTAL,159,64,22,39,13,14
PALMDALE,5000003A,1887,3,N,1078,POLLING PLACE,75,34,7,17,5,10
PALMDALE,5000003A,1887,3,N,0,VBM PORTION,79,27,6,32,6,6
PALMDALE,5000003A,1887,3,N,1078,TOTAL,154,61,13,49,11,16
PALMDALE,5000005A,1888,3,N,1516,POLLING PLACE,49,22,4,15,6,1
PALMDALE,5000005A,1888,3,N,0,VBM PORTION,80,28,8,19,5,12
PALMDALE,5000005A,1888,3,N,1516,TOTAL,129,50,12,34,11,13
PALMDALE,5000005B,6123,3,Y,27,POLLING PLACE,0,0,0,0,0,0
PALMDALE,5000005B,6123,3,Y,0,VBM PORTION,8,5,0,1,1,1
PALMDALE,5000005B,6123,3,Y,27,TOTAL,8,5,0,1,1,1
PALMDALE,5000006A,1889,3,N,1119,POLLING PLACE,38,16,3,12,2,3
PALMDALE,5000006A,1889,3,N,0,VBM PORTION,65,25,4,28,3,3
PALMDALE,5000006A,1889,3,N,1119,TOTAL,103,41,7,40,5,6
PALMDALE,5000007A,1890,3,N,1114,POLLING PLACE,42,18,4,10,3,7
PALMDALE,5000007A,1890,3,N,0,VBM PORTION,60,29,5,16,3,3
PALMDALE,5000007A,1890,3,N,1114,TOTAL,102,47,9,26,6,10
PALMDALE,5000008A,1891,3,N,1063,POLLING PLACE,75,28,10,18,6,9
PALMDALE,5000008A,1891,3,N,0,VBM PORTION,65,28,3,21,6,5
