LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM TORLAKSON,MARSHALL TUCK,LYDIA A GUTIERREZ
ARCADIA,0350001A,92,76,N,0,VBM PORTION,145,42,54,26
ARCADIA,0350001A,92,76,N,998,TOTAL,269,70,107,46
ARCADIA,0350005A,93,76,N,1240,POLLING PLACE,96,21,40,19
ARCADIA,0350005A,93,76,N,0,VBM PORTION,165,49,56,18
ARCADIA,0350005A,93,76,N,1240,TOTAL,261,70,96,37
ARCADIA,0350007A,94,76,N,1143,POLLING PLACE,88,19,35,17
ARCADIA,0350007A,94,76,N,0,VBM PORTION,156,38,53,27
ARCADIA,0350007A,94,76,N,1143,TOTAL,244,57,88,44
ARCADIA,0350008A,95,76,N,1256,POLLING PLACE,170,64,58,26
ARCADIA,0350008A,95,76,N,0,VBM PORTION,159,40,62,16
ARCADIA,0350008A,95,76,N,1256,TOTAL,329,104,120,42
ARCADIA,0350009A,96,76,N,1456,POLLING PLACE,98,23,49,12
ARCADIA,0350009A,96,76,N,0,VBM PORTION,173,54,62,20
ARCADIA,0350009A,96,76,N,1456,TOTAL,271,77,111,32
ARCADIA,0350013A,97,76,N,1231,POLLING PLACE,125,44,49,16
ARCADIA,0350013A,97,76,N,0,VBM PORTION,135,43,37,29
ARCADIA,0350013A,97,76,N,1231,TOTAL,260,87,86,45
ARCADIA,0350018A,98,76,N,1403,POLLING PLACE,134,34,55,17
ARCADIA,0350018A,98,76,N,0,VBM PORTION,242,61,75,45
ARCADIA,0350018A,98,76,N,1403,TOTAL,376,95,130,62
ARCADIA,0350023A,99,76,N,1456,POLLING PLACE,82,22,22,22
ARCADIA,0350023A,99,76,N,0,VBM PORTION,139,53,40,21
ARCADIA,0350023A,99,76,N,1456,TOTAL,221,75,62,43
ARCADIA,0350024A,100,76,N,1485,POLLING PLACE,80,30,20,17
ARCADIA,0350024A,100,76,N,0,VBM PORTION,134,48,39,26
ARCADIA,0350024A,100,76,N,1485,TOTAL,214,78,59,43
ARCADIA,0350029B,101,76,N,1373,POLLING PLACE,120,42,43,20
ARCADIA,0350029B,101,76,N,0,VBM PORTION,140,32,57,16
ARCADIA,0350029B,101,76,N,1373,TOTAL,260,74,100,36
ARCADIA,0350030A,102,76,N,1307,POLLING PLACE,74,27,18,16
ARCADIA,0350030A,102,76,N,0,VBM PORTION,116,37,31,26
ARCADIA,0350030A,102,76,N,1307,TOTAL,190,64,49,42
ARCADIA,0350035A,103,76,N,1078,POLLING PLACE,93,34,38,8
ARCADIA,0350035A,103,76,N,0,VBM PORTION,115,43,36,12
ARCADIA,0350035A,103,76,N,1078,TOTAL,208,77,74,20
ARCADIA,0350037A,104,76,N,1210,POLLING PLACE,91,24,34,19
ARCADIA,0350037A,104,76,N,0,VBM PORTION,110,36,36,14
ARCADIA,0350037A,104,76,N,1210,TOTAL,201,60,70,33
ARCADIA,0350038A,105,76,N,1246,POLLING PLACE,111,38,40,14
ARCADIA,0350038A,105,76,N,0,VBM PORTION,120,44,45,10
ARCADIA,0350038A,105,76,N,1246,TOTAL,231,82,85,24
ARCADIA,0350042A,106,76,N,1251,POLLING PLACE,70,22,18,23
ARCADIA,0350042A,106,76,N,0,VBM PORTION,67,20,22,13
ARCADIA,0350042A,106,76,N,1251,TOTAL,137,42,40,36
ARCADIA,0350043C,107,76,N,1204,POLLING PLACE,68,24,18,15
ARCADIA,0350043C,107,76,N,0,VBM PORTION,67,23,20,10
ARCADIA,0350043C,107,76,N,1204,TOTAL,135,47,38,25
ARCADIA,0350045B,108,76,N,1355,POLLING PLACE,88,30,29,9
ARCADIA,0350045B,108,76,N,0,VBM PORTION,146,46,56,19
ARCADIA,0350045B,108,76,N,1355,TOTAL,234,76,85,28
