LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,AUTUMN BURKE,PAUL KOURI,SIMONA A FARRISE,ADAM M PLIMPTON,TED J GROSE,GLORIA GRAY,EMIDIO SOLTYSIK,MIKE STEVENS
HAWTHORNE,2700016A,1053,162,N,939,POLLING PLACE,50,19,0,4,1,11,6,2,3
HAWTHORNE,2700016A,1053,162,N,0,VBM PORTION,43,11,2,0,0,11,12,0,1
HAWTHORNE,2700016A,1053,162,N,939,TOTAL,93,30,2,4,1,22,18,2,4
HAWTHORNE,2700017A,1054,162,N,1142,POLLING PLACE,62,27,4,6,0,9,9,0,4
HAWTHORNE,2700017A,1054,162,N,0,VBM PORTION,41,9,2,7,0,16,4,0,1
HAWTHORNE,2700017A,1054,162,N,1142,TOTAL,103,36,6,13,0,25,13,0,5
HAWTHORNE,2700019A,1055,162,N,1161,POLLING PLACE,79,26,1,6,1,22,13,2,4
HAWTHORNE,2700019A,1055,162,N,0,VBM PORTION,49,19,0,6,2,18,3,0,0
HAWTHORNE,2700019A,1055,162,N,1161,TOTAL,128,45,1,12,3,40,16,2,4
HAWTHORNE,2700020A,1056,162,N,1200,POLLING PLACE,74,27,2,11,0,11,15,0,2
HAWTHORNE,2700020A,1056,162,N,0,VBM PORTION,45,12,1,10,2,9,6,0,2
HAWTHORNE,2700020A,1056,162,N,1200,TOTAL,119,39,3,21,2,20,21,0,4
HAWTHORNE,2700021A,1057,162,N,1215,POLLING PLACE,41,17,1,4,0,5,6,1,1
HAWTHORNE,2700021A,1057,162,N,0,VBM PORTION,38,15,3,7,1,2,5,1,1
HAWTHORNE,2700021A,1057,162,N,1215,TOTAL,79,32,4,11,1,7,11,2,2
HAWTHORNE,2700022A,1058,162,N,1067,POLLING PLACE,59,25,1,9,1,4,9,1,1
HAWTHORNE,2700022A,1058,162,N,0,VBM PORTION,56,26,0,3,0,14,3,3,1
