LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,WILLIAM MORRISON,PETER CHOI,KEVIN DE LEON
LOS ANGELES,9000248A,3121,90,N,1084,POLLING PLACE,65,6,15,37
LOS ANGELES,9000248A,3121,90,N,0,VBM PORTION,63,11,14,38
LOS ANGELES,9000248A,3121,90,N,1084,TOTAL,128,17,29,75
LOS ANGELES,9000249A,3122,90,N,773,POLLING PLACE,54,6,9,39
LOS ANGELES,9000249A,3122,90,N,0,VBM PORTION,29,3,9,16
LOS ANGELES,9000249A,3122,90,N,773,TOTAL,83,9,18,55
LOS ANGELES,9000273B,3140,95,N,712,POLLING PLACE,75,8,8,44
LOS ANGELES,9000273B,3140,95,N,0,VBM PORTION,16,1,1,13
LOS ANGELES,9000273B,3140,95,N,712,TOTAL,91,9,9,57
LOS ANGELES,9000275B,3141,95,N,839,POLLING PLACE,66,4,5,48
LOS ANGELES,9000275B,3141,95,N,0,VBM PORTION,27,1,2,22
LOS ANGELES,9000275B,3141,95,N,839,TOTAL,93,5,7,70
LOS ANGELES,9000277A,3142,95,N,921,POLLING PLACE,93,6,13,62
LOS ANGELES,9000277A,3142,95,N,0,VBM PORTION,42,3,3,33
LOS ANGELES,9000277A,3142,95,N,921,TOTAL,135,9,16,95
LOS ANGELES,9000303A,3158,90,N,1231,POLLING PLACE,170,27,30,96
LOS ANGELES,9000303A,3158,90,N,0,VBM PORTION,156,35,27,74
LOS ANGELES,9000303A,3158,90,N,1231,TOTAL,326,62,57,170
LOS ANGELES,9000319A,3171,90,N,1337,POLLING PLACE,88,18,8,56
LOS ANGELES,9000319A,3171,90,N,0,VBM PORTION,96,23,13,51
LOS ANGELES,9000319A,3171,90,N,1337,TOTAL,184,41,21,107
LOS ANGELES,9000323A,3173,90,N,1213,POLLING PLACE,106,15,12,75
LOS ANGELES,9000323A,3173,90,N,0,VBM PORTION,83,9,10,50
LOS ANGELES,9000323A,3173,90,N,1213,TOTAL,189,24,22,125
LOS ANGELES,9000326A,3176,41,N,1072,POLLING PLACE,108,14,27,58
LOS ANGELES,9000326A,3176,41,N,0,VBM PORTION,55,2,21,25
LOS ANGELES,9000326A,3176,41,N,1072,TOTAL,163,16,48,83
LOS ANGELES,9000336A,3182,90,N,1191,POLLING PLACE,111,18,10,80
LOS ANGELES,9000336A,3182,90,N,0,VBM PORTION,47,1,8,38
LOS ANGELES,9000336A,3182,90,N,1191,TOTAL,158,19,18,118
LOS ANGELES,9000357A,3193,90,N,1157,POLLING PLACE,115,31,12,62
LOS ANGELES,9000357A,3193,90,N,0,VBM PORTION,80,18,10,44
LOS ANGELES,9000357A,3193,90,N,1157,TOTAL,195,49,22,106
LOS ANGELES,9000368C,3201,90,N,846,POLLING PLACE,79,10,12,48
LOS ANGELES,9000368C,3201,90,N,0,VBM PORTION,42,9,5,25
LOS ANGELES,9000368C,3201,90,N,846,TOTAL,121,19,17,73
LOS ANGELES,9000371A,3203,90,N,1128,POLLING PLACE,63,4,12,41
LOS ANGELES,9000371A,3203,90,N,0,VBM PORTION,46,4,11,25
LOS ANGELES,9000371A,3203,90,N,1128,TOTAL,109,8,23,66
LOS ANGELES,9000395A,3218,41,N,1224,POLLING PLACE,81,19,6,51
LOS ANGELES,9000395A,3218,41,N,0,VBM PORTION,34,8,2,21
LOS ANGELES,9000395A,3218,41,N,1224,TOTAL,115,27,8,72
LOS ANGELES,9000437A,3245,90,N,1280,POLLING PLACE,156,20,25,96
LOS ANGELES,9000437A,3245,90,N,0,VBM PORTION,95,17,14,58
LOS ANGELES,9000437A,3245,90,N,1280,TOTAL,251,37,39,154
LOS ANGELES,9000438A,3246,90,N,1096,POLLING PLACE,104,15,10,70
LOS ANGELES,9000438A,3246,90,N,0,VBM PORTION,45,9,7,24
LOS ANGELES,9000438A,3246,90,N,1096,TOTAL,149,24,17,94
LOS ANGELES,9000444A,3249,90,N,871,POLLING PLACE,98,19,16,55
LOS ANGELES,9000444A,3249,90,N,0,VBM PORTION,71,12,9,42
LOS ANGELES,9000444A,3249,90,N,871,TOTAL,169,31,25,97
LOS ANGELES,9000464B,3260,90,N,1189,POLLING PLACE,58,11,8,27
LOS ANGELES,9000464B,3260,90,N,0,VBM PORTION,87,11,23,43
LOS ANGELES,9000464B,3260,90,N,1189,TOTAL,145,22,31,70
LOS ANGELES,9000466A,3262,40,N,954,POLLING PLACE,80,10,11,55
LOS ANGELES,9000466A,3262,40,N,0,VBM PORTION,69,15,17,27
LOS ANGELES,9000466A,3262,40,N,954,TOTAL,149,25,28,82
LOS ANGELES,9000476A,3267,103,N,590,POLLING PLACE,24,4,5,12
LOS ANGELES,9000476A,3267,103,N,0,VBM PORTION,25,3,6,13
LOS ANGELES,9000476A,3267,103,N,590,TOTAL,49,7,11,25
LOS ANGELES,9000477A,3268,90,N,1024,POLLING PLACE,85,13,17,47
LOS ANGELES,9000477A,3268,90,N,0,VBM PORTION,42,6,8,24
LOS ANGELES,9000477A,3268,90,N,1024,TOTAL,127,19,25,71
LOS ANGELES,9000481A,3269,41,N,1230,POLLING PLACE,53,11,5,30
LOS ANGELES,9000481A,3269,41,N,0,VBM PORTION,59,6,7,32
LOS ANGELES,9000481A,3269,41,N,1230,TOTAL,112,17,12,62
LOS ANGELES,9000495A,3276,41,N,1209,POLLING PLACE,65,12,17,30
LOS ANGELES,9000495A,3276,41,N,0,VBM PORTION,48,5,13,24
LOS ANGELES,9000495A,3276,41,N,1209,TOTAL,113,17,30,54
LOS ANGELES,9000505A,3282,89,N,841,POLLING PLACE,88,6,12,63
LOS ANGELES,9000505A,3282,89,N,0,VBM PORTION,58,5,13,33
LOS ANGELES,9000505A,3282,89,N,841,TOTAL,146,11,25,96
LOS ANGELES,9000507A,3284,41,N,1272,POLLING PLACE,59,7,13,36
LOS ANGELES,9000507A,3284,41,N,0,VBM PORTION,69,7,18,40
LOS ANGELES,9000507A,3284,41,N,1272,TOTAL,128,14,31,76
LOS ANGELES,9000513A,3291,90,N,1073,POLLING PLACE,57,8,13,31
