LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM GRIEGO,STEVEN P SCHREINER,ANDREW M STEIN
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,22,22,8
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,46,40,22
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,14,9,7
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,6,11,11
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,20,20,18
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,16,15,24
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,7,17,10
ALTADENA,0200001A,63,33,N,500,TOTAL,118,23,32,34
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,9,11,15
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,26,27,22
ALTADENA,0200002A,64,33,N,692,TOTAL,152,35,38,37
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,22,10,33
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,20,19,16
ALTADENA,0200003A,65,33,N,854,TOTAL,161,42,29,49
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,21,47,48
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,42,50,51
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,63,97,99
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,25,39,29
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,30,28,33
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,55,67,62
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,19,12,25
ALTADENA,0200008A,68,33,N,0,VBM PORTION,58,20,11,12
ALTADENA,0200008A,68,33,N,873,TOTAL,135,39,23,37
ALTADENA,0200009A,69,33,N,969,POLLING PLACE,89,21,17,34
ALTADENA,0200009A,69,33,N,0,VBM PORTION,62,20,14,17
ALTADENA,0200009A,69,33,N,969,TOTAL,151,41,31,51
ALTADENA,0200011A,70,33,N,860,POLLING PLACE,77,8,17,30
ALTADENA,0200011A,70,33,N,0,VBM PORTION,101,26,19,28
ALTADENA,0200011A,70,33,N,860,TOTAL,178,34,36,58
ALTADENA,0200012A,71,33,N,819,POLLING PLACE,94,24,32,29
ALTADENA,0200012A,71,33,N,0,VBM PORTION,100,32,27,19
ALTADENA,0200012A,71,33,N,819,TOTAL,194,56,59,48
ALTADENA,0200013A,72,33,N,931,POLLING PLACE,63,16,6,24
ALTADENA,0200013A,72,33,N,0,VBM PORTION,46,15,7,9
ALTADENA,0200013A,72,33,N,931,TOTAL,109,31,13,33
ALTADENA,0200015A,73,33,N,1366,POLLING PLACE,103,27,22,26
ALTADENA,0200015A,73,33,N,0,VBM PORTION,106,24,30,29
ALTADENA,0200015A,73,33,N,1366,TOTAL,209,51,52,55
ALTADENA,0200017A,74,33,N,1002,POLLING PLACE,55,16,11,20
ALTADENA,0200017A,74,33,N,0,VBM PORTION,59,18,12,12
ALTADENA,0200017A,74,33,N,1002,TOTAL,114,34,23,32
ALTADENA,0200018A,75,33,N,852,POLLING PLACE,54,20,11,14
ALTADENA,0200018A,75,33,N,0,VBM PORTION,39,13,6,12
ALTADENA,0200018A,75,33,N,852,TOTAL,93,33,17,26
ALTADENA,0200019B,76,33,N,872,POLLING PLACE,57,13,16,16
ALTADENA,0200019B,76,33,N,0,VBM PORTION,24,6,7,7
ALTADENA,0200019B,76,33,N,872,TOTAL,81,19,23,23
ALTADENA,0200022A,77,33,N,866,POLLING PLACE,122,23,26,38
ALTADENA,0200022A,77,33,N,0,VBM PORTION,121,30,17,40
ALTADENA,0200022A,77,33,N,866,TOTAL,243,53,43,78
ALTADENA,0200025B,78,33,N,915,POLLING PLACE,84,17,24,30
ALTADENA,0200025B,78,33,N,0,VBM PORTION,52,17,10,5
ALTADENA,0200025B,78,33,N,915,TOTAL,136,34,34,35
ALTADENA,0200028A,79,33,N,1306,POLLING PLACE,207,41,44,71
ALTADENA,0200028A,79,33,N,0,VBM PORTION,206,54,41,60
ALTADENA,0200028A,79,33,N,1306,TOTAL,413,95,85,131
ALTADENA,0200030A,80,33,N,889,POLLING PLACE,118,25,28,43
ALTADENA,0200030A,80,33,N,0,VBM PORTION,143,26,47,39
ALTADENA,0200030A,80,33,N,889,TOTAL,261,51,75,82
ALTADENA,0200031A,6012,44,Y,3,POLLING PLACE,0,0,0,0
