LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ARTURO E ALAS,GRACE F NAPOLITANO
BASSETT,0670010A,190,66,N,751,POLLING PLACE,41,8,23
BASSETT,0670010A,190,66,N,0,VBM PORTION,34,5,28
BASSETT,0670010A,190,66,N,751,TOTAL,75,13,51
BASSETT,0670141A,191,66,N,1152,POLLING PLACE,82,19,56
BASSETT,0670141A,191,66,N,0,VBM PORTION,42,6,32
BASSETT,0670141A,191,66,N,1152,TOTAL,124,25,88
BASSETT,0670142A,192,66,N,626,POLLING PLACE,42,9,29
BASSETT,0670142A,192,66,N,0,VBM PORTION,28,10,17
BASSETT,0670142A,192,66,N,626,TOTAL,70,19,46
BASSETT,0670143A,193,66,N,1026,POLLING PLACE,95,22,59
BASSETT,0670143A,193,66,N,0,VBM PORTION,40,8,26
BASSETT,0670143A,193,66,N,1026,TOTAL,135,30,85
BASSETT,0670144A,194,66,N,991,POLLING PLACE,80,16,53
BASSETT,0670144A,194,66,N,0,VBM PORTION,49,13,32
BASSETT,0670144A,194,66,N,991,TOTAL,129,29,85
CHARTER OAK,1100001A,463,66,N,577,POLLING PLACE,33,9,20
CHARTER OAK,1100001A,463,66,N,0,VBM PORTION,18,5,12
CHARTER OAK,1100001A,463,66,N,577,TOTAL,51,14,32
CHARTER OAK,1100004A,464,66,N,670,POLLING PLACE,36,6,28
CHARTER OAK,1100004A,464,66,N,0,VBM PORTION,24,8,14
CHARTER OAK,1100004A,464,66,N,670,TOTAL,60,14,42
CHARTER OAK,1100005A,465,66,N,615,POLLING PLACE,32,7,21
CHARTER OAK,1100005A,465,66,N,0,VBM PORTION,28,9,16
CHARTER OAK,1100005A,465,66,N,615,TOTAL,60,16,37
CHARTER OAK,1100007A,466,66,N,1047,POLLING PLACE,61,15,41
CHARTER OAK,1100007A,466,66,N,0,VBM PORTION,30,12,14
CHARTER OAK,1100007A,466,66,N,1047,TOTAL,91,27,55
CHARTER OAK,1100026A,467,68,N,1153,POLLING PLACE,115,53,53
CHARTER OAK,1100026A,467,68,N,0,VBM PORTION,73,39,31
CHARTER OAK,1100026A,467,68,N,1153,TOTAL,188,92,84
CHARTER OAK,1100028A,468,68,N,1304,POLLING PLACE,106,45,48
CHARTER OAK,1100028A,468,68,N,0,VBM PORTION,79,42,32
CHARTER OAK,1100028A,468,68,N,1304,TOTAL,185,87,80
CHARTER OAK,1100040A,469,68,N,1127,POLLING PLACE,76,38,32
CHARTER OAK,1100040A,469,68,N,0,VBM PORTION,75,17,50
CHARTER OAK,1100040A,469,68,N,1127,TOTAL,151,55,82
CHARTER OAK,1100072A,470,68,N,580,POLLING PLACE,38,10,24
CHARTER OAK,1100072A,470,68,N,0,VBM PORTION,27,10,16
CHARTER OAK,1100072A,470,68,N,580,TOTAL,65,20,40
CHARTER OAK,1100073A,471,68,N,1146,POLLING PLACE,106,42,52
CHARTER OAK,1100073A,471,68,N,0,VBM PORTION,68,22,41
CHARTER OAK,1100073A,471,68,N,1146,TOTAL,174,64,93
CHARTER OAK,1100076A,472,66,N,1098,POLLING PLACE,100,44,51
CHARTER OAK,1100076A,472,66,N,0,VBM PORTION,52,23,27
CHARTER OAK,1100076A,472,66,N,1098,TOTAL,152,67,78
CHARTER OAK,1100077A,473,66,N,1001,POLLING PLACE,65,22,37
CHARTER OAK,1100077A,473,66,N,0,VBM PORTION,25,11,12
CHARTER OAK,1100077A,473,66,N,1001,TOTAL,90,33,49
CHARTER OAK,1100081A,474,66,N,880,POLLING PLACE,55,22,29
CHARTER OAK,1100081A,474,66,N,0,VBM PORTION,44,18,22
CHARTER OAK,1100081A,474,66,N,880,TOTAL,99,40,51
CHARTER OAK,1100083A,475,68,N,1136,POLLING PLACE,50,23,25
CHARTER OAK,1100083A,475,68,N,0,VBM PORTION,59,22,32
CHARTER OAK,1100083A,475,68,N,1136,TOTAL,109,45,57
CHARTER OAK,1100084A,476,68,N,795,POLLING PLACE,57,27,26
CHARTER OAK,1100084A,476,68,N,0,VBM PORTION,48,11,35
CHARTER OAK,1100084A,476,68,N,795,TOTAL,105,38,61
CITRUS,1250072A,6031,66,Y,0,POLLING PLACE,0,0,0
CITRUS,1250072A,6031,66,Y,0,VBM PORTION,0,0,0
CITRUS,1250072A,6031,66,Y,0,TOTAL,0,0,0
CITRUS,1250083A,6034,68,Y,177,POLLING PLACE,0,0,0
CITRUS,1250083A,6034,68,Y,0,VBM PORTION,37,15,18
CITRUS,1250083A,6034,68,Y,177,TOTAL,37,15,18
COVINA,1500001A,557,68,N,348,POLLING PLACE,23,8,13
COVINA,1500001A,557,68,N,0,VBM PORTION,9,2,7
COVINA,1500001A,557,68,N,348,TOTAL,32,10,20
COVINA,1500003A,558,68,N,736,POLLING PLACE,80,41,26
COVINA,1500003A,558,68,N,0,VBM PORTION,56,22,28
COVINA,1500003A,558,68,N,736,TOTAL,136,63,54
COVINA,1500008A,559,68,N,916,POLLING PLACE,100,42,48
COVINA,1500008A,559,68,N,0,VBM PORTION,68,27,36
COVINA,1500008A,559,68,N,916,TOTAL,168,69,84
COVINA,1500009A,560,68,N,926,POLLING PLACE,104,52,42
COVINA,1500009A,560,68,N,0,VBM PORTION,80,25,50
COVINA,1500009A,560,68,N,926,TOTAL,184,77,92
COVINA,1500012A,561,68,N,1136,POLLING PLACE,105,49,46
COVINA,1500012A,561,68,N,0,VBM PORTION,69,29,37
COVINA,1500012A,561,68,N,1136,TOTAL,174,78,83
COVINA,1500014A,562,68,N,1272,POLLING PLACE,69,30,33
COVINA,1500014A,562,68,N,0,VBM PORTION,64,31,32
COVINA,1500014A,562,68,N,1272,TOTAL,133,61,65
COVINA,1500016B,563,68,N,1043,POLLING PLACE,79,39,34
COVINA,1500016B,563,68,N,0,VBM PORTION,101,32,63
COVINA,1500016B,563,68,N,1043,TOTAL,180,71,97
COVINA,1500022A,564,68,N,1209,POLLING PLACE,81,31,45
COVINA,1500022A,564,68,N,0,VBM PORTION,58,24,29
COVINA,1500022A,564,68,N,1209,TOTAL,139,55,74
COVINA,1500024A,565,68,N,1036,POLLING PLACE,70,35,31
COVINA,1500024A,565,68,N,0,VBM PORTION,73,25,39
COVINA,1500024A,565,68,N,1036,TOTAL,143,60,70
COVINA,1500025A,566,68,N,1170,POLLING PLACE,45,16,26
COVINA,1500025A,566,68,N,0,VBM PORTION,49,15,33
COVINA,1500025A,566,68,N,1170,TOTAL,94,31,59
COVINA,1500027A,567,68,N,702,POLLING PLACE,41,23,15
COVINA,1500027A,567,68,N,0,VBM PORTION,45,18,25
COVINA,1500027A,567,68,N,702,TOTAL,86,41,40
COVINA,1500029A,568,68,N,1071,POLLING PLACE,70,27,35
COVINA,1500029A,568,68,N,0,VBM PORTION,98,47,45
