LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SHANNON L KNIGHT,DEBRA L LOSNICK
ALTADENA,0200032A,81,33,N,0,VBM PORTION,153,46,63
ALTADENA,0200032A,81,33,N,1378,TOTAL,349,112,158
ALTADENA,0200038B,82,33,N,1195,POLLING PLACE,180,46,88
ALTADENA,0200038B,82,33,N,0,VBM PORTION,134,39,68
ALTADENA,0200038B,82,33,N,1195,TOTAL,314,85,156
ALTADENA,0200039A,83,33,N,1132,POLLING PLACE,145,66,49
ALTADENA,0200039A,83,33,N,0,VBM PORTION,117,46,39
ALTADENA,0200039A,83,33,N,1132,TOTAL,262,112,88
ALTADENA,0200044A,84,33,N,985,POLLING PLACE,77,37,33
ALTADENA,0200044A,84,33,N,0,VBM PORTION,59,19,22
ALTADENA,0200044A,84,33,N,985,TOTAL,136,56,55
ALTADENA,0200051A,85,33,N,1218,POLLING PLACE,131,39,65
ALTADENA,0200051A,85,33,N,0,VBM PORTION,151,48,69
ALTADENA,0200051A,85,33,N,1218,TOTAL,282,87,134
ALTADENA,0200086A,86,33,N,1189,POLLING PLACE,153,69,53
ALTADENA,0200086A,86,33,N,0,VBM PORTION,152,48,69
ALTADENA,0200086A,86,33,N,1189,TOTAL,305,117,122
ALTADENA,0200086B,6013,33,Y,22,POLLING PLACE,0,0,0
ALTADENA,0200086B,6013,33,Y,0,VBM PORTION,8,4,0
ALTADENA,0200086B,6013,33,Y,22,TOTAL,8,4,0
ALTADENA,0200087A,87,33,N,703,POLLING PLACE,92,24,35
ALTADENA,0200087A,87,33,N,0,VBM PORTION,61,28,17
ALTADENA,0200087A,87,33,N,703,TOTAL,153,52,52
ALTADENA,0200088B,88,33,N,1376,POLLING PLACE,144,60,53
ALTADENA,0200088B,88,33,N,0,VBM PORTION,145,53,56
ALTADENA,0200088B,88,33,N,1376,TOTAL,289,113,109
ALTADENA,0200090A,89,33,N,1130,POLLING PLACE,137,61,42
ALTADENA,0200090A,89,33,N,0,VBM PORTION,111,44,46
ALTADENA,0200090A,89,33,N,1130,TOTAL,248,105,88
ALTADENA,0200091A,90,33,N,1298,POLLING PLACE,166,70,61
ALTADENA,0200091A,90,33,N,0,VBM PORTION,116,53,37
ALTADENA,0200091A,90,33,N,1298,TOTAL,282,123,98
ANTELOPE,0300002A,91,3,N,834,POLLING PLACE,126,93,10
ANTELOPE,0300002A,91,3,N,0,VBM PORTION,117,78,26
ANTELOPE,0300002A,91,3,N,834,TOTAL,243,171,36
ANTELOPE,0300003A,6014,3,Y,66,POLLING PLACE,0,0,0
ANTELOPE,0300003A,6014,3,Y,0,VBM PORTION,15,10,1
ANTELOPE,0300003A,6014,3,Y,66,TOTAL,15,10,1
ARCADIA,0350001A,92,76,N,998,POLLING PLACE,124,51,42
ARCADIA,0350001A,92,76,N,0,VBM PORTION,145,70,34
ARCADIA,0350001A,92,76,N,998,TOTAL,269,121,76
ARCADIA,0350005A,93,76,N,1240,POLLING PLACE,96,40,31
ARCADIA,0350005A,93,76,N,0,VBM PORTION,165,59,55
ARCADIA,0350005A,93,76,N,1240,TOTAL,261,99,86
ARCADIA,0350007A,94,76,N,1143,POLLING PLACE,88,39,18
ARCADIA,0350007A,94,76,N,0,VBM PORTION,156,72,40
ARCADIA,0350007A,94,76,N,1143,TOTAL,244,111,58
ARCADIA,0350008A,95,76,N,1256,POLLING PLACE,170,89,50
ARCADIA,0350008A,95,76,N,0,VBM PORTION,159,65,47
ARCADIA,0350008A,95,76,N,1256,TOTAL,329,154,97
ARCADIA,0350009A,96,76,N,1456,POLLING PLACE,98,45,30
ARCADIA,0350009A,96,76,N,0,VBM PORTION,173,79,37
ARCADIA,0350009A,96,76,N,1456,TOTAL,271,124,67
ARCADIA,0350013A,97,76,N,1231,POLLING PLACE,125,67,28
ARCADIA,0350013A,97,76,N,0,VBM PORTION,135,58,27
ARCADIA,0350013A,97,76,N,1231,TOTAL,260,125,55
ARCADIA,0350018A,98,76,N,1403,POLLING PLACE,134,61,37
ARCADIA,0350018A,98,76,N,0,VBM PORTION,242,81,66
