LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,LEE ROGERS,DAVID KOSTER BRUCE,MICHAEL MUSSACK,TROY CASTAGNA,STEVE KNIGHT,EVAN THOMAS,TONY STRICKLAND,NAVRAJ SINGH
PALMDALE,5000003A,1887,3,N,1078,TOTAL,154,38,8,1,4,58,15,17,2
PALMDALE,5000005A,1888,3,N,1516,POLLING PLACE,49,15,0,1,4,17,5,4,2
PALMDALE,5000005A,1888,3,N,0,VBM PORTION,80,29,0,0,2,17,7,18,0
PALMDALE,5000005A,1888,3,N,1516,TOTAL,129,44,0,1,6,34,12,22,2
PALMDALE,5000005B,6123,3,Y,27,POLLING PLACE,0,0,0,0,0,0,0,0,0
PALMDALE,5000005B,6123,3,Y,0,VBM PORTION,8,1,0,0,0,3,1,1,1
PALMDALE,5000005B,6123,3,Y,27,TOTAL,8,1,0,0,0,3,1,1,1
PALMDALE,5000006A,1889,3,N,1119,POLLING PLACE,38,12,0,0,1,12,5,5,1
PALMDALE,5000006A,1889,3,N,0,VBM PORTION,65,17,1,1,2,25,6,9,1
PALMDALE,5000006A,1889,3,N,1119,TOTAL,103,29,1,1,3,37,11,14,2
PALMDALE,5000007A,1890,3,N,1114,POLLING PLACE,42,11,0,1,2,8,8,11,0
PALMDALE,5000007A,1890,3,N,0,VBM PORTION,60,14,3,2,4,12,10,7,1
PALMDALE,5000007A,1890,3,N,1114,TOTAL,102,25,3,3,6,20,18,18,1
PALMDALE,5000008A,1891,3,N,1063,POLLING PLACE,75,16,0,4,5,13,19,11,2
PALMDALE,5000008A,1891,3,N,0,VBM PORTION,65,18,3,0,4,27,3,5,0
PALMDALE,5000008A,1891,3,N,1063,TOTAL,140,34,3,4,9,40,22,16,2
PALMDALE,5000009A,1892,3,N,1275,POLLING PLACE,51,15,1,0,2,10,11,8,0
PALMDALE,5000009A,1892,3,N,0,VBM PORTION,87,29,1,1,3,26,14,8,1
PALMDALE,5000009A,1892,3,N,1275,TOTAL,138,44,2,1,5,36,25,16,1
PALMDALE,5000010A,1893,3,N,774,POLLING PLACE,59,21,1,2,1,17,6,8,0
PALMDALE,5000010A,1893,3,N,0,VBM PORTION,54,25,0,0,2,10,5,9,1
PALMDALE,5000010A,1893,3,N,774,TOTAL,113,46,1,2,3,27,11,17,1
PALMDALE,5000011A,1894,3,N,1321,POLLING PLACE,140,22,0,1,6,71,13,16,4
PALMDALE,5000011A,1894,3,N,0,VBM PORTION,178,27,2,1,6,88,14,23,2
PALMDALE,5000011A,1894,3,N,1321,TOTAL,318,49,2,2,12,159,27,39,6
PALMDALE,5000012A,1895,3,N,1265,POLLING PLACE,115,32,0,1,0,35,22,22,0
PALMDALE,5000012A,1895,3,N,0,VBM PORTION,83,23,2,3,1,23,10,16,2
PALMDALE,5000012A,1895,3,N,1265,TOTAL,198,55,2,4,1,58,32,38,2
PALMDALE,5000013A,1896,3,N,429,POLLING PLACE,10,0,1,0,1,4,0,1,0
PALMDALE,5000013A,1896,3,N,0,VBM PORTION,20,2,0,0,0,12,3,3,0
PALMDALE,5000013A,1896,3,N,429,TOTAL,30,2,1,0,1,16,3,4,0
PALMDALE,5000015A,1897,3,N,392,POLLING PLACE,23,5,1,0,1,8,3,2,0
PALMDALE,5000015A,1897,3,N,0,VBM PORTION,15,4,0,1,1,3,1,3,0
PALMDALE,5000015A,1897,3,N,392,TOTAL,38,9,1,1,2,11,4,5,0
PALMDALE,5000016A,1898,3,N,1244,POLLING PLACE,97,37,2,2,1,29,12,9,1
PALMDALE,5000016A,1898,3,N,0,VBM PORTION,55,15,0,2,2,21,6,8,0
PALMDALE,5000016A,1898,3,N,1244,TOTAL,152,52,2,4,3,50,18,17,1
PALMDALE,5000017A,1899,3,N,832,POLLING PLACE,95,11,1,1,9,43,10,16,1
PALMDALE,5000017A,1899,3,N,0,VBM PORTION,78,12,0,0,2,42,6,9,0
PALMDALE,5000017A,1899,3,N,832,TOTAL,173,23,1,1,11,85,16,25,1
PALMDALE,5000018A,1900,3,N,990,POLLING PLACE,117,22,0,0,2,58,6,26,1
PALMDALE,5000018A,1900,3,N,0,VBM PORTION,117,23,0,0,3,64,4,15,0
PALMDALE,5000018A,1900,3,N,990,TOTAL,234,45,0,0,5,122,10,41,1
PALMDALE,5000019A,1901,3,N,1047,POLLING PLACE,75,15,1,2,1,28,12,13,0
PALMDALE,5000019A,1901,3,N,0,VBM PORTION,103,23,2,0,2,38,13,16,3
PALMDALE,5000019A,1901,3,N,1047,TOTAL,178,38,3,2,3,66,25,29,3
PALMDALE,5000020A,1902,3,N,1034,POLLING PLACE,84,8,2,0,1,41,7,25,0
PALMDALE,5000020A,1902,3,N,0,VBM PORTION,87,22,1,1,2,25,16,15,0
PALMDALE,5000020A,1902,3,N,1034,TOTAL,171,30,3,1,3,66,23,40,0
PALMDALE,5000021A,1903,3,N,853,POLLING PLACE,48,12,0,1,4,14,11,3,0
PALMDALE,5000021A,1903,3,N,0,VBM PORTION,51,24,1,5,1,11,6,2,0
PALMDALE,5000021A,1903,3,N,853,TOTAL,99,36,1,6,5,25,17,5,0
PALMDALE,5000022B,1904,3,N,944,POLLING PLACE,63,24,0,1,1,18,6,10,2
PALMDALE,5000022B,1904,3,N,0,VBM PORTION,49,22,0,1,1,12,8,2,1
PALMDALE,5000022B,1904,3,N,944,TOTAL,112,46,0,2,2,30,14,12,3
PALMDALE,5000024A,1905,3,N,1006,POLLING PLACE,93,25,0,1,0,41,8,17,0
PALMDALE,5000024A,1905,3,N,0,VBM PORTION,107,16,0,0,8,55,3,16,0
PALMDALE,5000024A,1905,3,N,1006,TOTAL,200,41,0,1,8,96,11,33,0
PALMDALE,5000025A,1906,3,N,864,POLLING PLACE,72,13,0,1,6,28,4,16,1
PALMDALE,5000025A,1906,3,N,0,VBM PORTION,96,12,3,1,8,39,7,16,3
PALMDALE,5000025A,1906,3,N,864,TOTAL,168,25,3,2,14,67,11,32,4
PALMDALE,5000026A,1907,3,N,958,POLLING PLACE,127,14,1,1,5,68,8,28,0
PALMDALE,5000026A,1907,3,N,0,VBM PORTION,140,24,2,0,3,71,3,28,2
PALMDALE,5000026A,1907,3,N,958,TOTAL,267,38,3,1,8,139,11,56,2
PALMDALE,5000027A,1908,3,N,1221,POLLING PLACE,115,13,3,0,2,52,7,33,1
PALMDALE,5000027A,1908,3,N,0,VBM PORTION,97,10,4,0,7,53,6,13,0
PALMDALE,5000027A,1908,3,N,1221,TOTAL,212,23,7,0,9,105,13,46,1
PALMDALE,5000028A,1909,3,N,970,POLLING PLACE,67,13,0,0,2,23,9,13,1
PALMDALE,5000028A,1909,3,N,0,VBM PORTION,87,18,2,0,2,36,12,13,0
PALMDALE,5000028A,1909,3,N,970,TOTAL,154,31,2,0,4,59,21,26,1
PALMDALE,5000030A,1910,3,N,984,POLLING PLACE,88,18,2,3,0,34,8,20,0
PALMDALE,5000030A,1910,3,N,0,VBM PORTION,108,21,2,0,4,46,13,14,1
PALMDALE,5000030A,1910,3,N,984,TOTAL,196,39,4,3,4,80,21,34,1
PALMDALE,5000031A,1911,3,N,899,POLLING PLACE,71,7,2,1,1,36,5,18,0
PALMDALE,5000031A,1911,3,N,0,VBM PORTION,83,9,1,1,0,37,5,18,1
PALMDALE,5000031A,1911,3,N,899,TOTAL,154,16,3,2,1,73,10,36,1
PALMDALE,5000032A,1912,3,N,1085,POLLING PLACE,87,21,3,3,1,23,13,20,0
PALMDALE,5000032A,1912,3,N,0,VBM PORTION,91,25,1,1,3,27,12,13,0
PALMDALE,5000032A,1912,3,N,1085,TOTAL,178,46,4,4,4,50,25,33,0
PALMDALE,5000033A,1913,3,N,987,POLLING PLACE,34,6,1,0,1,13,6,6,1
PALMDALE,5000033A,1913,3,N,0,VBM PORTION,42,9,0,1,1,11,7,6,0
PALMDALE,5000033A,1913,3,N,987,TOTAL,76,15,1,1,2,24,13,12,1
PALMDALE,5000034A,1914,3,N,1003,POLLING PLACE,63,20,2,2,4,15,10,4,1
PALMDALE,5000034A,1914,3,N,0,VBM PORTION,61,23,1,0,5,14,8,5,0
PALMDALE,5000034A,1914,3,N,1003,TOTAL,124,43,3,2,9,29,18,9,1
PALMDALE,5000036A,1915,3,N,770,POLLING PLACE,40,17,0,0,0,11,10,1,0
PALMDALE,5000036A,1915,3,N,0,VBM PORTION,46,10,0,0,3,13,9,4,2
PALMDALE,5000036A,1915,3,N,770,TOTAL,86,27,0,0,3,24,19,5,2
PALMDALE,5000037A,1916,3,N,888,POLLING PLACE,66,25,0,1,2,20,6,9,0
PALMDALE,5000037A,1916,3,N,0,VBM PORTION,41,12,2,0,1,12,4,5,0
PALMDALE,5000037A,1916,3,N,888,TOTAL,107,37,2,1,3,32,10,14,0
PALMDALE,5000039A,1917,3,N,711,POLLING PLACE,47,23,5,0,1,9,4,5,0
PALMDALE,5000039A,1917,3,N,0,VBM PORTION,44,16,2,1,0,10,6,7,0
PALMDALE,5000039A,1917,3,N,711,TOTAL,91,39,7,1,1,19,10,12,0
PALMDALE,5000039C,1918,3,N,516,POLLING PLACE,19,7,0,0,1,4,4,2,0
PALMDALE,5000039C,1918,3,N,0,VBM PORTION,22,6,0,0,0,6,3,1,0
PALMDALE,5000039C,1918,3,N,516,TOTAL,41,13,0,0,1,10,7,3,0
PALMDALE,5000040A,1919,3,N,1135,POLLING PLACE,107,34,4,1,3,35,6,21,0
PALMDALE,5000040A,1919,3,N,0,VBM PORTION,112,21,2,1,5,36,23,15,1
PALMDALE,5000040A,1919,3,N,1135,TOTAL,219,55,6,2,8,71,29,36,1
PALMDALE,5000041A,1920,3,N,1045,POLLING PLACE,51,23,3,0,2,9,9,4,0
PALMDALE,5000041A,1920,3,N,0,VBM PORTION,60,15,1,2,3,18,7,6,4
PALMDALE,5000041A,1920,3,N,1045,TOTAL,111,38,4,2,5,27,16,10,4
PALMDALE,5000042A,1921,3,N,1048,POLLING PLACE,48,26,0,2,0,10,2,5,0
PALMDALE,5000042A,1921,3,N,0,VBM PORTION,54,13,0,0,1,24,10,5,0
PALMDALE,5000042A,1921,3,N,1048,TOTAL,102,39,0,2,1,34,12,10,0
PALMDALE,5000044A,1922,3,N,1222,POLLING PLACE,58,24,0,0,5,14,12,1,0
PALMDALE,5000044A,1922,3,N,0,VBM PORTION,79,35,1,0,8,16,9,7,0
PALMDALE,5000044A,1922,3,N,1222,TOTAL,137,59,1,0,13,30,21,8,0
PALMDALE,5000045A,1923,3,N,764,POLLING PLACE,41,8,0,1,0,17,2,10,1
PALMDALE,5000045A,1923,3,N,0,VBM PORTION,57,11,0,0,3,17,8,11,1
PALMDALE,5000045A,1923,3,N,764,TOTAL,98,19,0,1,3,34,10,21,2
PALMDALE,5000047A,1924,3,N,1082,POLLING PLACE,56,22,1,0,3,15,7,7,1
PALMDALE,5000047A,1924,3,N,0,VBM PORTION,68,20,0,0,2,23,7,11,0
PALMDALE,5000047A,1924,3,N,1082,TOTAL,124,42,1,0,5,38,14,18,1
PALMDALE,5000048A,1925,3,N,1022,POLLING PLACE,51,16,0,2,1,10,14,6,1
PALMDALE,5000048A,1925,3,N,0,VBM PORTION,60,13,1,1,1,20,9,12,0
PALMDALE,5000048A,1925,3,N,1022,TOTAL,111,29,1,3,2,30,23,18,1
PALMDALE,5000049A,1926,3,N,918,POLLING PLACE,69,35,0,0,0,11,11,8,0
PALMDALE,5000049A,1926,3,N,0,VBM PORTION,56,9,0,3,0,20,9,11,0
PALMDALE,5000049A,1926,3,N,918,TOTAL,125,44,0,3,0,31,20,19,0
PALMDALE,5000050A,1927,3,N,737,POLLING PLACE,43,8,3,4,4,7,4,10,1
PALMDALE,5000050A,1927,3,N,0,VBM PORTION,50,12,0,0,2,14,11,4,1
PALMDALE,5000050A,1927,3,N,737,TOTAL,93,20,3,4,6,21,15,14,2
PALMDALE,5000051B,1928,3,N,1194,POLLING PLACE,67,29,1,0,1,20,5,9,0
PALMDALE,5000051B,1928,3,N,0,VBM PORTION,79,18,2,1,5,30,6,15,0
PALMDALE,5000051B,1928,3,N,1194,TOTAL,146,47,3,1,6,50,11,24,0
PALMDALE,5000053A,1929,3,N,1141,POLLING PLACE,95,36,2,2,3,29,11,11,0
PALMDALE,5000053A,1929,3,N,0,VBM PORTION,71,21,2,0,1,23,8,9,2
PALMDALE,5000053A,1929,3,N,1141,TOTAL,166,57,4,2,4,52,19,20,2
PALMDALE,5000054A,1930,3,N,1068,POLLING PLACE,73,30,0,3,0,12,16,8,0
PALMDALE,5000054A,1930,3,N,0,VBM PORTION,41,11,2,0,2,15,7,1,0
PALMDALE,5000054A,1930,3,N,1068,TOTAL,114,41,2,3,2,27,23,9,0
PALMDALE,5000055A,1931,3,N,1498,POLLING PLACE,171,35,1,1,1,77,12,37,1
PALMDALE,5000055A,1931,3,N,0,VBM PORTION,235,22,1,2,9,111,15,55,0
PALMDALE,5000055A,1931,3,N,1498,TOTAL,406,57,2,3,10,188,27,92,1
PALMDALE,5000058A,1932,3,N,1024,POLLING PLACE,56,22,0,3,2,11,6,7,1
PALMDALE,5000058A,1932,3,N,0,VBM PORTION,70,25,1,2,7,12,11,9,1
PALMDALE,5000058A,1932,3,N,1024,TOTAL,126,47,1,5,9,23,17,16,2
PALMDALE,5000063A,1933,3,N,1041,POLLING PLACE,99,21,0,0,4,42,7,23,0
PALMDALE,5000063A,1933,3,N,0,VBM PORTION,80,13,0,3,3,39,12,8,1
PALMDALE,5000063A,1933,3,N,1041,TOTAL,179,34,0,3,7,81,19,31,1
PALMDALE,5000064A,1934,3,N,1190,POLLING PLACE,97,27,0,1,8,21,19,12,4
PALMDALE,5000064A,1934,3,N,0,VBM PORTION,54,15,1,1,2,17,4,11,0
PALMDALE,5000064A,1934,3,N,1190,TOTAL,151,42,1,2,10,38,23,23,4
PALMDALE,5000066A,1935,3,N,1350,POLLING PLACE,125,25,2,1,6,53,16,13,1
PALMDALE,5000066A,1935,3,N,0,VBM PORTION,131,32,0,1,6,47,19,20,4
PALMDALE,5000066A,1935,3,N,1350,TOTAL,256,57,2,2,12,100,35,33,5
PALMDALE,5000067A,1936,3,N,1160,POLLING PLACE,64,16,0,0,3,14,15,14,0
PALMDALE,5000067A,1936,3,N,0,VBM PORTION,86,30,2,0,9,24,6,12,2
PALMDALE,5000067A,1936,3,N,1160,TOTAL,150,46,2,0,12,38,21,26,2
PALMDALE,5000070A,1937,3,N,1288,POLLING PLACE,123,30,1,0,3,62,10,15,0
PALMDALE,5000070A,1937,3,N,0,VBM PORTION,125,22,8,1,4,52,7,25,2
PALMDALE,5000070A,1937,3,N,1288,TOTAL,248,52,9,1,7,114,17,40,2
PALMDALE,5000071A,1938,3,N,1143,POLLING PLACE,78,29,2,4,1,27,10,5,0
PALMDALE,5000071A,1938,3,N,0,VBM PORTION,67,22,2,2,2,20,10,5,1
PALMDALE,5000071A,1938,3,N,1143,TOTAL,145,51,4,6,3,47,20,10,1
PALMDALE,5000072A,1939,3,N,1101,POLLING PLACE,50,17,2,1,3,16,8,2,0
PALMDALE,5000072A,1939,3,N,0,VBM PORTION,60,23,3,2,2,16,7,3,0
PALMDALE,5000072A,1939,3,N,1101,TOTAL,110,40,5,3,5,32,15,5,0
PALMDALE,5000075A,1940,3,N,707,POLLING PLACE,56,14,1,1,3,20,2,14,0
PALMDALE,5000075A,1940,3,N,0,VBM PORTION,57,17,1,0,1,19,5,11,1
PALMDALE,5000075A,1940,3,N,707,TOTAL,113,31,2,1,4,39,7,25,1
PALMDALE,5000078A,1941,3,N,1054,POLLING PLACE,67,23,0,1,2,15,13,10,0
PALMDALE,5000078A,1941,3,N,0,VBM PORTION,76,22,5,2,4,15,9,17,0
PALMDALE,5000078A,1941,3,N,1054,TOTAL,143,45,5,3,6,30,22,27,0
PALMDALE,5000079A,1942,3,N,843,POLLING PLACE,47,14,0,1,1,14,4,11,0
PALMDALE,5000079A,1942,3,N,0,VBM PORTION,53,8,0,0,2,19,8,14,0
PALMDALE,5000079A,1942,3,N,843,TOTAL,100,22,0,1,3,33,12,25,0
PALMDALE,5000080A,1943,3,N,1369,POLLING PLACE,95,24,2,2,0,43,7,11,1
PALMDALE,5000080A,1943,3,N,0,VBM PORTION,128,28,3,3,3,35,17,28,2
PALMDALE,5000080A,1943,3,N,1369,TOTAL,223,52,5,5,3,78,24,39,3
PALMDALE,5000081A,1944,3,N,911,POLLING PLACE,39,5,2,1,2,14,3,10,0
PALMDALE,5000081A,1944,3,N,0,VBM PORTION,72,22,1,0,2,28,6,11,0
PALMDALE,5000081A,1944,3,N,911,TOTAL,111,27,3,1,4,42,9,21,0
PALMDALE,5000082A,1945,3,N,1261,POLLING PLACE,130,29,0,0,3,76,10,11,0
PALMDALE,5000082A,1945,3,N,0,VBM PORTION,169,18,0,4,4,87,11,34,1
PALMDALE,5000082A,1945,3,N,1261,TOTAL,299,47,0,4,7,163,21,45,1
PALMDALE,5000084A,1946,3,N,985,POLLING PLACE,84,25,2,0,1,22,14,14,2
PALMDALE,5000084A,1946,3,N,0,VBM PORTION,32,15,2,2,0,4,4,2,0
PALMDALE,5000084A,1946,3,N,985,TOTAL,116,40,4,2,1,26,18,16,2
PALMDALE,5000085B,1947,3,N,1424,POLLING PLACE,51,19,1,0,1,7,6,12,0
PALMDALE,5000085B,1947,3,N,0,VBM PORTION,102,47,2,2,2,17,14,14,1
PALMDALE,5000085B,1947,3,N,1424,TOTAL,153,66,3,2,3,24,20,26,1
PALMDALE,5000086A,1948,3,N,984,POLLING PLACE,57,16,0,1,0,18,10,10,0
PALMDALE,5000086A,1948,3,N,0,VBM PORTION,61,24,1,1,1,16,7,8,0
PALMDALE,5000086A,1948,3,N,984,TOTAL,118,40,1,2,1,34,17,18,0
PALMDALE,5000088A,1949,3,N,1234,POLLING PLACE,155,21,2,1,9,83,12,22,0
PALMDALE,5000088A,1949,3,N,0,VBM PORTION,173,26,2,3,1,79,10,47,0
PALMDALE,5000088A,1949,3,N,1234,TOTAL,328,47,4,4,10,162,22,69,0
PALMDALE,5000089A,1950,3,N,1021,POLLING PLACE,77,19,2,3,1,20,10,18,0
PALMDALE,5000089A,1950,3,N,0,VBM PORTION,70,29,0,0,1,14,15,6,0
PALMDALE,5000089A,1950,3,N,1021,TOTAL,147,48,2,3,2,34,25,24,0
PALMDALE,5000092A,1951,3,N,1186,POLLING PLACE,139,26,2,1,6,58,17,24,1
PALMDALE,5000092A,1951,3,N,0,VBM PORTION,119,24,1,0,2,51,8,20,0
PALMDALE,5000092A,1951,3,N,1186,TOTAL,258,50,3,1,8,109,25,44,1
PALMDALE,5000093A,1952,3,N,1206,POLLING PLACE,71,27,1,0,2,19,15,4,1
PALMDALE,5000093A,1952,3,N,0,VBM PORTION,73,35,1,2,6,14,10,3,0
PALMDALE,5000093A,1952,3,N,1206,TOTAL,144,62,2,2,8,33,25,7,1
PEARBLOSSOM,5200008A,6126,3,Y,94,POLLING PLACE,0,0,0,0,0,0,0,0,0
PEARBLOSSOM,5200008A,6126,3,Y,0,VBM PORTION,40,8,0,0,1,19,0,9,1
PEARBLOSSOM,5200008A,6126,3,Y,94,TOTAL,40,8,0,0,1,19,0,9,1
PEARBLOSSOM,5200014A,6128,3,Y,3,POLLING PLACE,0,0,0,0,0,0,0,0,0
PEARBLOSSOM,5200014A,6128,3,Y,0,VBM PORTION,2,0,0,0,0,2,0,0,0
PEARBLOSSOM,5200014A,6128,3,Y,3,TOTAL,2,0,0,0,0,2,0,0,0
PEARBLOSSOM,5200040D,2055,3,N,252,POLLING PLACE,62,9,2,1,1,32,3,9,1
PEARBLOSSOM,5200040D,2055,3,N,0,VBM PORTION,39,6,0,1,1,19,4,3,0
PEARBLOSSOM,5200040D,2055,3,N,252,TOTAL,101,15,2,2,2,51,7,12,1
PEARBLOSSOM,5200042A,2056,3,N,668,POLLING PLACE,101,19,1,1,2,38,9,28,1
PEARBLOSSOM,5200042A,2056,3,N,0,VBM PORTION,68,7,2,2,9,23,2,15,2
PEARBLOSSOM,5200042A,2056,3,N,668,TOTAL,169,26,3,3,11,61,11,43,3
PEARBLOSSOM,5200043A,6129,3,Y,321,POLLING PLACE,0,0,0,0,0,0,0,0,0
PEARBLOSSOM,5200043A,6129,3,Y,0,VBM PORTION,121,31,0,4,2,43,11,22,1
PEARBLOSSOM,5200043A,6129,3,Y,321,TOTAL,121,31,0,4,2,43,11,22,1
QUARTZ HILL,5400003A,6134,3,Y,4,POLLING PLACE,0,0,0,0,0,0,0,0,0
QUARTZ HILL,5400003A,6134,3,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0
QUARTZ HILL,5400003A,6134,3,Y,4,TOTAL,0,0,0,0,0,0,0,0,0
QUARTZ HILL,5400005A,2147,3,N,958,POLLING PLACE,144,15,0,1,3,71,7,42,0
QUARTZ HILL,5400005A,2147,3,N,0,VBM PORTION,128,16,4,1,2,62,5,34,0
QUARTZ HILL,5400005A,2147,3,N,958,TOTAL,272,31,4,2,5,133,12,76,0
SANTA CLARITA,6220002B,2338,10,N,1138,POLLING PLACE,102,29,0,1,4,35,8,16,1
SANTA CLARITA,6220002B,2338,10,N,0,VBM PORTION,89,17,2,3,4,15,5,40,0
SANTA CLARITA,6220002B,2338,10,N,1138,TOTAL,191,46,2,4,8,50,13,56,1
SANTA CLARITA,6220003A,2339,10,N,1325,POLLING PLACE,138,22,4,0,14,35,5,47,3
SANTA CLARITA,6220003A,2339,10,N,0,VBM PORTION,150,28,1,2,4,39,17,49,0
SANTA CLARITA,6220003A,2339,10,N,1325,TOTAL,288,50,5,2,18,74,22,96,3
SANTA CLARITA,6220004A,2340,10,N,1031,POLLING PLACE,117,27,2,2,9,25,8,39,2
SANTA CLARITA,6220004A,2340,10,N,0,VBM PORTION,98,28,4,0,3,23,5,27,1
SANTA CLARITA,6220004A,2340,10,N,1031,TOTAL,215,55,6,2,12,48,13,66,3
SANTA CLARITA,6220005A,2341,10,N,1321,POLLING PLACE,109,24,1,0,4,44,12,20,1
SANTA CLARITA,6220005A,2341,10,N,0,VBM PORTION,152,35,1,4,14,53,13,25,0
SANTA CLARITA,6220005A,2341,10,N,1321,TOTAL,261,59,2,4,18,97,25,45,1
SANTA CLARITA,6220006A,2342,10,N,1112,POLLING PLACE,109,19,4,1,13,28,6,33,1
SANTA CLARITA,6220006A,2342,10,N,0,VBM PORTION,130,22,6,2,6,42,7,37,0
SANTA CLARITA,6220006A,2342,10,N,1112,TOTAL,239,41,10,3,19,70,13,70,1
SANTA CLARITA,6220007A,2343,10,N,841,POLLING PLACE,91,17,0,0,9,35,5,24,0
SANTA CLARITA,6220007A,2343,10,N,0,VBM PORTION,86,28,0,1,8,17,7,23,0
SANTA CLARITA,6220007A,2343,10,N,841,TOTAL,177,45,0,1,17,52,12,47,0
SANTA CLARITA,6220008A,2344,10,N,1375,POLLING PLACE,142,39,1,0,10,42,8,35,5
SANTA CLARITA,6220008A,2344,10,N,0,VBM PORTION,199,39,2,3,12,58,11,62,1
SANTA CLARITA,6220008A,2344,10,N,1375,TOTAL,341,78,3,3,22,100,19,97,6
SANTA CLARITA,6220009A,2345,10,N,1006,POLLING PLACE,94,14,2,2,15,31,7,18,0
SANTA CLARITA,6220009A,2345,10,N,0,VBM PORTION,111,20,4,0,7,26,7,40,0
SANTA CLARITA,6220009A,2345,10,N,1006,TOTAL,205,34,6,2,22,57,14,58,0
SANTA CLARITA,6220010A,2346,10,N,936,POLLING PLACE,80,21,2,2,3,15,10,25,0
SANTA CLARITA,6220010A,2346,10,N,0,VBM PORTION,119,19,0,2,10,32,6,39,1
SANTA CLARITA,6220010A,2346,10,N,936,TOTAL,199,40,2,4,13,47,16,64,1
SANTA CLARITA,6220011B,2347,10,N,1357,POLLING PLACE,121,28,2,0,11,24,9,42,0
SANTA CLARITA,6220011B,2347,10,N,0,VBM PORTION,176,58,1,0,9,30,15,52,0
SANTA CLARITA,6220011B,2347,10,N,1357,TOTAL,297,86,3,0,20,54,24,94,0
SANTA CLARITA,6220017B,2348,10,N,1215,POLLING PLACE,80,26,7,2,5,12,6,17,0
SANTA CLARITA,6220017B,2348,10,N,0,VBM PORTION,142,41,1,3,6,33,14,35,2
SANTA CLARITA,6220017B,2348,10,N,1215,TOTAL,222,67,8,5,11,45,20,52,2
SANTA CLARITA,6220018A,2349,10,N,875,POLLING PLACE,67,16,0,2,4,27,1,14,2
SANTA CLARITA,6220018A,2349,10,N,0,VBM PORTION,115,35,1,3,4,28,7,30,2
SANTA CLARITA,6220018A,2349,10,N,875,TOTAL,182,51,1,5,8,55,8,44,4
SANTA CLARITA,6220020A,2350,10,N,1421,POLLING PLACE,149,30,3,0,11,35,14,50,0
SANTA CLARITA,6220020A,2350,10,N,0,VBM PORTION,183,48,4,2,11,42,6,65,0
SANTA CLARITA,6220020A,2350,10,N,1421,TOTAL,332,78,7,2,22,77,20,115,0
SANTA CLARITA,6220022B,2351,10,N,1045,POLLING PLACE,99,21,1,2,12,24,1,33,1
SANTA CLARITA,6220022B,2351,10,N,0,VBM PORTION,139,27,5,1,15,30,5,45,0
SANTA CLARITA,6220022B,2351,10,N,1045,TOTAL,238,48,6,3,27,54,6,78,1
SANTA CLARITA,6220023A,2352,10,N,628,POLLING PLACE,56,9,1,0,1,29,6,9,0
SANTA CLARITA,6220023A,2352,10,N,0,VBM PORTION,84,13,0,0,4,32,5,24,0
SANTA CLARITA,6220023A,2352,10,N,628,TOTAL,140,22,1,0,5,61,11,33,0
SANTA CLARITA,6220024A,2353,10,N,1420,POLLING PLACE,143,50,0,2,13,21,7,44,1
SANTA CLARITA,6220024A,2353,10,N,0,VBM PORTION,179,45,1,0,17,36,14,56,0
SANTA CLARITA,6220024A,2353,10,N,1420,TOTAL,322,95,1,2,30,57,21,100,1
SANTA CLARITA,6220028B,2354,10,N,1334,POLLING PLACE,160,37,1,2,8,49,9,46,4
SANTA CLARITA,6220028B,2354,10,N,0,VBM PORTION,166,49,3,1,8,40,14,40,2
SANTA CLARITA,6220028B,2354,10,N,1334,TOTAL,326,86,4,3,16,89,23,86,6
SANTA CLARITA,6220030A,2355,10,N,1165,POLLING PLACE,199,53,4,3,12,44,20,57,0
SANTA CLARITA,6220030A,2355,10,N,0,VBM PORTION,188,41,6,0,7,48,9,65,1
SANTA CLARITA,6220030A,2355,10,N,1165,TOTAL,387,94,10,3,19,92,29,122,1
SANTA CLARITA,6220031A,2356,10,N,898,POLLING PLACE,50,20,0,0,3,10,5,10,0
SANTA CLARITA,6220031A,2356,10,N,0,VBM PORTION,52,12,0,1,6,8,9,9,1
SANTA CLARITA,6220031A,2356,10,N,898,TOTAL,102,32,0,1,9,18,14,19,1
SANTA CLARITA,6220032A,2357,10,N,1060,POLLING PLACE,108,26,3,1,6,26,6,33,2
SANTA CLARITA,6220032A,2357,10,N,0,VBM PORTION,173,25,0,2,8,29,12,78,1
SANTA CLARITA,6220032A,2357,10,N,1060,TOTAL,281,51,3,3,14,55,18,111,3
SANTA CLARITA,6220033A,2358,10,N,735,POLLING PLACE,71,5,1,0,3,16,5,38,1
SANTA CLARITA,6220033A,2358,10,N,0,VBM PORTION,100,20,2,2,3,24,7,37,1
SANTA CLARITA,6220033A,2358,10,N,735,TOTAL,171,25,3,2,6,40,12,75,2
SANTA CLARITA,6220034A,2359,10,N,804,POLLING PLACE,45,11,2,0,1,12,7,9,1
SANTA CLARITA,6220034A,2359,10,N,0,VBM PORTION,78,12,0,1,9,20,11,19,1
SANTA CLARITA,6220034A,2359,10,N,804,TOTAL,123,23,2,1,10,32,18,28,2
SANTA CLARITA,6220037B,2360,10,N,617,POLLING PLACE,53,15,0,2,4,11,3,18,0
