LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,S M RIDLEY THOMAS,GLEN RATCLIFF
LOS ANGELES,9001716A,3822,116,N,1269,TOTAL,154,122,18
LOS ANGELES,9001725A,3826,116,N,731,POLLING PLACE,69,53,10
LOS ANGELES,9001725A,3826,116,N,0,VBM PORTION,39,25,6
LOS ANGELES,9001725A,3826,116,N,731,TOTAL,108,78,16
LOS ANGELES,9001729A,3829,116,N,1339,POLLING PLACE,91,67,8
LOS ANGELES,9001729A,3829,116,N,0,VBM PORTION,122,83,20
LOS ANGELES,9001729A,3829,116,N,1339,TOTAL,213,150,28
LOS ANGELES,9001730B,3830,116,N,961,POLLING PLACE,123,104,11
LOS ANGELES,9001730B,3830,116,N,0,VBM PORTION,85,71,4
LOS ANGELES,9001730B,3830,116,N,961,TOTAL,208,175,15
LOS ANGELES,9001764A,3844,116,N,1182,POLLING PLACE,76,53,10
LOS ANGELES,9001764A,3844,116,N,0,VBM PORTION,65,51,2
LOS ANGELES,9001764A,3844,116,N,1182,TOTAL,141,104,12
LOS ANGELES,9001765A,3845,116,N,900,POLLING PLACE,64,47,6
LOS ANGELES,9001765A,3845,116,N,0,VBM PORTION,39,28,3
LOS ANGELES,9001765A,3845,116,N,900,TOTAL,103,75,9
LOS ANGELES,9001767A,3846,116,N,848,POLLING PLACE,48,33,8
LOS ANGELES,9001767A,3846,116,N,0,VBM PORTION,55,39,5
LOS ANGELES,9001767A,3846,116,N,848,TOTAL,103,72,13
LOS ANGELES,9001768A,3847,116,N,1157,POLLING PLACE,119,89,14
LOS ANGELES,9001768A,3847,116,N,0,VBM PORTION,62,40,12
LOS ANGELES,9001768A,3847,116,N,1157,TOTAL,181,129,26
LOS ANGELES,9001769C,3848,116,N,1195,POLLING PLACE,125,92,16
LOS ANGELES,9001769C,3848,116,N,0,VBM PORTION,63,52,5
LOS ANGELES,9001769C,3848,116,N,1195,TOTAL,188,144,21
LOS ANGELES,9001770A,3849,116,N,1104,POLLING PLACE,69,53,12
LOS ANGELES,9001770A,3849,116,N,0,VBM PORTION,59,42,12
LOS ANGELES,9001770A,3849,116,N,1104,TOTAL,128,95,24
LOS ANGELES,9001776B,3850,116,N,1257,POLLING PLACE,75,53,8
LOS ANGELES,9001776B,3850,116,N,0,VBM PORTION,88,63,7
LOS ANGELES,9001776B,3850,116,N,1257,TOTAL,163,116,15
LOS ANGELES,9001777B,3851,116,N,863,POLLING PLACE,72,48,11
LOS ANGELES,9001777B,3851,116,N,0,VBM PORTION,61,44,9
LOS ANGELES,9001777B,3851,116,N,863,TOTAL,133,92,20
LOS ANGELES,9001779C,3852,116,N,915,POLLING PLACE,52,41,5
LOS ANGELES,9001779C,3852,116,N,0,VBM PORTION,49,41,2
LOS ANGELES,9001779C,3852,116,N,915,TOTAL,101,82,7
LOS ANGELES,9001782A,3855,116,N,938,POLLING PLACE,68,48,7
LOS ANGELES,9001782A,3855,116,N,0,VBM PORTION,45,39,3
LOS ANGELES,9001782A,3855,116,N,938,TOTAL,113,87,10
LOS ANGELES,9001782B,3856,116,N,734,POLLING PLACE,45,39,3
LOS ANGELES,9001782B,3856,116,N,0,VBM PORTION,30,23,4
LOS ANGELES,9001782B,3856,116,N,734,TOTAL,75,62,7
LOS ANGELES,9001783A,3857,116,N,1197,POLLING PLACE,78,60,7
LOS ANGELES,9001783A,3857,116,N,0,VBM PORTION,58,46,4
LOS ANGELES,9001783A,3857,116,N,1197,TOTAL,136,106,11
LOS ANGELES,9001784A,3858,116,N,1218,POLLING PLACE,93,74,9
LOS ANGELES,9001784A,3858,116,N,0,VBM PORTION,46,34,6
LOS ANGELES,9001784A,3858,116,N,1218,TOTAL,139,108,15
LOS ANGELES,9001785A,3859,116,N,1195,POLLING PLACE,94,77,5
LOS ANGELES,9001785A,3859,116,N,0,VBM PORTION,69,57,5
LOS ANGELES,9001785A,3859,116,N,1195,TOTAL,163,134,10
LOS ANGELES,9001786A,3860,116,N,962,POLLING PLACE,105,79,12
LOS ANGELES,9001786A,3860,116,N,0,VBM PORTION,50,44,1
LOS ANGELES,9001786A,3860,116,N,962,TOTAL,155,123,13
LOS ANGELES,9001787A,3861,116,N,983,POLLING PLACE,52,42,5
LOS ANGELES,9001787A,3861,116,N,0,VBM PORTION,67,52,9
LOS ANGELES,9001787A,3861,116,N,983,TOTAL,119,94,14
LOS ANGELES,9001857A,3884,108,N,1321,POLLING PLACE,86,44,19
LOS ANGELES,9001857A,3884,108,N,0,VBM PORTION,219,120,54
LOS ANGELES,9001857A,3884,108,N,1321,TOTAL,305,164,73
LOS ANGELES,9001984B,3931,116,N,1117,POLLING PLACE,82,58,10
LOS ANGELES,9001984B,3931,116,N,0,VBM PORTION,61,36,11
LOS ANGELES,9001984B,3931,116,N,1117,TOTAL,143,94,21
LOS ANGELES,9001985A,3932,116,N,1198,POLLING PLACE,102,71,18
LOS ANGELES,9001985A,3932,116,N,0,VBM PORTION,70,47,11
LOS ANGELES,9001985A,3932,116,N,1198,TOTAL,172,118,29
LOS ANGELES,9002009A,3941,116,N,894,POLLING PLACE,58,47,4
LOS ANGELES,9002009A,3941,116,N,0,VBM PORTION,77,51,8
LOS ANGELES,9002009A,3941,116,N,894,TOTAL,135,98,12
LOS ANGELES,9002067D,3966,116,N,524,POLLING PLACE,73,53,9
LOS ANGELES,9002067D,3966,116,N,0,VBM PORTION,71,49,12
LOS ANGELES,9002067D,3966,116,N,524,TOTAL,144,102,21
LOS ANGELES,9002068A,3967,116,N,878,POLLING PLACE,48,37,5
LOS ANGELES,9002068A,3967,116,N,0,VBM PORTION,45,34,1
LOS ANGELES,9002068A,3967,116,N,878,TOTAL,93,71,6
LOS ANGELES,9002069B,3968,116,N,1090,POLLING PLACE,57,42,4
LOS ANGELES,9002069B,3968,116,N,0,VBM PORTION,64,56,1
LOS ANGELES,9002069B,3968,116,N,1090,TOTAL,121,98,5
LOS ANGELES,9002070A,3969,116,N,1147,POLLING PLACE,165,132,14
LOS ANGELES,9002070A,3969,116,N,0,VBM PORTION,142,110,11
LOS ANGELES,9002070A,3969,116,N,1147,TOTAL,307,242,25
LOS ANGELES,9002080A,3974,116,N,1257,POLLING PLACE,196,152,15
LOS ANGELES,9002080A,3974,116,N,0,VBM PORTION,145,111,13
LOS ANGELES,9002080A,3974,116,N,1257,TOTAL,341,263,28
LOS ANGELES,9002083B,3975,116,N,1062,POLLING PLACE,144,120,13
LOS ANGELES,9002083B,3975,116,N,0,VBM PORTION,72,52,6
LOS ANGELES,9002083B,3975,116,N,1062,TOTAL,216,172,19
LOS ANGELES,9002086A,3976,116,N,792,POLLING PLACE,60,44,9
LOS ANGELES,9002086A,3976,116,N,0,VBM PORTION,55,41,0
LOS ANGELES,9002086A,3976,116,N,792,TOTAL,115,85,9
LOS ANGELES,9002086C,3977,116,N,812,POLLING PLACE,48,38,4
LOS ANGELES,9002086C,3977,116,N,0,VBM PORTION,44,31,5
LOS ANGELES,9002086C,3977,116,N,812,TOTAL,92,69,9
LOS ANGELES,9002087B,3978,116,N,976,POLLING PLACE,63,45,8
LOS ANGELES,9002087B,3978,116,N,0,VBM PORTION,39,31,4
LOS ANGELES,9002087B,3978,116,N,976,TOTAL,102,76,12
LOS ANGELES,9002090A,3980,116,N,1192,POLLING PLACE,86,64,10
LOS ANGELES,9002090A,3980,116,N,0,VBM PORTION,99,70,8
LOS ANGELES,9002090A,3980,116,N,1192,TOTAL,185,134,18
LOS ANGELES,9002091A,3981,116,N,1235,POLLING PLACE,136,111,10
LOS ANGELES,9002091A,3981,116,N,0,VBM PORTION,99,63,11
LOS ANGELES,9002091A,3981,116,N,1235,TOTAL,235,174,21
LOS ANGELES,9002095A,3982,116,N,872,POLLING PLACE,133,96,10
LOS ANGELES,9002095A,3982,116,N,0,VBM PORTION,69,58,6
LOS ANGELES,9002095A,3982,116,N,872,TOTAL,202,154,16
LOS ANGELES,9002097A,3983,116,N,914,POLLING PLACE,103,70,9
LOS ANGELES,9002097A,3983,116,N,0,VBM PORTION,78,63,3
LOS ANGELES,9002097A,3983,116,N,914,TOTAL,181,133,12
LOS ANGELES,9002097B,3984,116,N,1071,POLLING PLACE,118,96,11
LOS ANGELES,9002097B,3984,116,N,0,VBM PORTION,92,66,8
LOS ANGELES,9002097B,3984,116,N,1071,TOTAL,210,162,19
LOS ANGELES,9002101A,3988,116,N,1247,POLLING PLACE,104,83,7
LOS ANGELES,9002101A,3988,116,N,0,VBM PORTION,78,60,7
LOS ANGELES,9002101A,3988,116,N,1247,TOTAL,182,143,14
LOS ANGELES,9002102A,3989,116,N,1353,POLLING PLACE,180,126,23
LOS ANGELES,9002102A,3989,116,N,0,VBM PORTION,196,143,15
LOS ANGELES,9002102A,3989,116,N,1353,TOTAL,376,269,38
LOS ANGELES,9002103A,3990,116,N,1268,POLLING PLACE,135,114,7
LOS ANGELES,9002103A,3990,116,N,0,VBM PORTION,90,72,5
LOS ANGELES,9002103A,3990,116,N,1268,TOTAL,225,186,12
LOS ANGELES,9002105A,3991,116,N,907,POLLING PLACE,100,83,6
LOS ANGELES,9002105A,3991,116,N,0,VBM PORTION,85,68,5
LOS ANGELES,9002105A,3991,116,N,907,TOTAL,185,151,11
LOS ANGELES,9002107A,3992,116,N,1209,POLLING PLACE,181,145,18
LOS ANGELES,9002107A,3992,116,N,0,VBM PORTION,186,158,12
LOS ANGELES,9002107A,3992,116,N,1209,TOTAL,367,303,30
LOS ANGELES,9002110B,3994,116,N,884,POLLING PLACE,55,40,5
LOS ANGELES,9002110B,3994,116,N,0,VBM PORTION,30,23,2
LOS ANGELES,9002110B,3994,116,N,884,TOTAL,85,63,7
LOS ANGELES,9002113A,3995,116,N,948,POLLING PLACE,55,46,3
LOS ANGELES,9002113A,3995,116,N,0,VBM PORTION,47,32,2
LOS ANGELES,9002113A,3995,116,N,948,TOTAL,102,78,5
LOS ANGELES,9002114A,3996,116,N,1301,POLLING PLACE,77,56,3
LOS ANGELES,9002114A,3996,116,N,0,VBM PORTION,62,49,2
LOS ANGELES,9002114A,3996,116,N,1301,TOTAL,139,105,5
LOS ANGELES,9002116A,3997,116,N,1223,POLLING PLACE,94,71,11
LOS ANGELES,9002116A,3997,116,N,0,VBM PORTION,52,41,0
LOS ANGELES,9002116A,3997,116,N,1223,TOTAL,146,112,11
LOS ANGELES,9002117B,3998,116,N,887,POLLING PLACE,58,42,4
LOS ANGELES,9002117B,3998,116,N,0,VBM PORTION,34,27,3
LOS ANGELES,9002117B,3998,116,N,887,TOTAL,92,69,7
LOS ANGELES,9002124B,4001,116,N,1264,POLLING PLACE,118,95,10
LOS ANGELES,9002124B,4001,116,N,0,VBM PORTION,116,88,4
LOS ANGELES,9002124B,4001,116,N,1264,TOTAL,234,183,14
LOS ANGELES,9002126B,4003,116,N,1063,POLLING PLACE,89,67,6
LOS ANGELES,9002126B,4003,116,N,0,VBM PORTION,72,59,2
LOS ANGELES,9002126B,4003,116,N,1063,TOTAL,161,126,8
LOS ANGELES,9002127A,4004,116,N,917,POLLING PLACE,76,53,11
LOS ANGELES,9002127A,4004,116,N,0,VBM PORTION,72,59,4
LOS ANGELES,9002127A,4004,116,N,917,TOTAL,148,112,15
LOS ANGELES,9002128A,4005,116,N,1008,POLLING PLACE,147,113,17
LOS ANGELES,9002128A,4005,116,N,0,VBM PORTION,94,73,6
LOS ANGELES,9002128A,4005,116,N,1008,TOTAL,241,186,23
LOS ANGELES,9002129B,4006,116,N,1309,POLLING PLACE,135,103,8
LOS ANGELES,9002129B,4006,116,N,0,VBM PORTION,87,76,2
LOS ANGELES,9002129B,4006,116,N,1309,TOTAL,222,179,10
LOS ANGELES,9002132B,4008,116,N,1109,POLLING PLACE,150,123,12
LOS ANGELES,9002132B,4008,116,N,0,VBM PORTION,107,85,6
LOS ANGELES,9002132B,4008,116,N,1109,TOTAL,257,208,18
LOS ANGELES,9002135B,4009,116,N,1283,POLLING PLACE,100,78,10
LOS ANGELES,9002135B,4009,116,N,0,VBM PORTION,78,54,4
LOS ANGELES,9002135B,4009,116,N,1283,TOTAL,178,132,14
LOS ANGELES,9002136A,4010,116,N,1080,POLLING PLACE,62,52,5
LOS ANGELES,9002136A,4010,116,N,0,VBM PORTION,49,39,8
LOS ANGELES,9002136A,4010,116,N,1080,TOTAL,111,91,13
LOS ANGELES,9002137A,4011,116,N,1222,POLLING PLACE,50,42,1
LOS ANGELES,9002137A,4011,116,N,0,VBM PORTION,49,41,2
LOS ANGELES,9002137A,4011,116,N,1222,TOTAL,99,83,3
LOS ANGELES,9002140A,4012,116,N,767,POLLING PLACE,42,31,5
LOS ANGELES,9002140A,4012,116,N,0,VBM PORTION,41,34,1
LOS ANGELES,9002140A,4012,116,N,767,TOTAL,83,65,6
LOS ANGELES,9002140B,4013,116,N,530,POLLING PLACE,49,36,5
LOS ANGELES,9002140B,4013,116,N,0,VBM PORTION,40,36,1
LOS ANGELES,9002140B,4013,116,N,530,TOTAL,89,72,6
LOS ANGELES,9002143A,4014,116,N,1217,POLLING PLACE,113,81,15
LOS ANGELES,9002143A,4014,116,N,0,VBM PORTION,80,63,6
LOS ANGELES,9002143A,4014,116,N,1217,TOTAL,193,144,21
LOS ANGELES,9002144A,4015,116,N,1068,POLLING PLACE,52,41,6
LOS ANGELES,9002144A,4015,116,N,0,VBM PORTION,70,54,4
LOS ANGELES,9002144A,4015,116,N,1068,TOTAL,122,95,10
LOS ANGELES,9002163A,4023,116,N,848,POLLING PLACE,55,40,4
LOS ANGELES,9002163A,4023,116,N,0,VBM PORTION,50,39,0
LOS ANGELES,9002163A,4023,116,N,848,TOTAL,105,79,4
LOS ANGELES,9002167A,4025,116,N,1149,POLLING PLACE,88,73,3
LOS ANGELES,9002167A,4025,116,N,0,VBM PORTION,81,69,3
LOS ANGELES,9002167A,4025,116,N,1149,TOTAL,169,142,6
LOS ANGELES,9002181A,4033,117,N,1089,POLLING PLACE,39,30,5
LOS ANGELES,9002181A,4033,117,N,0,VBM PORTION,44,30,4
LOS ANGELES,9002181A,4033,117,N,1089,TOTAL,83,60,9
LOS ANGELES,9002182A,4034,117,N,1250,POLLING PLACE,95,59,32
LOS ANGELES,9002182A,4034,117,N,0,VBM PORTION,95,54,20
LOS ANGELES,9002182A,4034,117,N,1250,TOTAL,190,113,52
LOS ANGELES,9002190A,4037,116,N,1094,POLLING PLACE,63,48,6
LOS ANGELES,9002190A,4037,116,N,0,VBM PORTION,67,45,11
LOS ANGELES,9002190A,4037,116,N,1094,TOTAL,130,93,17
LOS ANGELES,9002193A,4039,116,N,592,POLLING PLACE,120,89,10
LOS ANGELES,9002193A,4039,116,N,0,VBM PORTION,45,26,6
LOS ANGELES,9002193A,4039,116,N,592,TOTAL,165,115,16
LOS ANGELES,9002285A,4072,116,N,877,POLLING PLACE,131,73,39
LOS ANGELES,9002285A,4072,116,N,0,VBM PORTION,158,83,60
LOS ANGELES,9002285A,4072,116,N,877,TOTAL,289,156,99
LOS ANGELES,9002297B,4074,116,N,1082,POLLING PLACE,146,114,16
LOS ANGELES,9002297B,4074,116,N,0,VBM PORTION,113,84,17
LOS ANGELES,9002297B,4074,116,N,1082,TOTAL,259,198,33
LOS ANGELES,9002298A,4075,116,N,1231,POLLING PLACE,125,95,14
LOS ANGELES,9002298A,4075,116,N,0,VBM PORTION,108,81,12
LOS ANGELES,9002298A,4075,116,N,1231,TOTAL,233,176,26
LOS ANGELES,9002299A,4076,116,N,1188,POLLING PLACE,114,74,19
LOS ANGELES,9002299A,4076,116,N,0,VBM PORTION,69,51,9
LOS ANGELES,9002299A,4076,116,N,1188,TOTAL,183,125,28
LOS ANGELES,9002302A,4078,116,N,984,POLLING PLACE,69,53,8
LOS ANGELES,9002302A,4078,116,N,0,VBM PORTION,65,54,4
LOS ANGELES,9002302A,4078,116,N,984,TOTAL,134,107,12
LOS ANGELES,9002303A,4079,116,N,982,POLLING PLACE,105,77,10
LOS ANGELES,9002303A,4079,116,N,0,VBM PORTION,79,65,6
LOS ANGELES,9002303A,4079,116,N,982,TOTAL,184,142,16
LOS ANGELES,9002306A,4081,116,N,1071,POLLING PLACE,112,85,10
LOS ANGELES,9002306A,4081,116,N,0,VBM PORTION,77,56,14
LOS ANGELES,9002306A,4081,116,N,1071,TOTAL,189,141,24
LOS ANGELES,9002316A,4085,116,N,1111,POLLING PLACE,107,79,14
LOS ANGELES,9002316A,4085,116,N,0,VBM PORTION,97,66,13
LOS ANGELES,9002316A,4085,116,N,1111,TOTAL,204,145,27
LOS ANGELES,9002322B,4090,116,N,1170,POLLING PLACE,71,52,6
LOS ANGELES,9002322B,4090,116,N,0,VBM PORTION,64,36,14
LOS ANGELES,9002322B,4090,116,N,1170,TOTAL,135,88,20
LOS ANGELES,9002323A,4091,116,N,991,POLLING PLACE,113,87,6
LOS ANGELES,9002323A,4091,116,N,0,VBM PORTION,71,55,6
LOS ANGELES,9002323A,4091,116,N,991,TOTAL,184,142,12
LOS ANGELES,9002324A,4092,116,N,1028,POLLING PLACE,87,65,15
LOS ANGELES,9002324A,4092,116,N,0,VBM PORTION,75,56,10
LOS ANGELES,9002324A,4092,116,N,1028,TOTAL,162,121,25
LOS ANGELES,9002329B,4093,116,N,1205,POLLING PLACE,92,67,11
LOS ANGELES,9002329B,4093,116,N,0,VBM PORTION,69,57,7
LOS ANGELES,9002329B,4093,116,N,1205,TOTAL,161,124,18
LOS ANGELES,9002330A,4094,116,N,1228,POLLING PLACE,145,113,10
LOS ANGELES,9002330A,4094,116,N,0,VBM PORTION,98,76,11
LOS ANGELES,9002330A,4094,116,N,1228,TOTAL,243,189,21
LOS ANGELES,9002333B,4096,116,N,632,POLLING PLACE,92,82,5
LOS ANGELES,9002333B,4096,116,N,0,VBM PORTION,85,67,8
LOS ANGELES,9002333B,4096,116,N,632,TOTAL,177,149,13
LOS ANGELES,9002334A,4097,116,N,1293,POLLING PLACE,256,202,29
LOS ANGELES,9002334A,4097,116,N,0,VBM PORTION,157,106,32
LOS ANGELES,9002334A,4097,116,N,1293,TOTAL,413,308,61
LOS ANGELES,9002337A,4098,116,N,1222,POLLING PLACE,56,46,2
LOS ANGELES,9002337A,4098,116,N,0,VBM PORTION,108,89,10
LOS ANGELES,9002337A,4098,116,N,1222,TOTAL,164,135,12
LOS ANGELES,9002339B,4100,116,N,1275,POLLING PLACE,94,75,9
LOS ANGELES,9002339B,4100,116,N,0,VBM PORTION,84,64,15
LOS ANGELES,9002339B,4100,116,N,1275,TOTAL,178,139,24
LOS ANGELES,9002342B,4102,116,N,1026,POLLING PLACE,95,78,7
LOS ANGELES,9002342B,4102,116,N,0,VBM PORTION,85,67,11
LOS ANGELES,9002342B,4102,116,N,1026,TOTAL,180,145,18
LOS ANGELES,9002343A,4103,116,N,1265,POLLING PLACE,51,42,4
LOS ANGELES,9002343A,4103,116,N,0,VBM PORTION,80,63,7
LOS ANGELES,9002343A,4103,116,N,1265,TOTAL,131,105,11
LOS ANGELES,9002345A,4105,116,N,1218,POLLING PLACE,49,38,8
LOS ANGELES,9002345A,4105,116,N,0,VBM PORTION,49,39,2
LOS ANGELES,9002345A,4105,116,N,1218,TOTAL,98,77,10
LOS ANGELES,9002348A,4106,116,N,581,POLLING PLACE,32,28,1
LOS ANGELES,9002348A,4106,116,N,0,VBM PORTION,29,21,5
LOS ANGELES,9002348A,4106,116,N,581,TOTAL,61,49,6
LOS ANGELES,9002356A,4109,116,N,993,POLLING PLACE,173,134,22
LOS ANGELES,9002356A,4109,116,N,0,VBM PORTION,113,73,12
LOS ANGELES,9002356A,4109,116,N,993,TOTAL,286,207,34
LOS ANGELES,9002357B,4110,116,N,1232,POLLING PLACE,75,64,3
LOS ANGELES,9002357B,4110,116,N,0,VBM PORTION,55,44,4
LOS ANGELES,9002357B,4110,116,N,1232,TOTAL,130,108,7
LOS ANGELES,9002358A,4111,116,N,1457,POLLING PLACE,176,123,35
LOS ANGELES,9002358A,4111,116,N,0,VBM PORTION,227,121,75
LOS ANGELES,9002358A,4111,116,N,1457,TOTAL,403,244,110
LOS ANGELES,9002362A,4112,116,N,1289,POLLING PLACE,152,101,33
LOS ANGELES,9002362A,4112,116,N,0,VBM PORTION,115,71,31
LOS ANGELES,9002362A,4112,116,N,1289,TOTAL,267,172,64
LOS ANGELES,9002368A,4114,114,N,1272,POLLING PLACE,81,54,18
LOS ANGELES,9002368A,4114,114,N,0,VBM PORTION,80,57,16
LOS ANGELES,9002368A,4114,114,N,1272,TOTAL,161,111,34
LOS ANGELES,9002370A,4115,116,N,1067,POLLING PLACE,98,64,28
LOS ANGELES,9002370A,4115,116,N,0,VBM PORTION,71,58,4
LOS ANGELES,9002370A,4115,116,N,1067,TOTAL,169,122,32
LOS ANGELES,9002373A,4116,116,N,1012,POLLING PLACE,85,58,16
LOS ANGELES,9002373A,4116,116,N,0,VBM PORTION,68,47,9
LOS ANGELES,9002373A,4116,116,N,1012,TOTAL,153,105,25
LOS ANGELES,9002375A,4117,116,N,862,POLLING PLACE,58,44,13
LOS ANGELES,9002375A,4117,116,N,0,VBM PORTION,49,32,11
LOS ANGELES,9002375A,4117,116,N,862,TOTAL,107,76,24
LOS ANGELES,9002377A,4118,114,N,1232,POLLING PLACE,117,85,24
LOS ANGELES,9002377A,4118,114,N,0,VBM PORTION,101,72,19
LOS ANGELES,9002377A,4118,114,N,1232,TOTAL,218,157,43
LOS ANGELES,9002394A,4124,110,N,1550,POLLING PLACE,103,64,23
LOS ANGELES,9002394A,4124,110,N,0,VBM PORTION,155,91,40
LOS ANGELES,9002394A,4124,110,N,1550,TOTAL,258,155,63
LOS ANGELES,9002395A,4125,110,N,733,POLLING PLACE,102,57,28
LOS ANGELES,9002395A,4125,110,N,0,VBM PORTION,63,36,16
LOS ANGELES,9002395A,4125,110,N,733,TOTAL,165,93,44
LOS ANGELES,9002405A,4129,110,N,704,POLLING PLACE,69,38,23
LOS ANGELES,9002405A,4129,110,N,0,VBM PORTION,35,18,14
LOS ANGELES,9002405A,4129,110,N,704,TOTAL,104,56,37
LOS ANGELES,9002556A,4194,116,N,1218,POLLING PLACE,138,105,12
LOS ANGELES,9002556A,4194,116,N,0,VBM PORTION,145,118,14
LOS ANGELES,9002556A,4194,116,N,1218,TOTAL,283,223,26
LOS ANGELES,9002559A,6200,114,Y,0,POLLING PLACE,0,0,0
LOS ANGELES,9002559A,6200,114,Y,0,VBM PORTION,0,0,0
LOS ANGELES,9002559A,6200,114,Y,0,TOTAL,0,0,0
LOS ANGELES,9002739A,6215,111,Y,0,POLLING PLACE,0,0,0
LOS ANGELES,9002739A,6215,111,Y,0,VBM PORTION,0,0,0
LOS ANGELES,9002739A,6215,111,Y,0,TOTAL,0,0,0
LOS ANGELES,9002879A,6218,118,Y,0,POLLING PLACE,0,0,0
LOS ANGELES,9002879A,6218,118,Y,0,VBM PORTION,0,0,0
LOS ANGELES,9002879A,6218,118,Y,0,TOTAL,0,0,0
LOS ANGELES,9002889A,4259,116,N,829,POLLING PLACE,65,39,17
LOS ANGELES,9002889A,4259,116,N,0,VBM PORTION,62,43,12
LOS ANGELES,9002889A,4259,116,N,829,TOTAL,127,82,29
LOS ANGELES,9002890A,4260,116,N,1297,POLLING PLACE,82,58,17
LOS ANGELES,9002890A,4260,116,N,0,VBM PORTION,95,68,13
LOS ANGELES,9002890A,4260,116,N,1297,TOTAL,177,126,30
LOS ANGELES,9002893A,4262,116,N,1358,POLLING PLACE,95,62,22
LOS ANGELES,9002893A,4262,116,N,0,VBM PORTION,106,75,20
LOS ANGELES,9002893A,4262,116,N,1358,TOTAL,201,137,42
LOS ANGELES,9002900A,4264,113,N,1537,POLLING PLACE,119,64,34
LOS ANGELES,9002900A,4264,113,N,0,VBM PORTION,434,221,139
LOS ANGELES,9002900A,4264,113,N,1537,TOTAL,553,285,173
LOS ANGELES,9002913A,4269,114,N,1242,POLLING PLACE,106,64,29
LOS ANGELES,9002913A,4269,114,N,0,VBM PORTION,93,47,23
LOS ANGELES,9002913A,4269,114,N,1242,TOTAL,199,111,52
LOS ANGELES,9002917A,4270,114,N,742,POLLING PLACE,85,53,26
LOS ANGELES,9002917A,4270,114,N,0,VBM PORTION,89,46,27
LOS ANGELES,9002917A,4270,114,N,742,TOTAL,174,99,53
LOS ANGELES,9002917D,4271,114,N,757,POLLING PLACE,117,77,32
LOS ANGELES,9002917D,4271,114,N,0,VBM PORTION,87,53,23
LOS ANGELES,9002917D,4271,114,N,757,TOTAL,204,130,55
LOS ANGELES,9002954A,4276,116,N,1255,POLLING PLACE,100,66,19
LOS ANGELES,9002954A,4276,116,N,0,VBM PORTION,131,80,28
LOS ANGELES,9002954A,4276,116,N,1255,TOTAL,231,146,47
LOS ANGELES,9003036A,4280,116,N,647,POLLING PLACE,94,52,26
LOS ANGELES,9003036A,4280,116,N,0,VBM PORTION,57,43,9
LOS ANGELES,9003036A,4280,116,N,647,TOTAL,151,95,35
LOS ANGELES,9003036C,4281,114,N,192,POLLING PLACE,17,9,6
LOS ANGELES,9003036C,4281,114,N,0,VBM PORTION,13,7,4
LOS ANGELES,9003036C,4281,114,N,192,TOTAL,30,16,10
LOS ANGELES,9003050A,4282,116,N,781,POLLING PLACE,137,116,10
LOS ANGELES,9003050A,4282,116,N,0,VBM PORTION,61,45,6
LOS ANGELES,9003050A,4282,116,N,781,TOTAL,198,161,16
LOS ANGELES,9003077A,4285,108,N,1515,POLLING PLACE,13,7,2
LOS ANGELES,9003077A,4285,108,N,0,VBM PORTION,2,2,0
LOS ANGELES,9003077A,4285,108,N,1515,TOTAL,15,9,2
LOS ANGELES,9003077C,4286,108,N,860,POLLING PLACE,82,45,13
LOS ANGELES,9003077C,4286,108,N,0,VBM PORTION,91,61,19
LOS ANGELES,9003077C,4286,108,N,860,TOTAL,173,106,32
LOS ANGELES,9003150A,4291,108,N,954,POLLING PLACE,25,11,8
LOS ANGELES,9003150A,4291,108,N,0,VBM PORTION,20,10,9
LOS ANGELES,9003150A,4291,108,N,954,TOTAL,45,21,17
LOS ANGELES,9003229A,4304,116,N,1014,POLLING PLACE,129,100,10
LOS ANGELES,9003229A,4304,116,N,0,VBM PORTION,108,79,11
LOS ANGELES,9003229A,4304,116,N,1014,TOTAL,237,179,21
LOS ANGELES,9003552A,4325,108,N,1004,POLLING PLACE,28,12,7
LOS ANGELES,9003552A,4325,108,N,0,VBM PORTION,18,12,4
LOS ANGELES,9003552A,4325,108,N,1004,TOTAL,46,24,11
LOS ANGELES,9003674E,4332,116,N,955,POLLING PLACE,38,29,8
LOS ANGELES,9003674E,4332,116,N,0,VBM PORTION,51,40,4
LOS ANGELES,9003674E,4332,116,N,955,TOTAL,89,69,12
LOS ANGELES,9003969C,4350,116,N,1055,POLLING PLACE,71,44,10
LOS ANGELES,9003969C,4350,116,N,0,VBM PORTION,29,27,0
LOS ANGELES,9003969C,4350,116,N,1055,TOTAL,100,71,10
LOS ANGELES,9004218A,4362,113,N,624,POLLING PLACE,87,48,23
LOS ANGELES,9004218A,4362,113,N,0,VBM PORTION,48,30,11
LOS ANGELES,9004218A,4362,113,N,624,TOTAL,135,78,34
LOS ANGELES,9005291B,4403,114,N,847,POLLING PLACE,67,46,16
LOS ANGELES,9005291B,4403,114,N,0,VBM PORTION,90,55,18
LOS ANGELES,9005291B,4403,114,N,847,TOTAL,157,101,34
LOS ANGELES,9005293A,4404,114,N,1274,POLLING PLACE,122,71,39
LOS ANGELES,9005293A,4404,114,N,0,VBM PORTION,108,60,38
LOS ANGELES,9005293A,4404,114,N,1274,TOTAL,230,131,77
LOS ANGELES,9005303A,4406,116,N,1102,POLLING PLACE,78,53,14
LOS ANGELES,9005303A,4406,116,N,0,VBM PORTION,108,57,32
