LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PAMALA F MATSUMOTO,AMY CARTER
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,41,69
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,58,97
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,25,35
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,25,31
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,50,66
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,10,18
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,14,13
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,24,31
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,26,31
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,16,21
ALTADENA,0200001A,63,33,N,500,TOTAL,118,42,52
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,15,24
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,36,36
ALTADENA,0200002A,64,33,N,692,TOTAL,152,51,60
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,22,46
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,26,35
ALTADENA,0200003A,65,33,N,854,TOTAL,161,48,81
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,54,67
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,63,84
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,117,151
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,42,54
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,53,49
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,95,103
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,29,32
ALTADENA,0200008A,68,33,N,0,VBM PORTION,58,16,29
ALTADENA,0200008A,68,33,N,873,TOTAL,135,45,61
ALTADENA,0200009A,69,33,N,969,POLLING PLACE,89,27,48
ALTADENA,0200009A,69,33,N,0,VBM PORTION,62,18,31
ALTADENA,0200009A,69,33,N,969,TOTAL,151,45,79
ALTADENA,0200011A,70,33,N,860,POLLING PLACE,77,21,35
ALTADENA,0200011A,70,33,N,0,VBM PORTION,101,24,56
ALTADENA,0200011A,70,33,N,860,TOTAL,178,45,91
ALTADENA,0200012A,71,33,N,819,POLLING PLACE,94,45,43
ALTADENA,0200012A,71,33,N,0,VBM PORTION,100,30,44
ALTADENA,0200012A,71,33,N,819,TOTAL,194,75,87
ALTADENA,0200013A,72,33,N,931,POLLING PLACE,63,25,26
ALTADENA,0200013A,72,33,N,0,VBM PORTION,46,12,19
ALTADENA,0200013A,72,33,N,931,TOTAL,109,37,45
ALTADENA,0200015A,73,33,N,1366,POLLING PLACE,103,19,57
ALTADENA,0200015A,73,33,N,0,VBM PORTION,106,28,58
ALTADENA,0200015A,73,33,N,1366,TOTAL,209,47,115
ALTADENA,0200017A,74,33,N,1002,POLLING PLACE,55,12,34
ALTADENA,0200017A,74,33,N,0,VBM PORTION,59,20,25
ALTADENA,0200017A,74,33,N,1002,TOTAL,114,32,59
ALTADENA,0200018A,75,33,N,852,POLLING PLACE,54,14,30
ALTADENA,0200018A,75,33,N,0,VBM PORTION,39,12,21
ALTADENA,0200018A,75,33,N,852,TOTAL,93,26,51
ALTADENA,0200019B,76,33,N,872,POLLING PLACE,57,20,29
ALTADENA,0200019B,76,33,N,0,VBM PORTION,24,13,10
ALTADENA,0200019B,76,33,N,872,TOTAL,81,33,39
ALTADENA,0200022A,77,33,N,866,POLLING PLACE,122,43,50
ALTADENA,0200022A,77,33,N,0,VBM PORTION,121,50,35
ALTADENA,0200022A,77,33,N,866,TOTAL,243,93,85
ALTADENA,0200025B,78,33,N,915,POLLING PLACE,84,34,38
ALTADENA,0200025B,78,33,N,0,VBM PORTION,52,14,21
ALTADENA,0200025B,78,33,N,915,TOTAL,136,48,59
ALTADENA,0200028A,79,33,N,1306,POLLING PLACE,207,76,89
ALTADENA,0200028A,79,33,N,0,VBM PORTION,206,70,78
ALTADENA,0200028A,79,33,N,1306,TOTAL,413,146,167
ALTADENA,0200030A,80,33,N,889,POLLING PLACE,118,41,54
ALTADENA,0200030A,80,33,N,0,VBM PORTION,143,49,56
ALTADENA,0200030A,80,33,N,889,TOTAL,261,90,110
ALTADENA,0200031A,6012,44,Y,3,POLLING PLACE,0,0,0
ALTADENA,0200031A,6012,44,Y,0,VBM PORTION,0,0,0
ALTADENA,0200031A,6012,44,Y,3,TOTAL,0,0,0
ALTADENA,0200032A,81,33,N,1378,POLLING PLACE,196,78,83
ALTADENA,0200032A,81,33,N,0,VBM PORTION,153,58,52
ALTADENA,0200032A,81,33,N,1378,TOTAL,349,136,135
ALTADENA,0200038B,82,33,N,1195,POLLING PLACE,180,76,63
ALTADENA,0200038B,82,33,N,0,VBM PORTION,134,51,50
ALTADENA,0200038B,82,33,N,1195,TOTAL,314,127,113
ALTADENA,0200039A,83,33,N,1132,POLLING PLACE,145,46,73
ALTADENA,0200039A,83,33,N,0,VBM PORTION,117,36,53
ALTADENA,0200039A,83,33,N,1132,TOTAL,262,82,126
ALTADENA,0200044A,84,33,N,985,POLLING PLACE,77,30,39
ALTADENA,0200044A,84,33,N,0,VBM PORTION,59,23,21
ALTADENA,0200044A,84,33,N,985,TOTAL,136,53,60
ALTADENA,0200051A,85,33,N,1218,POLLING PLACE,131,59,47
ALTADENA,0200051A,85,33,N,0,VBM PORTION,151,49,70
ALTADENA,0200051A,85,33,N,1218,TOTAL,282,108,117
ALTADENA,0200086A,86,33,N,1189,POLLING PLACE,153,50,73
ALTADENA,0200086A,86,33,N,0,VBM PORTION,152,55,63
ALTADENA,0200086A,86,33,N,1189,TOTAL,305,105,136
ALTADENA,0200086B,6013,33,Y,22,POLLING PLACE,0,0,0
ALTADENA,0200086B,6013,33,Y,0,VBM PORTION,8,2,3
ALTADENA,0200086B,6013,33,Y,22,TOTAL,8,2,3
ALTADENA,0200087A,87,33,N,703,POLLING PLACE,92,25,41
ALTADENA,0200087A,87,33,N,0,VBM PORTION,61,15,34
ALTADENA,0200087A,87,33,N,703,TOTAL,153,40,75
ALTADENA,0200088B,88,33,N,1376,POLLING PLACE,144,57,63
ALTADENA,0200088B,88,33,N,0,VBM PORTION,145,57,53
ALTADENA,0200088B,88,33,N,1376,TOTAL,289,114,116
ALTADENA,0200090A,89,33,N,1130,POLLING PLACE,137,41,65
