LEAK_ID,RPT_TYPE,RPT_DATE,ADDRESS,MAIN_ST,CROSS_ST,PIPE_SIZE,PIPE_TYPE,YR_INST,PLR_INST,LEAK_TYPE,LEAK_QUANT,ANOD_INST,COAT_TYPE,COAT_COND,SOIL_TYPE,FOREMAN,WSM_NBR,REPAIR_HRS,MAN_HRS,REMARKS,LAT,LON
65065,MAIN,14-May-13,1617 W. 39TH PL.,22' S/N 39TH ST.,146' W/W WESTERN AVE.,6,C.I.,1926,42316,CORP,1,,,,B,T.SMITH,116-192,4,8,"ABANDONED 3/4"" CORP VALVE, LEAKING ON MAIN, PINCH DOWN MAIN, REMOVE CORP VALVE, INSTALL CLAMP. GAS CO. TO BACKFILL.",34.01373799,-118.3095258
65500,MAIN,14-May-13,2627 VAN BUREN PL,17' EW VAN BUREN PL,272' SS ADAMS BL,6,C.I.,,,SPLIT,1,,,,,PRECIADO,122-195,8,16,"FOUND LEAK ON 6"" CI PIPE CUT IN 5 1/2 FT OF DI PIPE & INSTALLED TWO 6"" DRESSER. BACKFILLED & TEMP SYS 386 CD 8",34.03186991,-118.2970247
65463,MAIN,15-May-13,3454 W. 75TH ST.,20' N/S 75TH ST.,4' E/E VICTORIA AVE.,6,A.C.,1975,92789,,1,,,,,J. LUCERO,102-186,8,16,"ARRIVED ON JOB, SET UP TRAFFIC, BROKE OUT AND EXCAVATED, REPLACED 6"" GATE VALVE W/NEW VALVE, 2 FT. OF PIPE, AND 2 MECHANICALS, MAINLINE CREW WILL SLURRY EXCAVATION, LEFT PLATED FOR TODAY, CLEANED UP, PICKED UP TRAFFIC, LEFT JOB SAFE.",33.9717864,-118.3329209
65463,MAIN,15-May-13,3454 W. 75TH ST.,20' N/S 75TH ST.,4' E/E VICTORIA AVE.,6,A.C.,1975,92789,,1,,,,,J. LUCERO,102-186,8,16,"ARRIVED ON JOB, SET UP TRAFFIC, BROKE OUT AND EXCAVATED, REPLACED 6"" GATE VALVE W/NEW VALVE, 2 FT. OF PIPE, AND 2 MECHANICALS, MAINLINE CREW WILL SLURRY EXCAVATION, LEFT PLATED FOR TODAY, CLEANED UP, PICKED UP TRAFFIC, LEFT JOB SAFE.",33.9717864,-118.3329209
65497,MAIN,15-May-13,1033 W ALPINE ST,15' NS W ALPINE ST,210' WW CENTENNIAL ST,6,C.I.,1903,3946,ROUND CRACK,1,,,VERY BAD,,PRECIADO,136-213,,,THIS MAIN IS IN VERY BAD SHAPE. FOUND ROUND CRACK INSTALLED 1- 360 DEGREE REPAIR CLAMP. BACKFILLED & TEMP. MAIN HAS VERY BAD OUTER CORROSION.,34.06551216,-118.2473619
65069,MAIN,16-May-13,2325 GARTH AVE.,17' EW GARTH AVE,280' S/S CADILLAC AVE.,4,C.I.,1924,34010,"CLAMP, SPLIT",1,,,,ADOBE,WASHINGTON,126-171,8,16,"REPAIRED 4"" C.I. MAIN. HAD SMALL SPILIT RAN INTO SERVICE CLAMP FOR 2322 GARTH AVE. BACKFILLED & OILED. NEED LARGE BACK UP & MORE OIL. STREET IS VERY CRACKED UP.",34.03796522,-118.3795228
65075,MAIN,16-May-13,7964 WILLOW GLEN RD.,10' NS WILLOW GLEN RD,874' W/W WOODSTOCK RD.,6,STEEL,1936,47672,RUST HOLE,1,,,MED,DECOMP GRANITE,C. SCHWEINBOLD,154-174,8,23,"REPAIRED 2 RUPTURES ON WATER MAIN. USED REDUCER, CLAMP, 1 SCREW PIN. BACKFILLED, TAMPED, & OILED. HELP MAKE PICK-UP, CLEAN, & SWEPT AREA.",34.11960226,-118.3706472
65073,MAIN,17-May-13,299 BEL AIR RD.,20' N/S BEL AIR RD.,2' E/E BEL AIR RD.,6,STEEL,1925,41611,RUST HOLE,1,,,,,M. SPEARS,142-153,8,24,"SET UP TRAFFIC DELINEATION, LOCATED DAMAGED AREA, EXCAVATED SECTION FOUND 3 SECTIONS LEAKING. APPLIED 2 360 DEGREE REPAIR CLAMP. CLEANED UP, BACKFILLED, SITE SAFE.",34.08313082,-118.4386417
65498,MAIN,17-May-13,2200 N FIGUEROA ST,34' EW AVENUE 26,32' SN FIGUEROA ST,12,STEEL,1909,103955,RUST HOLE,1,,,,CLAY,ARIAS,142-219,16,94,"EXCAVATED AND FOUND SMALL HOLE ON 12"" STEEL MAIN OF THE 24"". HAD WELDER WELD A WELDNECK OVER SCREWPIN. BACKFILLED AND LEFT SAFE THE JOB SITE.",34.08401361,-118.2226875
65076,MAIN,18-May-13,363 N. HIGHLAND AVE.,20' E/W N. HIGHLAND AVE.,23' S/S OAKWOOD AVE.,8,C.I.,1924,34292,RUPTURE,1,,,,ADOBE,WASHINGTON,140-183,8,32,"FOUND SMALL RUPTURE. GOING INTO GAZV SERV INSTALLED 8"" X 12"" CLAMP. CUT OUT OLD SERVICE, RENEWED SHORT SIDE 1"" SERVICE. BACKFILL, OIL (COMPLETE).",34.0781463,-118.338657
65499,MAIN,19-May-13,4819 MALTA ST,1' EE SHANLEY AVE,19' NS MALTA ST,6,A.C.,1949,66942,ROUND CRACK,1,,,,,SOLIS,150-225,10.5,32,PIN POINT LEAK; EXCAVATE; HAD TO WAIT FOR REG. SECTION. REG STATION INVOLVE IN PINCH DOWN. MADE REPAIRS. BACKFILL; LEFT SAFE & CLEAN.,34.10671229,-118.2065179
65084,MAIN,19-May-13,1420 SUNSET PLAZA DR.,9' SN SUNSET PLAZA DR,799' E/E RISING GLEN RD.,6,STEEL,1929,48083,RUST HOLE,3,,,,LOAM,M. SPEARS,146-171,6,18,"REPAIRED 3 LEAKS ON 6"" STEEL MAIN. 2 LEAKS WITH 6"" X 12"" 360 DEGREE CLAMPS. 1 LEAK WITH LARGE SCREWPIN.",34.09603004,-118.3821686
65085,MAIN,20-May-13,10601 ROSE AVE.,20' S/N ROSE AVE.,51 W/W KEYSTONE AVE.,4,A.C.,1985,97773,"CLAMP, ROUND CRACK",1,,,,,W. KELLY,122-162,9,17,"USED (1) 360 DEGREE CLAMP ON 4"" A.C. MAIN.

USED (1) 360 DEGREE CLAMP ON 4"" A.C. MAIN.",34.02798073,-118.4130736
65089,MAIN,20-May-13,425 N. BARRINGTON AVE.,26' E/W BARRINGTON AVE.,650' N/N CRESCENDA ST.,6,C.I.,1925,35550,ROUND CRACK,1,,,,CLAY,M. SPEARS,136-144,8,24,"REPAIRED 6"" ROUND CRACK LEAK WITH 6"" X 12"" 360 DEGREE CLAMP.",34.06974347,-118.4737833
65090,MAIN,20-May-13,836 SPAULDING AVE.,23' W/E SPAULDING AVE.,387' S/S 8TH ST.,6,C.I.,1954,70833,SPLIT,1,,,LIGHT,CLAY,C. SCHWEINBOLD,134-177,5,19,"REPAIRED SMALL SPLIT ON 6"" C.I. WATER MAIN AT CLAMP. BACKFILLED, TAMPED, & OILED. HELP MAKE PICK-UP, CLEAN & SWEPT AREA.",34.0597158,-118.3588346
65094,MAIN,21-May-13,2468 OVERLAND AVE.,44' W/E OVERLAND AVE.,120 S/S AYRES AVE.,12,C.I.,1924,34853,SPLIT,1,,,,,T. BLACK,126-159,15.5,124,"LOCATED LEAK, EXCAVATED, REPAIRED USING D.I. PIPE W/MECH. COUP, BLACKFILLED, CLEANED SITE, & MADE SITE SAFE.",34.04072304,-118.4239517
