agency_unique,swcrb_name,supplier_name_proper,supplier_name_slug,hydrologic_region,hydrologic_region_slug,june_5_reduction_target,march_1_reduction_target,cumulative_reduction_percent,reached_reduction_target,stress_test_reduction_target
1143,Hayward City of,city of hayward,city-of-hayward,San Francisco Bay,san-francisco-bay,0.08,0.08,0.227,TRUE,0
1144,Healdsburg City of,city of healdsburg,city-of-healdsburg,North Coast,north-coast,0.24,0.24,0.256,TRUE,0
1157,Hemet City of,city of hemet,city-of-hemet,South Coast,south-coast,0.32,0.14,0.196,FALSE,0
1165,Hesperia Water District City of,city of hesperia water district,city-of-hesperia-water-district,South Lahontan,south-lahontan,0.32,0.28,0.181,FALSE,0
1188,Hollister City of,city of hollister,city-of-hollister,Central Coast,central-coast,0.2,0.2,0.207,TRUE,0
1215,Huntington Beach City of,city of huntington beach,city-of-huntington-beach,South Coast,south-coast,0.2,0.13,0.21,TRUE,0
1217,Huntington Park City of,city of huntington park,city-of-huntington-park,South Coast,south-coast,0.08,0.08,0.126,TRUE,0
1225,Imperial City of,city of imperial,city-of-imperial,Colorado River,colorado-river,0.24,0.2,0.112,FALSE,0
1236,Indio City of,city of indio,city-of-indio,Colorado River,colorado-river,0.32,0.27,0.213,FALSE,0
1238,Inglewood City of,city of inglewood,city-of-inglewood,South Coast,south-coast,0.12,0.11,0.152,TRUE,0.05
1286,Kerman City of,city of kerman,city-of-kerman,Tulare Lake,tulare-lake,0.32,0.29,0.259,FALSE,0
1304,Kingsburg City of,city of kingsburg,city-of-kingsburg,Tulare Lake,tulare-lake,0.36,0.34,0.394,TRUE,0
1324,La Habra City of Public Works,city of la habra,city-of-la-habra,South Coast,south-coast,0.28,0.28,0.206,FALSE,0
1327,La Palma City of,city of la palma,city-of-la-palma,South Coast,south-coast,0.2,0.13,0.228,TRUE,0
1333,La Verne City of,city of la verne,city-of-la-verne,South Coast,south-coast,0.32,0.3,0.26,FALSE,0
1370,Lakewood City of,city of lakewood,city-of-lakewood,South Coast,south-coast,0.2,0.12,0.242,TRUE,0
1388,Lathrop City of ,city of lathrop,city-of-lathrop,San Joaquin River,san-joaquin-river,0.2,0.18,0.283,TRUE,NULL
1415,Lemoore City of,city of lemoore,city-of-lemoore,Tulare Lake,tulare-lake,0.32,0.28,0.21,FALSE,0
1424,Lincoln City of,city of lincoln,city-of-lincoln,Sacramento River,sacramento-river,0.32,0.28,0.319,FALSE,0
1443,Livermore City of Division of Water Resources,city of livermore,city-of-livermore,San Francisco Bay,san-francisco-bay,0.2,0.17,0.328,TRUE,0
1444,Livingston City of,city of livingston,city-of-livingston,San Joaquin River,san-joaquin-river,0.32,0.29,0.168,FALSE,NULL
1450,Lodi City of Public Works Department,city of lodi,city-of-lodi,San Joaquin River,san-joaquin-river,0.32,0.3,0.265,FALSE,0.06
1452,Loma Linda City of,city of loma linda,city-of-loma-linda,South Coast,south-coast,0.32,0.3,0.199,FALSE,0
,Lomita City of,city of lomita,city-of-lomita,South Coast,south-coast,0.2,0.2,0.166,FALSE,0
1459,Lompoc City of,city of lompoc,city-of-lompoc,Central Coast,central-coast,0.12,0.12,0.221,TRUE,NULL
1464,Long Beach City of,city of long beach,city-of-long-beach,South Coast,south-coast,0.16,0.09,0.152,FALSE,0
1487,Los Banos City of,city of los banos,city-of-los-banos,San Joaquin River,san-joaquin-river,0.28,0.24,0.224,FALSE,NULL
1506,Lynwood City of,city of lynwood,city-of-lynwood,South Coast,south-coast,0.16,0.1,0.112,FALSE,0
1510,Madera City of,city of madera,city-of-madera,San Joaquin River,san-joaquin-river,0.28,0.26,0.253,FALSE,0
1536,Manhattan Beach City of,city of manhattan beach,city-of-manhattan-beach,South Coast,south-coast,0.2,0.18,0.188,FALSE,0
1539,Manteca City of,city of manteca,city-of-manteca,San Joaquin River,san-joaquin-river,0.32,0.27,0.296,FALSE,0
1554,Martinez City of,city of martinez,city-of-martinez,San Francisco Bay,san-francisco-bay,0.2,0.2,0.309,TRUE,0
1588,Menlo Park City of,city of menlo park,city-of-menlo-park,San Francisco Bay,san-francisco-bay,0.16,0.16,0.416,TRUE,0
1589,Merced City of,city of merced,city-of-merced,San Joaquin River,san-joaquin-river,0.36,0.34,0.371,TRUE,0
1613,Millbrae City of,city of millbrae,city-of-millbrae,San Francisco Bay,san-francisco-bay,0.16,0.16,0.234,TRUE,0
1619,Milpitas City of,city of milpitas,city-of-milpitas,San Francisco Bay,san-francisco-bay,0.12,0.12,NULL,NULL,0
1631,Modesto City of,city of modesto,city-of-modesto,San Joaquin River,san-joaquin-river,0.36,0.33,0.278,FALSE,0.2
1639,Monrovia City of,city of monrovia,city-of-monrovia,South Coast,south-coast,0.28,0.26,0.219,FALSE,0.12
1650,Monterey Park City of,city of monterey park,city-of-monterey-park,South Coast,south-coast,0.2,0.2,0.168,FALSE,0.14
1656,Morgan Hill City of,city of morgan hill,city-of-morgan-hill,Central Coast,central-coast,0.28,0.27,0.33,TRUE,0
1660,Morro Bay City of,city of morro bay,city-of-morro-bay,Central Coast,central-coast,0.12,0.12,0.187,TRUE,0
1671,Mountain View City of,city of mountain view,city-of-mountain-view,San Francisco Bay,san-francisco-bay,0.16,0.16,0.314,TRUE,0
1701,Napa City of,city of napa,city-of-napa,San Francisco Bay,san-francisco-bay,0.2,0.2,0.229,TRUE,0
1729,City of Newman Water Department,city of newman water department,city-of-newman-water-department,San Joaquin River,san-joaquin-river,0.24,0.21,0.243,TRUE,NULL
