LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MATT DABABNEH,SUSAN SHELLEY,
LOS ANGELES,9001892A,3916,115,N,,VBM PORTION,132,89,36,
LOS ANGELES,9001892A,3916,115,N,1434,TOTAL,338,215,100,
LOS ANGELES,9001893A,3917,115,N,1272,POLLING PLACE,191,101,81,
LOS ANGELES,9001893A,3917,115,N,,VBM PORTION,117,67,39,
LOS ANGELES,9001893A,3917,115,N,1272,TOTAL,308,168,120,
LOS ANGELES,9001999A,3958,115,N,763,POLLING PLACE,170,87,74,
LOS ANGELES,9001999A,3958,115,N,,VBM PORTION,82,44,37,
LOS ANGELES,9001999A,3958,115,N,763,TOTAL,252,131,111,
LOS ANGELES,9002123A,4021,115,N,794,POLLING PLACE,133,69,49,
LOS ANGELES,9002123A,4021,115,N,,VBM PORTION,87,43,35,
LOS ANGELES,9002123A,4021,115,N,794,TOTAL,220,112,84,
LOS ANGELES,9002125B,4023,113,N,886,POLLING PLACE,121,76,37,
LOS ANGELES,9002125B,4023,113,N,,VBM PORTION,55,23,25,
LOS ANGELES,9002125B,4023,113,N,886,TOTAL,176,99,62,
LOS ANGELES,9002307A,4104,115,N,1393,POLLING PLACE,171,103,54,
LOS ANGELES,9002307A,4104,115,N,,VBM PORTION,67,39,24,
LOS ANGELES,9002307A,4104,115,N,1393,TOTAL,238,142,78,
LOS ANGELES,9002315A,4106,113,N,986,POLLING PLACE,116,83,29,
LOS ANGELES,9002315A,4106,113,N,,VBM PORTION,59,29,27,
LOS ANGELES,9002315A,4106,113,N,986,TOTAL,175,112,56,
LOS ANGELES,9002414A,4153,115,N,1086,POLLING PLACE,158,115,39,
LOS ANGELES,9002414A,4153,115,N,,VBM PORTION,34,18,12,
LOS ANGELES,9002414A,4153,115,N,1086,TOTAL,192,133,51,
LOS ANGELES,9002473A,4175,113,N,165,POLLING PLACE,41,17,21,
LOS ANGELES,9002473A,4175,113,N,,VBM PORTION,10,8,2,
LOS ANGELES,9002473A,4175,113,N,165,TOTAL,51,25,23,
LOS ANGELES,9002772A,4269,115,N,846,POLLING PLACE,166,71,85,
LOS ANGELES,9002772A,4269,115,N,,VBM PORTION,67,30,33,
LOS ANGELES,9002772A,4269,115,N,846,TOTAL,233,101,118,
LOS ANGELES,9002804A,6327,115,Y,10,POLLING PLACE,,,,
LOS ANGELES,9002804A,6327,115,Y,,VBM PORTION,,,,
LOS ANGELES,9002804A,6327,115,Y,10,TOTAL,,,,
LOS ANGELES,9003122A,4318,115,N,1187,POLLING PLACE,302,126,148,
LOS ANGELES,9003122A,4318,115,N,,VBM PORTION,136,81,51,
LOS ANGELES,9003122A,4318,115,N,1187,TOTAL,438,207,199,
LOS ANGELES,9003128A,4319,116,N,894,POLLING PLACE,206,79,110,
LOS ANGELES,9003128A,4319,116,N,,VBM PORTION,95,35,52,
LOS ANGELES,9003128A,4319,116,N,894,TOTAL,301,114,162,
LOS ANGELES,9003129A,4320,116,N,1072,POLLING PLACE,269,127,126,
LOS ANGELES,9003129A,4320,116,N,,VBM PORTION,74,32,38,
LOS ANGELES,9003129A,4320,116,N,1072,TOTAL,343,159,164,
LOS ANGELES,9003218B,4331,115,N,1280,POLLING PLACE,248,137,101,
LOS ANGELES,9003218B,4331,115,N,,VBM PORTION,143,87,50,
LOS ANGELES,9003218B,4331,115,N,1280,TOTAL,391,224,151,
LOS ANGELES,9003465A,4350,115,N,429,POLLING PLACE,82,48,24,
LOS ANGELES,9003465A,4350,115,N,,VBM PORTION,60,29,29,
LOS ANGELES,9003465A,4350,115,N,429,TOTAL,142,77,53,
LOS ANGELES,9003600A,4356,115,N,1133,POLLING PLACE,207,97,97,
LOS ANGELES,9003600A,4356,115,N,,VBM PORTION,105,51,50,
LOS ANGELES,9003600A,4356,115,N,1133,TOTAL,312,148,147,
LOS ANGELES,9003626A,4360,109,N,1318,POLLING PLACE,268,134,118,
LOS ANGELES,9003626A,4360,109,N,,VBM PORTION,145,73,62,
LOS ANGELES,9003626A,4360,109,N,1318,TOTAL,413,207,180,
LOS ANGELES,9003681A,4363,115,N,1196,POLLING PLACE,157,106,42,
LOS ANGELES,9003681A,4363,115,N,,VBM PORTION,120,79,33,
LOS ANGELES,9003681A,4363,115,N,1196,TOTAL,277,185,75,
LOS ANGELES,9003683A,4364,115,N,1314,POLLING PLACE,207,126,58,
LOS ANGELES,9003683A,4364,115,N,,VBM PORTION,142,89,44,
LOS ANGELES,9003683A,4364,115,N,1314,TOTAL,349,215,102,
LOS ANGELES,9004210A,4387,112,N,910,POLLING PLACE,165,102,59,
LOS ANGELES,9004210A,4387,112,N,,VBM PORTION,79,36,32,
LOS ANGELES,9004210A,4387,112,N,910,TOTAL,244,138,91,
LOS ANGELES,9004217A,4391,116,N,1091,POLLING PLACE,331,140,175,
LOS ANGELES,9004217A,4391,116,N,,VBM PORTION,105,49,49,
LOS ANGELES,9004217A,4391,116,N,1091,TOTAL,436,189,224,
LOS ANGELES,9004240A,4401,115,N,1404,POLLING PLACE,209,126,65,
LOS ANGELES,9004240A,4401,115,N,,VBM PORTION,110,53,48,
LOS ANGELES,9004240A,4401,115,N,1404,TOTAL,319,179,113,
LOS ANGELES,9005520A,4459,115,N,949,POLLING PLACE,219,115,91,
LOS ANGELES,9005520A,4459,115,N,,VBM PORTION,97,45,47,
LOS ANGELES,9005520A,4459,115,N,949,TOTAL,316,160,138,
LOS ANGELES,9006260A,4523,109,N,1168,POLLING PLACE,207,114,85,
LOS ANGELES,9006260A,4523,109,N,,VBM PORTION,84,38,38,
LOS ANGELES,9006260A,4523,109,N,1168,TOTAL,291,152,123,
LOS ANGELES,9006267A,4524,109,N,1165,POLLING PLACE,252,113,123,
LOS ANGELES,9006267A,4524,109,N,,VBM PORTION,138,57,71,
LOS ANGELES,9006267A,4524,109,N,1165,TOTAL,390,170,194,
LOS ANGELES,9006268A,4525,116,N,899,POLLING PLACE,113,45,59,
LOS ANGELES,9006268A,4525,116,N,,VBM PORTION,95,52,41,
LOS ANGELES,9006268A,4525,116,N,899,TOTAL,208,97,100,
LOS ANGELES,9006274A,4526,110,N,1180,POLLING PLACE,274,137,123,
LOS ANGELES,9006274A,4526,110,N,,VBM PORTION,97,50,41,
LOS ANGELES,9006274A,4526,110,N,1180,TOTAL,371,187,164,
LOS ANGELES,9006276B,4527,109,N,918,POLLING PLACE,9,3,3,
LOS ANGELES,9006276B,4527,109,N,,VBM PORTION,2,1,,
LOS ANGELES,9006276B,4527,109,N,918,TOTAL,11,4,3,
LOS ANGELES,9006279A,4528,116,N,830,POLLING PLACE,211,98,101,
LOS ANGELES,9006279A,4528,116,N,,VBM PORTION,74,31,41,
LOS ANGELES,9006279A,4528,116,N,830,TOTAL,285,129,142,
LOS ANGELES,9006288A,4529,109,N,1185,POLLING PLACE,323,152,147,
LOS ANGELES,9006288A,4529,109,N,,VBM PORTION,117,29,83,
LOS ANGELES,9006288A,4529,109,N,1185,TOTAL,440,181,230,
LOS ANGELES,9006293A,4530,109,N,1172,POLLING PLACE,182,91,80,
LOS ANGELES,9006293A,4530,109,N,,VBM PORTION,70,37,29,
LOS ANGELES,9006293A,4530,109,N,1172,TOTAL,252,128,109,
LOS ANGELES,9006297A,4531,115,N,884,POLLING PLACE,172,100,54,
LOS ANGELES,9006297A,4531,115,N,,VBM PORTION,68,30,34,
LOS ANGELES,9006297A,4531,115,N,884,TOTAL,240,130,88,
LOS ANGELES,9006405A,4562,115,N,1031,POLLING PLACE,150,89,48,
LOS ANGELES,9006405A,4562,115,N,,VBM PORTION,56,31,20,
LOS ANGELES,9006405A,4562,115,N,1031,TOTAL,206,120,68,
LOS ANGELES,9006405C,4563,115,N,921,POLLING PLACE,121,69,36,
LOS ANGELES,9006405C,4563,115,N,,VBM PORTION,59,29,24,
LOS ANGELES,9006405C,4563,115,N,921,TOTAL,180,98,60,
LOS ANGELES,9006410A,4564,116,N,808,POLLING PLACE,84,43,34,
LOS ANGELES,9006410A,4564,116,N,,VBM PORTION,78,31,39,
LOS ANGELES,9006410A,4564,116,N,808,TOTAL,162,74,73,
LOS ANGELES,9006416B,6342,116,Y,287,POLLING PLACE,,,,
LOS ANGELES,9006416B,6342,116,Y,,VBM PORTION,61,31,28,
LOS ANGELES,9006416B,6342,116,Y,287,TOTAL,61,31,28,
LOS ANGELES,9006419A,4565,116,N,1061,POLLING PLACE,323,144,154,
LOS ANGELES,9006419A,4565,116,N,,VBM PORTION,102,41,59,
LOS ANGELES,9006419A,4565,116,N,1061,TOTAL,425,185,213,
LOS ANGELES,9006421A,4566,116,N,871,POLLING PLACE,259,128,118,
LOS ANGELES,9006421A,4566,116,N,,VBM PORTION,64,25,32,
LOS ANGELES,9006421A,4566,116,N,871,TOTAL,323,153,150,
LOS ANGELES,9006427A,4567,115,N,1261,POLLING PLACE,213,149,53,
LOS ANGELES,9006427A,4567,115,N,,VBM PORTION,92,60,29,
LOS ANGELES,9006427A,4567,115,N,1261,TOTAL,305,209,82,
LOS ANGELES,9006428A,4568,115,N,1158,POLLING PLACE,121,61,54,
LOS ANGELES,9006428A,4568,115,N,,VBM PORTION,100,56,37,
LOS ANGELES,9006428A,4568,115,N,1158,TOTAL,221,117,91,
LOS ANGELES,9006429B,4569,115,N,1226,POLLING PLACE,183,109,66,
LOS ANGELES,9006429B,4569,115,N,,VBM PORTION,87,47,39,
LOS ANGELES,9006429B,4569,115,N,1226,TOTAL,270,156,105,
LOS ANGELES,9006432B,4570,115,N,1215,POLLING PLACE,205,115,84,
LOS ANGELES,9006432B,4570,115,N,,VBM PORTION,109,48,48,
LOS ANGELES,9006432B,4570,115,N,1215,TOTAL,314,163,132,
LOS ANGELES,9006438A,4571,115,N,1206,POLLING PLACE,165,109,49,
LOS ANGELES,9006438A,4571,115,N,,VBM PORTION,54,28,23,
LOS ANGELES,9006438A,4571,115,N,1206,TOTAL,219,137,72,
LOS ANGELES,9006440A,4572,115,N,1339,POLLING PLACE,238,158,67,
LOS ANGELES,9006440A,4572,115,N,,VBM PORTION,83,44,39,
LOS ANGELES,9006440A,4572,115,N,1339,TOTAL,321,202,106,
LOS ANGELES,9006441B,4573,115,N,1394,POLLING PLACE,207,136,58,
LOS ANGELES,9006441B,4573,115,N,,VBM PORTION,91,50,35,
LOS ANGELES,9006441B,4573,115,N,1394,TOTAL,298,186,93,
LOS ANGELES,9006445A,4574,115,N,1413,POLLING PLACE,233,117,87,
LOS ANGELES,9006445A,4574,115,N,,VBM PORTION,98,59,33,
LOS ANGELES,9006445A,4574,115,N,1413,TOTAL,331,176,120,
LOS ANGELES,9006445D,4575,115,N,1122,POLLING PLACE,170,93,71,
LOS ANGELES,9006445D,4575,115,N,,VBM PORTION,80,44,33,
LOS ANGELES,9006445D,4575,115,N,1122,TOTAL,250,137,104,
LOS ANGELES,9006447A,4576,116,N,1172,POLLING PLACE,243,99,129,
LOS ANGELES,9006447A,4576,116,N,,VBM PORTION,117,46,64,
LOS ANGELES,9006447A,4576,116,N,1172,TOTAL,360,145,193,
LOS ANGELES,9006450A,4577,115,N,1148,POLLING PLACE,228,95,123,
LOS ANGELES,9006450A,4577,115,N,,VBM PORTION,99,46,48,
LOS ANGELES,9006450A,4577,115,N,1148,TOTAL,327,141,171,
LOS ANGELES,9006452A,4578,115,N,942,POLLING PLACE,223,112,100,
LOS ANGELES,9006452A,4578,115,N,,VBM PORTION,110,58,47,
LOS ANGELES,9006452A,4578,115,N,942,TOTAL,333,170,147,
LOS ANGELES,9006453A,4579,115,N,1125,POLLING PLACE,291,144,130,
LOS ANGELES,9006453A,4579,115,N,,VBM PORTION,119,56,54,
LOS ANGELES,9006453A,4579,115,N,1125,TOTAL,410,200,184,
LOS ANGELES,9006462A,4580,115,N,1005,POLLING PLACE,125,77,39,
LOS ANGELES,9006462A,4580,115,N,,VBM PORTION,56,35,15,
LOS ANGELES,9006462A,4580,115,N,1005,TOTAL,181,112,54,
LOS ANGELES,9006463B,4581,115,N,1101,POLLING PLACE,223,136,74,
LOS ANGELES,9006463B,4581,115,N,,VBM PORTION,97,54,36,
LOS ANGELES,9006463B,4581,115,N,1101,TOTAL,320,190,110,
LOS ANGELES,9006468C,4582,115,N,1027,POLLING PLACE,259,145,91,
LOS ANGELES,9006468C,4582,115,N,,VBM PORTION,87,43,40,
LOS ANGELES,9006468C,4582,115,N,1027,TOTAL,346,188,131,
LOS ANGELES,9006471A,4583,115,N,820,POLLING PLACE,140,72,61,
LOS ANGELES,9006471A,4583,115,N,,VBM PORTION,72,43,27,
LOS ANGELES,9006471A,4583,115,N,820,TOTAL,212,115,88,
LOS ANGELES,9006473A,4584,115,N,1253,POLLING PLACE,154,92,54,
LOS ANGELES,9006473A,4584,115,N,,VBM PORTION,141,79,55,
LOS ANGELES,9006473A,4584,115,N,1253,TOTAL,295,171,109,
LOS ANGELES,9006482A,4585,115,N,1079,POLLING PLACE,270,120,132,
LOS ANGELES,9006482A,4585,115,N,,VBM PORTION,95,50,42,
LOS ANGELES,9006482A,4585,115,N,1079,TOTAL,365,170,174,
LOS ANGELES,9006483A,4586,115,N,1091,POLLING PLACE,261,116,131,
LOS ANGELES,9006483A,4586,115,N,,VBM PORTION,98,42,49,
LOS ANGELES,9006483A,4586,115,N,1091,TOTAL,359,158,180,
LOS ANGELES,9006487B,4587,115,N,1108,POLLING PLACE,296,153,131,
LOS ANGELES,9006487B,4587,115,N,,VBM PORTION,117,54,56,
LOS ANGELES,9006487B,4587,115,N,1108,TOTAL,413,207,187,
LOS ANGELES,9006490A,4588,115,N,1272,POLLING PLACE,256,146,93,
LOS ANGELES,9006490A,4588,115,N,,VBM PORTION,101,54,42,
LOS ANGELES,9006490A,4588,115,N,1272,TOTAL,357,200,135,
LOS ANGELES,9006492A,4589,115,N,969,POLLING PLACE,250,112,124,
LOS ANGELES,9006492A,4589,115,N,,VBM PORTION,96,40,46,
LOS ANGELES,9006492A,4589,115,N,969,TOTAL,346,152,170,
LOS ANGELES,9006500A,4590,115,N,1285,POLLING PLACE,265,145,105,
LOS ANGELES,9006500A,4590,115,N,,VBM PORTION,201,103,78,
LOS ANGELES,9006500A,4590,115,N,1285,TOTAL,466,248,183,
LOS ANGELES,9006601A,4591,115,N,1303,POLLING PLACE,284,166,108,
LOS ANGELES,9006601A,4591,115,N,,VBM PORTION,155,79,67,
LOS ANGELES,9006601A,4591,115,N,1303,TOTAL,439,245,175,
LOS ANGELES,9006602A,4592,115,N,863,POLLING PLACE,238,97,118,
LOS ANGELES,9006602A,4592,115,N,,VBM PORTION,55,28,24,
LOS ANGELES,9006602A,4592,115,N,863,TOTAL,293,125,142,
LOS ANGELES,9006606C,4593,115,N,916,POLLING PLACE,217,109,97,
LOS ANGELES,9006606C,4593,115,N,,VBM PORTION,81,39,38,
LOS ANGELES,9006606C,4593,115,N,916,TOTAL,298,148,135,
LOS ANGELES,9006611A,4594,115,N,1141,POLLING PLACE,160,81,68,
LOS ANGELES,9006611A,4594,115,N,,VBM PORTION,113,69,38,
LOS ANGELES,9006611A,4594,115,N,1141,TOTAL,273,150,106,
LOS ANGELES,9006614A,4595,115,N,1215,POLLING PLACE,230,123,95,
LOS ANGELES,9006614A,4595,115,N,,VBM PORTION,108,60,38,
LOS ANGELES,9006614A,4595,115,N,1215,TOTAL,338,183,133,
LOS ANGELES,9006615A,4596,115,N,829,POLLING PLACE,150,79,57,
LOS ANGELES,9006615A,4596,115,N,,VBM PORTION,87,50,32,
LOS ANGELES,9006615A,4596,115,N,829,TOTAL,237,129,89,
LOS ANGELES,9006618B,4597,115,N,1217,POLLING PLACE,327,180,119,
LOS ANGELES,9006618B,4597,115,N,,VBM PORTION,114,61,50,
LOS ANGELES,9006618B,4597,115,N,1217,TOTAL,441,241,169,
LOS ANGELES,9006620A,4598,115,N,1111,POLLING PLACE,209,109,88,
LOS ANGELES,9006620A,4598,115,N,,VBM PORTION,101,49,47,
LOS ANGELES,9006620A,4598,115,N,1111,TOTAL,310,158,135,
LOS ANGELES,9006623C,4599,115,N,1199,POLLING PLACE,201,99,91,
LOS ANGELES,9006623C,4599,115,N,,VBM PORTION,98,51,45,
LOS ANGELES,9006623C,4599,115,N,1199,TOTAL,299,150,136,
LOS ANGELES,9006624A,4600,115,N,1179,POLLING PLACE,275,175,92,
LOS ANGELES,9006624A,4600,115,N,,VBM PORTION,96,52,41,
LOS ANGELES,9006624A,4600,115,N,1179,TOTAL,371,227,133,
LOS ANGELES,9006626A,4601,115,N,959,POLLING PLACE,153,73,75,
LOS ANGELES,9006626A,4601,115,N,,VBM PORTION,78,50,28,
LOS ANGELES,9006626A,4601,115,N,959,TOTAL,231,123,103,
LOS ANGELES,9006627B,4602,115,N,591,POLLING PLACE,95,54,36,
LOS ANGELES,9006627B,4602,115,N,,VBM PORTION,50,25,23,
LOS ANGELES,9006627B,4602,115,N,591,TOTAL,145,79,59,
LOS ANGELES,9006632C,4603,115,N,1136,POLLING PLACE,187,112,67,
LOS ANGELES,9006632C,4603,115,N,,VBM PORTION,130,56,66,
LOS ANGELES,9006632C,4603,115,N,1136,TOTAL,317,168,133,
LOS ANGELES,9006651A,4604,115,N,1327,POLLING PLACE,267,146,111,
LOS ANGELES,9006651A,4604,115,N,,VBM PORTION,140,50,80,
LOS ANGELES,9006651A,4604,115,N,1327,TOTAL,407,196,191,
LOS ANGELES,9006652A,4605,115,N,1148,POLLING PLACE,257,159,85,
LOS ANGELES,9006652A,4605,115,N,,VBM PORTION,158,83,63,
LOS ANGELES,9006652A,4605,115,N,1148,TOTAL,415,242,148,
LOS ANGELES,9006656A,4606,115,N,1261,POLLING PLACE,282,179,94,
LOS ANGELES,9006656A,4606,115,N,,VBM PORTION,161,92,56,
LOS ANGELES,9006656A,4606,115,N,1261,TOTAL,443,271,150,
LOS ANGELES,9006660B,4607,115,N,975,POLLING PLACE,219,109,89,
LOS ANGELES,9006660B,4607,115,N,,VBM PORTION,138,72,55,
LOS ANGELES,9006660B,4607,115,N,975,TOTAL,357,181,144,
LOS ANGELES,9006666A,4608,115,N,1147,POLLING PLACE,229,125,87,
LOS ANGELES,9006666A,4608,115,N,,VBM PORTION,127,62,53,
LOS ANGELES,9006666A,4608,115,N,1147,TOTAL,356,187,140,
LOS ANGELES,9006667A,4609,115,N,1070,POLLING PLACE,208,119,74,
LOS ANGELES,9006667A,4609,115,N,,VBM PORTION,182,95,70,
LOS ANGELES,9006667A,4609,115,N,1070,TOTAL,390,214,144,
LOS ANGELES,9007674A,4643,115,N,992,POLLING PLACE,196,105,70,
LOS ANGELES,9007674A,4643,115,N,,VBM PORTION,152,83,59,
LOS ANGELES,9007674A,4643,115,N,992,TOTAL,348,188,129,
LOS ANGELES,9007807A,4659,111,N,1182,POLLING PLACE,180,99,69,
LOS ANGELES,9007807A,4659,111,N,,VBM PORTION,63,39,17,
LOS ANGELES,9007807A,4659,111,N,1182,TOTAL,243,138,86,
LOS ANGELES,9007825B,4660,109,N,1257,POLLING PLACE,315,183,113,
LOS ANGELES,9007825B,4660,109,N,,VBM PORTION,174,66,99,
LOS ANGELES,9007825B,4660,109,N,1257,TOTAL,489,249,212,
LOS ANGELES,9007843A,4663,115,N,1220,POLLING PLACE,292,144,115,
LOS ANGELES,9007843A,4663,115,N,,VBM PORTION,90,40,47,
LOS ANGELES,9007843A,4663,115,N,1220,TOTAL,382,184,162,
LOS ANGELES,9007847A,4664,111,N,1276,POLLING PLACE,184,116,56,
LOS ANGELES,9007847A,4664,111,N,,VBM PORTION,97,54,38,
LOS ANGELES,9007847A,4664,111,N,1276,TOTAL,281,170,94,
LOS ANGELES,9007852A,4665,109,N,1178,POLLING PLACE,180,104,69,
LOS ANGELES,9007852A,4665,109,N,,VBM PORTION,92,37,48,
LOS ANGELES,9007852A,4665,109,N,1178,TOTAL,272,141,117,
LOS ANGELES,9007857B,4666,115,N,492,POLLING PLACE,96,53,39,
LOS ANGELES,9007857B,4666,115,N,,VBM PORTION,25,14,10,
LOS ANGELES,9007857B,4666,115,N,492,TOTAL,121,67,49,
LOS ANGELES,9007864A,4667,115,N,1415,POLLING PLACE,139,95,35,
LOS ANGELES,9007864A,4667,115,N,,VBM PORTION,73,44,24,
LOS ANGELES,9007864A,4667,115,N,1415,TOTAL,212,139,59,
LOS ANGELES,9007883A,4668,115,N,1014,POLLING PLACE,170,86,73,
LOS ANGELES,9007883A,4668,115,N,,VBM PORTION,80,43,30,
LOS ANGELES,9007883A,4668,115,N,1014,TOTAL,250,129,103,
LOS ANGELES,9007886A,4669,115,N,1425,POLLING PLACE,276,155,100,
LOS ANGELES,9007886A,4669,115,N,,VBM PORTION,81,48,31,
LOS ANGELES,9007886A,4669,115,N,1425,TOTAL,357,203,131,
LOS ANGELES,9007888A,4670,115,N,1193,POLLING PLACE,133,69,53,
LOS ANGELES,9007888A,4670,115,N,,VBM PORTION,54,26,26,
LOS ANGELES,9007888A,4670,115,N,1193,TOTAL,187,95,79,
LOS ANGELES,9007902A,4671,115,N,1162,POLLING PLACE,209,106,91,
LOS ANGELES,9007902A,4671,115,N,,VBM PORTION,84,43,36,
LOS ANGELES,9007902A,4671,115,N,1162,TOTAL,293,149,127,
LOS ANGELES,9007913A,4672,115,N,1244,POLLING PLACE,219,106,103,
LOS ANGELES,9007913A,4672,115,N,,VBM PORTION,137,70,58,
LOS ANGELES,9007913A,4672,115,N,1244,TOTAL,356,176,161,
LOS ANGELES,9007927A,4673,115,N,821,POLLING PLACE,199,107,84,
LOS ANGELES,9007927A,4673,115,N,,VBM PORTION,93,51,37,
LOS ANGELES,9007927A,4673,115,N,821,TOTAL,292,158,121,
LOS ANGELES,9007928A,4674,115,N,500,POLLING PLACE,117,49,63,
LOS ANGELES,9007928A,4674,115,N,,VBM PORTION,50,22,26,
LOS ANGELES,9007928A,4674,115,N,500,TOTAL,167,71,89,
LOS ANGELES,9007935A,4675,115,N,1136,POLLING PLACE,254,135,110,
LOS ANGELES,9007935A,4675,115,N,,VBM PORTION,153,85,59,
LOS ANGELES,9007935A,4675,115,N,1136,TOTAL,407,220,169,
LOS ANGELES,9007935B,4676,115,N,806,POLLING PLACE,165,74,82,
LOS ANGELES,9007935B,4676,115,N,,VBM PORTION,97,43,46,
LOS ANGELES,9007935B,4676,115,N,806,TOTAL,262,117,128,
LOS ANGELES,9007939A,4677,115,N,964,POLLING PLACE,191,101,80,
LOS ANGELES,9007939A,4677,115,N,,VBM PORTION,135,75,53,
LOS ANGELES,9007939A,4677,115,N,964,TOTAL,326,176,133,
LOS ANGELES,9007947B,4678,115,N,979,POLLING PLACE,147,87,51,
LOS ANGELES,9007947B,4678,115,N,,VBM PORTION,52,28,22,
LOS ANGELES,9007947B,4678,115,N,979,TOTAL,199,115,73,
LOS ANGELES,9007954B,4679,115,N,777,POLLING PLACE,136,78,54,
LOS ANGELES,9007954B,4679,115,N,,VBM PORTION,83,43,34,
LOS ANGELES,9007954B,4679,115,N,777,TOTAL,219,121,88,
LOS ANGELES,9007971A,4680,115,N,1249,POLLING PLACE,277,144,116,
LOS ANGELES,9007971A,4680,115,N,,VBM PORTION,188,103,66,
LOS ANGELES,9007971A,4680,115,N,1249,TOTAL,465,247,182,
LOS ANGELES,9007975B,4681,115,N,923,POLLING PLACE,159,67,73,
LOS ANGELES,9007975B,4681,115,N,,VBM PORTION,122,52,67,
LOS ANGELES,9007975B,4681,115,N,923,TOTAL,281,119,140,
LOS ANGELES,9007985A,4682,115,N,1000,POLLING PLACE,228,132,76,
LOS ANGELES,9007985A,4682,115,N,,VBM PORTION,117,59,47,
LOS ANGELES,9007985A,4682,115,N,1000,TOTAL,345,191,123,
BALLOT GROUP 109,9990109A,8109,109,N,,POLLING PLACE,,,,
BALLOT GROUP 109,9990109A,8109,109,N,,VBM PORTION,,,,
BALLOT GROUP 109,9990109A,8109,109,N,,TOTAL,,,,
BALLOT GROUP 110,9990110A,8110,110,N,,POLLING PLACE,,,,
BALLOT GROUP 110,9990110A,8110,110,N,,VBM PORTION,,,,
BALLOT GROUP 110,9990110A,8110,110,N,,TOTAL,,,,
BALLOT GROUP 111,9990111A,8111,111,N,,POLLING PLACE,,,,
BALLOT GROUP 111,9990111A,8111,111,N,,VBM PORTION,,,,
BALLOT GROUP 111,9990111A,8111,111,N,,TOTAL,,,,
BALLOT GROUP 112,9990112A,8112,112,N,,POLLING PLACE,,,,
BALLOT GROUP 112,9990112A,8112,112,N,,VBM PORTION,,,,
BALLOT GROUP 112,9990112A,8112,112,N,,TOTAL,,,,
BALLOT GROUP 113,9990113A,8113,113,N,,POLLING PLACE,,,,
BALLOT GROUP 113,9990113A,8113,113,N,,VBM PORTION,,,,
BALLOT GROUP 113,9990113A,8113,113,N,,TOTAL,,,,
BALLOT GROUP 114,9990114A,8114,114,N,,POLLING PLACE,,,,
BALLOT GROUP 114,9990114A,8114,114,N,,VBM PORTION,,,,
BALLOT GROUP 114,9990114A,8114,114,N,,TOTAL,,,,
BALLOT GROUP 115,9990115A,8115,115,N,,POLLING PLACE,,,,
BALLOT GROUP 115,9990115A,8115,115,N,,VBM PORTION,,,,
BALLOT GROUP 115,9990115A,8115,115,N,,TOTAL,,,,
BALLOT GROUP 116,9990116A,8116,116,N,,POLLING PLACE,,,,
BALLOT GROUP 116,9990116A,8116,116,N,,VBM PORTION,,,,
BALLOT GROUP 116,9990116A,8116,116,N,,TOTAL,,,,
BALLOT GROUP 117,9990117A,8117,117,N,,POLLING PLACE,,,,
BALLOT GROUP 117,9990117A,8117,117,N,,VBM PORTION,,,,
BALLOT GROUP 117,9990117A,8117,117,N,,TOTAL,,,,
BALLOT GROUP 118,9990118A,8118,118,N,,POLLING PLACE,,,,
BALLOT GROUP 118,9990118A,8118,118,N,,VBM PORTION,,,,
BALLOT GROUP 118,9990118A,8118,118,N,,TOTAL,,,,
BALLOT GROUP 119,9990119A,8119,119,N,,POLLING PLACE,,,,
BALLOT GROUP 119,9990119A,8119,119,N,,VBM PORTION,,,,
BALLOT GROUP 119,9990119A,8119,119,N,,TOTAL,,,,
BALLOT GROUP 120,9990120A,8120,120,N,,POLLING PLACE,,,,
BALLOT GROUP 120,9990120A,8120,120,N,,VBM PORTION,,,,
BALLOT GROUP 120,9990120A,8120,120,N,,TOTAL,,,,
