LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BOBBY SHRIVER,SHEILA KUEHL,
SANTA MONICA,6250032A,2471,181,N,,VBM PORTION,117,52,45,
SANTA MONICA,6250032A,2471,181,N,1123,TOTAL,361,144,157,
SANTA MONICA,6250034A,2472,181,N,1165,POLLING PLACE,341,117,173,
SANTA MONICA,6250034A,2472,181,N,,VBM PORTION,80,32,37,
SANTA MONICA,6250034A,2472,181,N,1165,TOTAL,421,149,210,
SANTA MONICA,6250036B,2473,181,N,1149,POLLING PLACE,306,125,134,
SANTA MONICA,6250036B,2473,181,N,,VBM PORTION,96,40,42,
SANTA MONICA,6250036B,2473,181,N,1149,TOTAL,402,165,176,
SANTA MONICA,6250041A,2474,181,N,1275,POLLING PLACE,274,91,133,
SANTA MONICA,6250041A,2474,181,N,,VBM PORTION,103,37,45,
SANTA MONICA,6250041A,2474,181,N,1275,TOTAL,377,128,178,
SANTA MONICA,6250045A,2475,181,N,1204,POLLING PLACE,263,98,130,
SANTA MONICA,6250045A,2475,181,N,,VBM PORTION,84,37,38,
SANTA MONICA,6250045A,2475,181,N,1204,TOTAL,347,135,168,
SANTA MONICA,6250046A,2476,181,N,1263,POLLING PLACE,317,116,157,
SANTA MONICA,6250046A,2476,181,N,,VBM PORTION,89,45,27,
SANTA MONICA,6250046A,2476,181,N,1263,TOTAL,406,161,184,
SANTA MONICA,6250050A,2477,181,N,1012,POLLING PLACE,254,86,132,
SANTA MONICA,6250050A,2477,181,N,,VBM PORTION,71,32,27,
SANTA MONICA,6250050A,2477,181,N,1012,TOTAL,325,118,159,
SANTA MONICA,6250051A,2478,181,N,1237,POLLING PLACE,297,126,119,
SANTA MONICA,6250051A,2478,181,N,,VBM PORTION,87,36,32,
SANTA MONICA,6250051A,2478,181,N,1237,TOTAL,384,162,151,
SANTA MONICA,6250052B,2479,181,N,901,POLLING PLACE,164,76,66,
SANTA MONICA,6250052B,2479,181,N,,VBM PORTION,50,20,19,
SANTA MONICA,6250052B,2479,181,N,901,TOTAL,214,96,85,
SANTA MONICA,6250053A,2480,181,N,1252,POLLING PLACE,236,93,102,
SANTA MONICA,6250053A,2480,181,N,,VBM PORTION,111,43,47,
SANTA MONICA,6250053A,2480,181,N,1252,TOTAL,347,136,149,
SANTA MONICA,6250056A,2481,181,N,954,POLLING PLACE,97,46,39,
SANTA MONICA,6250056A,2481,181,N,,VBM PORTION,54,24,14,
SANTA MONICA,6250056A,2481,181,N,954,TOTAL,151,70,53,
SANTA MONICA,6250060A,2482,181,N,873,POLLING PLACE,144,57,74,
SANTA MONICA,6250060A,2482,181,N,,VBM PORTION,56,32,19,
SANTA MONICA,6250060A,2482,181,N,873,TOTAL,200,89,93,
SANTA MONICA,6250061A,2483,181,N,991,POLLING PLACE,228,89,112,
SANTA MONICA,6250061A,2483,181,N,,VBM PORTION,43,14,26,
SANTA MONICA,6250061A,2483,181,N,991,TOTAL,271,103,138,
SANTA MONICA,6250062A,2484,181,N,887,POLLING PLACE,209,79,112,
SANTA MONICA,6250062A,2484,181,N,,VBM PORTION,37,18,12,
SANTA MONICA,6250062A,2484,181,N,887,TOTAL,246,97,124,
SANTA MONICA,6250067A,2485,181,N,944,POLLING PLACE,296,85,171,
SANTA MONICA,6250067A,2485,181,N,,VBM PORTION,45,20,21,
SANTA MONICA,6250067A,2485,181,N,944,TOTAL,341,105,192,
SANTA MONICA,6250068D,2486,181,N,582,POLLING PLACE,139,60,63,
SANTA MONICA,6250068D,2486,181,N,,VBM PORTION,53,27,19,
SANTA MONICA,6250068D,2486,181,N,582,TOTAL,192,87,82,
SANTA MONICA,6250069A,2487,181,N,1149,POLLING PLACE,363,127,182,
SANTA MONICA,6250069A,2487,181,N,,VBM PORTION,96,42,39,
