LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DAYAN MATHAI,B OTIS FELDER,JACQUELINE H LEWIS
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,965,390,2040
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,302,45,195
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,286,56,200
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,588,101,395
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,1928,468,1084
CITY OF WHITTIER,N,0,VBM PORTION,3748,1595,367,892
CITY OF WHITTIER,N,46005,TOTAL,8056,3523,835,1976
UNINCORPORATED,N,520339,POLLING PLACE,43458,17207,4348,13333
UNINCORPORATED,N,0,VBM PORTION,39390,14956,3981,11497
UNINCORPORATED,N,520339,TOTAL,82731,32163,8329,24830
