LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SERENA R MURILLO
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,2877
CITY OF NORWALK,N,47546,POLLING PLACE,2626,1837
CITY OF NORWALK,N,0,VBM PORTION,2657,1814
CITY OF NORWALK,N,47546,TOTAL,5277,3651
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,3604
CITY OF PALMDALE,N,0,VBM PORTION,5361,3801
CITY OF PALMDALE,N,69762,TOTAL,10378,7405
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,720
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,893
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,1613
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,674
CITY OF PARAMOUNT,N,0,VBM PORTION,648,419
CITY OF PARAMOUNT,N,19999,TOTAL,1576,1093
CITY OF PASADENA,N,78446,POLLING PLACE,7034,4160
CITY OF PASADENA,N,0,VBM PORTION,8408,4597
CITY OF PASADENA,N,78446,TOTAL,15431,8757
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,1522
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,1240
CITY OF PICO RIVERA,N,32447,TOTAL,3746,2762
CITY OF POMONA,N,57598,POLLING PLACE,3541,2499
CITY OF POMONA,N,0,VBM PORTION,3368,2346
CITY OF POMONA,N,57598,TOTAL,6909,4845
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,2164
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,2485
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,4649
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,2657
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,2953
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,5610
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,131
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,103
CITY OF ROLLING HILLS,N,1510,TOTAL,537,234
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,424
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,478
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,902
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,743
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,816
CITY OF ROSEMEAD,N,20579,TOTAL,2488,1559
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,1329
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,1182
CITY OF SAN DIMAS,N,21257,TOTAL,3989,2511
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,433
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,343
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,776
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,791
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,787
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,1578
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,428
CITY OF SAN MARINO,N,0,VBM PORTION,1161,585
CITY OF SAN MARINO,N,8559,TOTAL,1956,1013
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,6379
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,7990
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,14369
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,474
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,394
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,868
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,4869
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,3563
CITY OF SANTA MONICA,N,62632,TOTAL,16552,8432
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,661
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,584
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,1245
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,515
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,438
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,953
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,281
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,269
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,550
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,1364
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,870
CITY OF SOUTH GATE,N,35773,TOTAL,3018,2234
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,1173
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,997
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,2170
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,929
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,889
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1818
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,7091
CITY OF TORRANCE,N,0,VBM PORTION,11369,6547
CITY OF TORRANCE,N,83037,TOTAL,23394,13638
CITY OF VERNON,N,60,POLLING PLACE,0,0
CITY OF VERNON,N,0,VBM PORTION,18,8
CITY OF VERNON,N,60,TOTAL,16,8
CITY OF WALNUT,N,18002,POLLING PLACE,1247,755
CITY OF WALNUT,N,0,VBM PORTION,1658,1001
CITY OF WALNUT,N,18002,TOTAL,2905,1756
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,2441
CITY OF WEST COVINA,N,0,VBM PORTION,3945,2490
CITY OF WEST COVINA,N,53486,TOTAL,7643,4931
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,1367
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,1233
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,2600
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,411
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,395
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,806
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,2801
CITY OF WHITTIER,N,0,VBM PORTION,3748,2265
CITY OF WHITTIER,N,46005,TOTAL,8056,5066
UNINCORPORATED,N,520339,POLLING PLACE,43458,28244
UNINCORPORATED,N,0,VBM PORTION,39390,24761
UNINCORPORATED,N,520339,TOTAL,82731,53005
