LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLINGSWORTH ARMSTRONG,MARC A GIBBONS
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,2292,553
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,2850,510
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,5142,1063
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,2662,715
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,2926,709
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,5588,1424
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,149,45
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,141,43
CITY OF ROLLING HILLS,N,1510,TOTAL,537,290,88
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,524,91
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,551,98
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,1075,189
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,648,263
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,715,247
CITY OF ROSEMEAD,N,20579,TOTAL,2488,1363,510
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,1348,310
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,1176,308
CITY OF SAN DIMAS,N,21257,TOTAL,3989,2524,618
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,367,128
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,307,88
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,674,216
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,733,251
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,739,211
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,1472,462
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,438,154
CITY OF SAN MARINO,N,0,VBM PORTION,1161,596,206
CITY OF SAN MARINO,N,8559,TOTAL,1956,1034,360
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,5960,1595
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,7695,1945
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,13655,3540
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,415,143
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,324,145
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,739,288
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,4545,1702
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,3588,1029
CITY OF SANTA MONICA,N,62632,TOTAL,16552,8133,2731
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,697,187
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,698,125
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,1395,312
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,442,189
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,390,138
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,832,327
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,244,94
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,221,61
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,465,155
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,1114,449
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,745,241
CITY OF SOUTH GATE,N,35773,TOTAL,3018,1859,690
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,1170,320
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,1010,284
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,2180,604
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,907,251
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,844,269
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1751,520
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,7006,1865
CITY OF TORRANCE,N,0,VBM PORTION,11369,6473,1502
CITY OF TORRANCE,N,83037,TOTAL,23394,13479,3367
CITY OF VERNON,N,60,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,5,3
CITY OF VERNON,N,60,TOTAL,16,5,3
CITY OF WALNUT,N,18002,POLLING PLACE,1247,722,207
CITY OF WALNUT,N,0,VBM PORTION,1658,880,279
CITY OF WALNUT,N,18002,TOTAL,2905,1602,486
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,2327,670
CITY OF WEST COVINA,N,0,VBM PORTION,3945,2416,691
CITY OF WEST COVINA,N,53486,TOTAL,7643,4743,1361
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,1076,638
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,1078,479
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,2154,1117
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,402,124
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,406,133
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,808,257
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,2678,822
CITY OF WHITTIER,N,0,VBM PORTION,3748,2214,654
CITY OF WHITTIER,N,46005,TOTAL,8056,4892,1476
UNINCORPORATED,N,520339,POLLING PLACE,43458,25320,8962
UNINCORPORATED,N,0,VBM PORTION,39390,23341,6730
UNINCORPORATED,N,520339,TOTAL,82731,48661,15692
