LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICHARD BLOOM,BRADLY S TORGAN
SANTA MONICA,6250008A,2454,82,N,1214,TOTAL,360,224,89
SANTA MONICA,6250010E,2455,82,N,1176,POLLING PLACE,167,114,25
SANTA MONICA,6250010E,2455,82,N,0,VBM PORTION,113,60,33
SANTA MONICA,6250010E,2455,82,N,1176,TOTAL,280,174,58
SANTA MONICA,6250011A,2456,82,N,1183,POLLING PLACE,160,97,33
SANTA MONICA,6250011A,2456,82,N,0,VBM PORTION,157,99,37
SANTA MONICA,6250011A,2456,82,N,1183,TOTAL,317,196,70
SANTA MONICA,6250015B,2457,82,N,1320,POLLING PLACE,214,127,54
SANTA MONICA,6250015B,2457,82,N,0,VBM PORTION,227,132,64
SANTA MONICA,6250015B,2457,82,N,1320,TOTAL,441,259,118
SANTA MONICA,6250016A,2458,82,N,1376,POLLING PLACE,234,136,54
SANTA MONICA,6250016A,2458,82,N,0,VBM PORTION,174,100,50
SANTA MONICA,6250016A,2458,82,N,1376,TOTAL,408,236,104
SANTA MONICA,6250017A,2459,82,N,1334,POLLING PLACE,285,168,72
SANTA MONICA,6250017A,2459,82,N,0,VBM PORTION,211,120,67
SANTA MONICA,6250017A,2459,82,N,1334,TOTAL,496,288,139
SANTA MONICA,6250019A,2460,82,N,1461,POLLING PLACE,137,84,30
SANTA MONICA,6250019A,2460,82,N,0,VBM PORTION,140,86,27
SANTA MONICA,6250019A,2460,82,N,1461,TOTAL,277,170,57
SANTA MONICA,6250020A,2461,82,N,1129,POLLING PLACE,184,120,31
SANTA MONICA,6250020A,2461,82,N,0,VBM PORTION,118,74,23
SANTA MONICA,6250020A,2461,82,N,1129,TOTAL,302,194,54
SANTA MONICA,6250024A,2462,82,N,824,POLLING PLACE,86,57,9
SANTA MONICA,6250024A,2462,82,N,0,VBM PORTION,61,42,15
SANTA MONICA,6250024A,2462,82,N,824,TOTAL,147,99,24
SANTA MONICA,6250025B,2463,82,N,1155,POLLING PLACE,115,81,14
SANTA MONICA,6250025B,2463,82,N,0,VBM PORTION,81,62,9
SANTA MONICA,6250025B,2463,82,N,1155,TOTAL,196,143,23
SANTA MONICA,6250026A,2464,82,N,1251,POLLING PLACE,245,170,44
SANTA MONICA,6250026A,2464,82,N,0,VBM PORTION,172,115,30
SANTA MONICA,6250026A,2464,82,N,1251,TOTAL,417,285,74
SANTA MONICA,6250029A,2465,82,N,782,POLLING PLACE,130,68,38
SANTA MONICA,6250029A,2465,82,N,0,VBM PORTION,136,75,41
SANTA MONICA,6250029A,2465,82,N,782,TOTAL,266,143,79
SANTA MONICA,6250032A,2466,82,N,1204,POLLING PLACE,162,109,31
SANTA MONICA,6250032A,2466,82,N,0,VBM PORTION,167,95,39
SANTA MONICA,6250032A,2466,82,N,1204,TOTAL,329,204,70
SANTA MONICA,6250034A,2467,82,N,1217,POLLING PLACE,222,154,32
SANTA MONICA,6250034A,2467,82,N,0,VBM PORTION,138,84,32
SANTA MONICA,6250034A,2467,82,N,1217,TOTAL,360,238,64
SANTA MONICA,6250036B,2468,82,N,1250,POLLING PLACE,170,110,33
SANTA MONICA,6250036B,2468,82,N,0,VBM PORTION,119,72,27
SANTA MONICA,6250036B,2468,82,N,1250,TOTAL,289,182,60
SANTA MONICA,6250041A,2469,82,N,1383,POLLING PLACE,129,87,25
SANTA MONICA,6250041A,2469,82,N,0,VBM PORTION,159,100,35
SANTA MONICA,6250041A,2469,82,N,1383,TOTAL,288,187,60
SANTA MONICA,6250045A,2470,82,N,1306,POLLING PLACE,138,79,33
SANTA MONICA,6250045A,2470,82,N,0,VBM PORTION,131,83,28
SANTA MONICA,6250045A,2470,82,N,1306,TOTAL,269,162,61
SANTA MONICA,6250046A,2471,82,N,1361,POLLING PLACE,175,117,34
SANTA MONICA,6250046A,2471,82,N,0,VBM PORTION,136,99,17
SANTA MONICA,6250046A,2471,82,N,1361,TOTAL,311,216,51
SANTA MONICA,6250050A,2472,82,N,1082,POLLING PLACE,137,91,23
SANTA MONICA,6250050A,2472,82,N,0,VBM PORTION,94,68,18
SANTA MONICA,6250050A,2472,82,N,1082,TOTAL,231,159,41
SANTA MONICA,6250051A,2473,82,N,1327,POLLING PLACE,164,106,37
SANTA MONICA,6250051A,2473,82,N,0,VBM PORTION,134,85,40
SANTA MONICA,6250051A,2473,82,N,1327,TOTAL,298,191,77
SANTA MONICA,6250052B,2474,82,N,986,POLLING PLACE,85,54,11
SANTA MONICA,6250052B,2474,82,N,0,VBM PORTION,86,65,12
SANTA MONICA,6250052B,2474,82,N,986,TOTAL,171,119,23
SANTA MONICA,6250053A,2475,82,N,1354,POLLING PLACE,114,78,22
SANTA MONICA,6250053A,2475,82,N,0,VBM PORTION,144,95,29
SANTA MONICA,6250053A,2475,82,N,1354,TOTAL,258,173,51
SANTA MONICA,6250056A,2476,82,N,1083,POLLING PLACE,41,22,10
SANTA MONICA,6250056A,2476,82,N,0,VBM PORTION,84,53,15
SANTA MONICA,6250056A,2476,82,N,1083,TOTAL,125,75,25
SANTA MONICA,6250060A,2477,82,N,951,POLLING PLACE,76,57,9
SANTA MONICA,6250060A,2477,82,N,0,VBM PORTION,91,63,13
SANTA MONICA,6250060A,2477,82,N,951,TOTAL,167,120,22
SANTA MONICA,6250061A,2478,82,N,1032,POLLING PLACE,121,94,10
SANTA MONICA,6250061A,2478,82,N,0,VBM PORTION,57,42,7
SANTA MONICA,6250061A,2478,82,N,1032,TOTAL,178,136,17
SANTA MONICA,6250062A,2479,82,N,973,POLLING PLACE,106,75,13
SANTA MONICA,6250062A,2479,82,N,0,VBM PORTION,58,38,10
SANTA MONICA,6250062A,2479,82,N,973,TOTAL,164,113,23
SANTA MONICA,6250067A,2480,82,N,994,POLLING PLACE,183,131,26
SANTA MONICA,6250067A,2480,82,N,0,VBM PORTION,87,62,12
SANTA MONICA,6250067A,2480,82,N,994,TOTAL,270,193,38
SANTA MONICA,6250068D,2481,82,N,610,POLLING PLACE,74,37,16
SANTA MONICA,6250068D,2481,82,N,0,VBM PORTION,63,35,11
SANTA MONICA,6250068D,2481,82,N,610,TOTAL,137,72,27
SANTA MONICA,6250069A,2482,82,N,1244,POLLING PLACE,211,151,31
SANTA MONICA,6250069A,2482,82,N,0,VBM PORTION,132,87,25
SANTA MONICA,6250069A,2482,82,N,1244,TOTAL,343,238,56
SANTA MONICA,6250070A,2483,82,N,1147,POLLING PLACE,190,134,36
SANTA MONICA,6250070A,2483,82,N,0,VBM PORTION,146,99,36
SANTA MONICA,6250070A,2483,82,N,1147,TOTAL,336,233,72
SANTA MONICA,6250071A,2484,82,N,1037,POLLING PLACE,114,71,14
SANTA MONICA,6250071A,2484,82,N,0,VBM PORTION,66,51,11
SANTA MONICA,6250071A,2484,82,N,1037,TOTAL,180,122,25
SANTA MONICA,6250072A,2485,82,N,1375,POLLING PLACE,280,195,50
SANTA MONICA,6250072A,2485,82,N,0,VBM PORTION,185,120,48
SANTA MONICA,6250072A,2485,82,N,1375,TOTAL,465,315,98
SANTA MONICA,6250076B,2486,82,N,927,POLLING PLACE,175,114,29
SANTA MONICA,6250076B,2486,82,N,0,VBM PORTION,134,73,33
SANTA MONICA,6250076B,2486,82,N,927,TOTAL,309,187,62
SANTA MONICA,6250078A,2487,82,N,864,POLLING PLACE,139,88,32
SANTA MONICA,6250078A,2487,82,N,0,VBM PORTION,88,57,20
SANTA MONICA,6250078A,2487,82,N,864,TOTAL,227,145,52
SANTA MONICA,6250081A,2488,82,N,1182,POLLING PLACE,219,159,26
SANTA MONICA,6250081A,2488,82,N,0,VBM PORTION,107,70,28
SANTA MONICA,6250081A,2488,82,N,1182,TOTAL,326,229,54
SANTA MONICA,6250083A,2489,82,N,1244,POLLING PLACE,245,155,47
SANTA MONICA,6250083A,2489,82,N,0,VBM PORTION,134,87,29
SANTA MONICA,6250083A,2489,82,N,1244,TOTAL,379,242,76
SANTA MONICA,6250085A,2490,82,N,1323,POLLING PLACE,196,134,35
SANTA MONICA,6250085A,2490,82,N,0,VBM PORTION,138,87,35
SANTA MONICA,6250085A,2490,82,N,1323,TOTAL,334,221,70
SANTA MONICA,6250089A,2491,82,N,1254,POLLING PLACE,296,195,69
SANTA MONICA,6250089A,2491,82,N,0,VBM PORTION,180,122,43
SANTA MONICA,6250089A,2491,82,N,1254,TOTAL,476,317,112
SANTA MONICA,6250092A,2492,82,N,1297,POLLING PLACE,227,172,27
SANTA MONICA,6250092A,2492,82,N,0,VBM PORTION,132,93,26
SANTA MONICA,6250092A,2492,82,N,1297,TOTAL,359,265,53
SANTA MONICA,6250094B,2493,82,N,1009,POLLING PLACE,176,92,43
SANTA MONICA,6250094B,2493,82,N,0,VBM PORTION,112,77,21
SANTA MONICA,6250094B,2493,82,N,1009,TOTAL,288,169,64
SANTA MONICA,6250095A,2494,82,N,1393,POLLING PLACE,156,101,27
SANTA MONICA,6250095A,2494,82,N,0,VBM PORTION,171,102,39
SANTA MONICA,6250095A,2494,82,N,1393,TOTAL,327,203,66
SANTA MONICA,6250098A,2495,82,N,1280,POLLING PLACE,207,139,37
SANTA MONICA,6250098A,2495,82,N,0,VBM PORTION,117,72,22
SANTA MONICA,6250098A,2495,82,N,1280,TOTAL,324,211,59
SANTA MONICA,6250106A,2496,82,N,1028,POLLING PLACE,165,124,18
SANTA MONICA,6250106A,2496,82,N,0,VBM PORTION,128,92,17
SANTA MONICA,6250106A,2496,82,N,1028,TOTAL,293,216,35
SANTA MONICA,6250107A,2497,82,N,1244,POLLING PLACE,220,136,40
SANTA MONICA,6250107A,2497,82,N,0,VBM PORTION,207,123,44
SANTA MONICA,6250107A,2497,82,N,1244,TOTAL,427,259,84
SANTA MONICA,6250110D,2498,82,N,956,POLLING PLACE,145,92,25
SANTA MONICA,6250110D,2498,82,N,0,VBM PORTION,111,69,22
SANTA MONICA,6250110D,2498,82,N,956,TOTAL,256,161,47
SANTA MONICA,6250113A,2499,82,N,1464,POLLING PLACE,174,115,31
SANTA MONICA,6250113A,2499,82,N,0,VBM PORTION,151,102,33
SANTA MONICA,6250113A,2499,82,N,1464,TOTAL,325,217,64
SANTA MONICA,6250121A,2500,82,N,1299,POLLING PLACE,153,97,30
SANTA MONICA,6250121A,2500,82,N,0,VBM PORTION,116,74,23
SANTA MONICA,6250121A,2500,82,N,1299,TOTAL,269,171,53
SANTA MONICA,6250125A,2501,82,N,1194,POLLING PLACE,199,125,38
SANTA MONICA,6250125A,2501,82,N,0,VBM PORTION,203,122,60
SANTA MONICA,6250125A,2501,82,N,1194,TOTAL,402,247,98
SANTA MONICA,6250127A,2502,82,N,1140,POLLING PLACE,200,141,24
SANTA MONICA,6250127A,2502,82,N,0,VBM PORTION,104,72,20
SANTA MONICA,6250127A,2502,82,N,1140,TOTAL,304,213,44
SANTA MONICA,6250128A,2503,82,N,1004,POLLING PLACE,210,122,52
SANTA MONICA,6250128A,2503,82,N,0,VBM PORTION,179,104,44
SANTA MONICA,6250128A,2503,82,N,1004,TOTAL,389,226,96
TOPANGA,7100002A,2647,88,N,1027,POLLING PLACE,222,149,19
TOPANGA,7100002A,2647,88,N,0,VBM PORTION,100,63,19
TOPANGA,7100002A,2647,88,N,1027,TOTAL,322,212,38
TOPANGA,7100004B,2648,88,N,811,POLLING PLACE,153,115,16
TOPANGA,7100004B,2648,88,N,0,VBM PORTION,92,62,18
TOPANGA,7100004B,2648,88,N,811,TOTAL,245,177,34
TOPANGA,7100006A,2649,88,N,684,POLLING PLACE,162,117,17
TOPANGA,7100006A,2649,88,N,0,VBM PORTION,68,47,9
TOPANGA,7100006A,2649,88,N,684,TOTAL,230,164,26
TOPANGA,7100007A,2650,88,N,1229,POLLING PLACE,140,88,31
TOPANGA,7100007A,2650,88,N,0,VBM PORTION,170,94,58
TOPANGA,7100007A,2650,88,N,1229,TOTAL,310,182,89
TOPANGA,7100030A,2651,88,N,813,POLLING PLACE,214,148,22
TOPANGA,7100030A,2651,88,N,0,VBM PORTION,86,57,18
TOPANGA,7100030A,2651,88,N,813,TOTAL,300,205,40
TOPANGA,7100032A,6168,88,Y,268,POLLING PLACE,0,0,0
TOPANGA,7100032A,6168,88,Y,0,VBM PORTION,119,88,17
TOPANGA,7100032A,6168,88,Y,268,TOTAL,119,88,17
TOPANGA,7100033A,2652,88,N,1047,POLLING PLACE,176,92,55
TOPANGA,7100033A,2652,88,N,0,VBM PORTION,157,86,52
TOPANGA,7100033A,2652,88,N,1047,TOTAL,333,178,107
WEST HOLLYWOOD,7750001A,2877,81,N,1078,POLLING PLACE,86,69,10
WEST HOLLYWOOD,7750001A,2877,81,N,0,VBM PORTION,73,52,10
WEST HOLLYWOOD,7750001A,2877,81,N,1078,TOTAL,159,121,20
WEST HOLLYWOOD,7750002A,2878,81,N,1301,POLLING PLACE,92,75,12
WEST HOLLYWOOD,7750002A,2878,81,N,0,VBM PORTION,130,96,21
WEST HOLLYWOOD,7750002A,2878,81,N,1301,TOTAL,222,171,33
WEST HOLLYWOOD,7750003A,2879,81,N,1069,POLLING PLACE,105,72,16
WEST HOLLYWOOD,7750003A,2879,81,N,0,VBM PORTION,69,51,12
WEST HOLLYWOOD,7750003A,2879,81,N,1069,TOTAL,174,123,28
WEST HOLLYWOOD,7750004A,2880,81,N,1207,POLLING PLACE,125,98,14
WEST HOLLYWOOD,7750004A,2880,81,N,0,VBM PORTION,120,91,18
WEST HOLLYWOOD,7750004A,2880,81,N,1207,TOTAL,245,189,32
WEST HOLLYWOOD,7750005A,2881,81,N,1269,POLLING PLACE,131,100,19
WEST HOLLYWOOD,7750005A,2881,81,N,0,VBM PORTION,129,91,20
WEST HOLLYWOOD,7750005A,2881,81,N,1269,TOTAL,260,191,39
WEST HOLLYWOOD,7750006A,2882,81,N,806,POLLING PLACE,90,64,15
WEST HOLLYWOOD,7750006A,2882,81,N,0,VBM PORTION,69,50,12
WEST HOLLYWOOD,7750006A,2882,81,N,806,TOTAL,159,114,27
WEST HOLLYWOOD,7750007A,2883,81,N,1391,POLLING PLACE,141,102,18
