LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BETTY T YEE,LAURA WELLS,TAMMY D BLAIR,JOHN A PEREZ,DAVID EVANS,ASHLEY SWEARENGIN
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,20,2,3,27,8,24
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,9,4,5,11,14,27
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,29,6,8,38,22,51
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,16,1,0,37,7,14
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,14,1,2,27,5,9
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,30,2,2,64,12,23
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,15,1,2,26,6,11
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,46,5,0,19,10,27
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,61,6,2,45,16,38
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,22,4,3,36,5,11
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,16,3,0,20,7,12
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,38,7,3,56,12,23
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,12,0,3,38,2,10
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,14,3,1,20,10,14
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,26,3,4,58,12,24
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,9,3,1,11,4,1
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,11,0,0,8,3,9
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,20,3,1,19,7,10
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,15,0,3,22,3,3
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,27,6,1,13,4,8
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,42,6,4,35,7,11
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,24,3,4,29,8,7
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,35,3,2,18,9,6
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,59,6,6,47,17,13
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,13,5,2,24,12,20
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,39,4,1,11,5,9
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,52,9,3,35,17,29
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,6,0,2,21,6,8
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,11,0,0,6,7,7
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,17,0,2,27,13,15
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,22,3,2,42,2,14
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,12,2,4,20,4,22
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,34,5,6,62,6,36
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,8,8,1,13,4,6
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,27,3,1,14,12,9
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,35,11,2,27,16,15
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,24,1,1,40,10,18
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,26,3,2,20,8,21
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,50,4,3,60,18,39
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,11,2,3,14,5,6
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,28,1,1,16,3,12
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,39,3,4,30,8,18
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,16,1,1,14,5,6
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,15,3,4,6,5,11
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,31,4,5,20,10,17
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,7,0,1,12,2,15
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,26,0,0,18,0,10
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,33,0,1,30,2,25
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,8,1,0,21,3,16
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,27,3,1,17,15,10
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,35,4,1,38,18,26
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,25,1,0,26,8,16
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,20,3,5,16,9,8
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,45,4,5,42,17,24
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,22,4,3,34,4,15
