LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,HELEN KIM,ALISON M ESTRADA
ARCADIA,0350001A,92,76,N,998,POLLING PLACE,124,33,57
ARCADIA,0350001A,92,76,N,0,VBM PORTION,145,35,71
ARCADIA,0350001A,92,76,N,998,TOTAL,269,68,128
ARCADIA,0350005A,93,76,N,1240,POLLING PLACE,96,26,52
ARCADIA,0350005A,93,76,N,0,VBM PORTION,165,49,68
ARCADIA,0350005A,93,76,N,1240,TOTAL,261,75,120
ARCADIA,0350007A,94,76,N,1143,POLLING PLACE,88,15,43
ARCADIA,0350007A,94,76,N,0,VBM PORTION,156,44,75
ARCADIA,0350007A,94,76,N,1143,TOTAL,244,59,118
ARCADIA,0350008A,95,76,N,1256,POLLING PLACE,170,51,90
ARCADIA,0350008A,95,76,N,0,VBM PORTION,159,38,67
ARCADIA,0350008A,95,76,N,1256,TOTAL,329,89,157
ARCADIA,0350009A,96,76,N,1456,POLLING PLACE,98,25,49
ARCADIA,0350009A,96,76,N,0,VBM PORTION,173,44,69
ARCADIA,0350009A,96,76,N,1456,TOTAL,271,69,118
ARCADIA,0350013A,97,76,N,1231,POLLING PLACE,125,52,51
ARCADIA,0350013A,97,76,N,0,VBM PORTION,135,37,52
ARCADIA,0350013A,97,76,N,1231,TOTAL,260,89,103
ARCADIA,0350018A,98,76,N,1403,POLLING PLACE,134,47,55
ARCADIA,0350018A,98,76,N,0,VBM PORTION,242,47,106
ARCADIA,0350018A,98,76,N,1403,TOTAL,376,94,161
ARCADIA,0350023A,99,76,N,1456,POLLING PLACE,82,30,38
ARCADIA,0350023A,99,76,N,0,VBM PORTION,139,34,79
ARCADIA,0350023A,99,76,N,1456,TOTAL,221,64,117
ARCADIA,0350024A,100,76,N,1485,POLLING PLACE,80,22,36
ARCADIA,0350024A,100,76,N,0,VBM PORTION,134,41,64
ARCADIA,0350024A,100,76,N,1485,TOTAL,214,63,100
ARCADIA,0350029B,101,76,N,1373,POLLING PLACE,120,49,47
ARCADIA,0350029B,101,76,N,0,VBM PORTION,140,52,55
ARCADIA,0350029B,101,76,N,1373,TOTAL,260,101,102
ARCADIA,0350030A,102,76,N,1307,POLLING PLACE,74,22,33
ARCADIA,0350030A,102,76,N,0,VBM PORTION,116,32,55
ARCADIA,0350030A,102,76,N,1307,TOTAL,190,54,88
ARCADIA,0350035A,103,76,N,1078,POLLING PLACE,93,26,42
ARCADIA,0350035A,103,76,N,0,VBM PORTION,115,39,42
ARCADIA,0350035A,103,76,N,1078,TOTAL,208,65,84
ARCADIA,0350037A,104,76,N,1210,POLLING PLACE,91,29,46
ARCADIA,0350037A,104,76,N,0,VBM PORTION,110,35,49
ARCADIA,0350037A,104,76,N,1210,TOTAL,201,64,95
ARCADIA,0350038A,105,76,N,1246,POLLING PLACE,111,35,49
ARCADIA,0350038A,105,76,N,0,VBM PORTION,120,32,54
ARCADIA,0350038A,105,76,N,1246,TOTAL,231,67,103
ARCADIA,0350042A,106,76,N,1251,POLLING PLACE,70,16,38
ARCADIA,0350042A,106,76,N,0,VBM PORTION,67,32,25
ARCADIA,0350042A,106,76,N,1251,TOTAL,137,48,63
ARCADIA,0350043C,107,76,N,1204,POLLING PLACE,68,19,37
ARCADIA,0350043C,107,76,N,0,VBM PORTION,67,17,37
ARCADIA,0350043C,107,76,N,1204,TOTAL,135,36,74
ARCADIA,0350045B,108,76,N,1355,POLLING PLACE,88,32,32
ARCADIA,0350045B,108,76,N,0,VBM PORTION,146,46,62
ARCADIA,0350045B,108,76,N,1355,TOTAL,234,78,94
ARCADIA,0350048A,109,76,N,1098,POLLING PLACE,112,35,46
ARCADIA,0350048A,109,76,N,0,VBM PORTION,92,32,33
ARCADIA,0350048A,109,76,N,1098,TOTAL,204,67,79
ARCADIA,0350054A,110,76,N,1254,POLLING PLACE,135,39,73
ARCADIA,0350054A,110,76,N,0,VBM PORTION,152,49,57
ARCADIA,0350054A,110,76,N,1254,TOTAL,287,88,130
ARCADIA,0350058A,111,76,N,1346,POLLING PLACE,119,36,51
ARCADIA,0350058A,111,76,N,0,VBM PORTION,114,24,49
ARCADIA,0350058A,111,76,N,1346,TOTAL,233,60,100
ARCADIA,0350062B,112,76,N,1218,POLLING PLACE,81,31,36
ARCADIA,0350062B,112,76,N,0,VBM PORTION,115,32,51
ARCADIA,0350062B,112,76,N,1218,TOTAL,196,63,87
ARCADIA,0350079A,113,76,N,1247,POLLING PLACE,107,37,49
ARCADIA,0350079A,113,76,N,0,VBM PORTION,123,33,65
ARCADIA,0350079A,113,76,N,1247,TOTAL,230,70,114
ARCADIA,0350104A,114,76,N,1310,POLLING PLACE,114,34,54
ARCADIA,0350104A,114,76,N,0,VBM PORTION,127,44,57
ARCADIA,0350104A,114,76,N,1310,TOTAL,241,78,111
ARTESIA,0400001A,115,137,N,819,POLLING PLACE,86,18,48
ARTESIA,0400001A,115,137,N,0,VBM PORTION,27,12,11
ARTESIA,0400001A,115,137,N,819,TOTAL,113,30,59
ARTESIA,0400002A,116,137,N,1182,POLLING PLACE,78,33,32
ARTESIA,0400002A,116,137,N,0,VBM PORTION,137,46,62
