LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHN WOOD JR,MAXINE WATERS
INGLEWOOD,2950047B,1143,162,N,1034,TOTAL,80,21,50
INGLEWOOD,2950048A,1144,162,N,1014,POLLING PLACE,52,7,37
INGLEWOOD,2950048A,1144,162,N,0,VBM PORTION,32,9,19
INGLEWOOD,2950048A,1144,162,N,1014,TOTAL,84,16,56
INGLEWOOD,2950050A,1145,162,N,1059,POLLING PLACE,54,8,33
INGLEWOOD,2950050A,1145,162,N,0,VBM PORTION,45,12,31
INGLEWOOD,2950050A,1145,162,N,1059,TOTAL,99,20,64
INGLEWOOD,2950052A,1146,162,N,1082,POLLING PLACE,76,5,51
INGLEWOOD,2950052A,1146,162,N,0,VBM PORTION,33,7,24
INGLEWOOD,2950052A,1146,162,N,1082,TOTAL,109,12,75
INGLEWOOD,2950057A,1147,162,N,1021,POLLING PLACE,100,7,73
INGLEWOOD,2950057A,1147,162,N,0,VBM PORTION,44,3,40
INGLEWOOD,2950057A,1147,162,N,1021,TOTAL,144,10,113
INGLEWOOD,2950063A,1148,162,N,984,POLLING PLACE,118,9,86
INGLEWOOD,2950063A,1148,162,N,0,VBM PORTION,89,13,68
INGLEWOOD,2950063A,1148,162,N,984,TOTAL,207,22,154
INGLEWOOD,2950067A,1149,162,N,1130,POLLING PLACE,102,7,82
INGLEWOOD,2950067A,1149,162,N,0,VBM PORTION,78,5,69
INGLEWOOD,2950067A,1149,162,N,1130,TOTAL,180,12,151
INGLEWOOD,2950072A,1150,162,N,966,POLLING PLACE,61,3,51
INGLEWOOD,2950072A,1150,162,N,0,VBM PORTION,48,2,41
INGLEWOOD,2950072A,1150,162,N,966,TOTAL,109,5,92
INGLEWOOD,2950073A,1151,160,N,888,POLLING PLACE,65,6,51
INGLEWOOD,2950073A,1151,160,N,0,VBM PORTION,68,6,58
INGLEWOOD,2950073A,1151,160,N,888,TOTAL,133,12,109
INGLEWOOD,2950075A,1152,162,N,1310,POLLING PLACE,85,4,70
INGLEWOOD,2950075A,1152,162,N,0,VBM PORTION,54,1,45
INGLEWOOD,2950075A,1152,162,N,1310,TOTAL,139,5,115
INGLEWOOD,2950076A,1153,162,N,1104,POLLING PLACE,77,1,62
INGLEWOOD,2950076A,1153,162,N,0,VBM PORTION,58,6,47
INGLEWOOD,2950076A,1153,162,N,1104,TOTAL,135,7,109
INGLEWOOD,2950080A,1154,160,N,957,POLLING PLACE,87,8,68
INGLEWOOD,2950080A,1154,160,N,0,VBM PORTION,43,8,29
INGLEWOOD,2950080A,1154,160,N,957,TOTAL,130,16,97
INGLEWOOD,2950084A,1155,160,N,808,POLLING PLACE,46,8,34
INGLEWOOD,2950084A,1155,160,N,0,VBM PORTION,44,19,23
INGLEWOOD,2950084A,1155,160,N,808,TOTAL,90,27,57
INGLEWOOD,2950087A,1156,160,N,968,POLLING PLACE,77,11,57
