LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JORGE S FUENTES,SCOTT WILK
SANTA CLARITA,6220186A,2437,10,N,697,TOTAL,166,44,110
SANTA CLARITA,6220190A,2438,10,N,646,POLLING PLACE,20,6,12
SANTA CLARITA,6220190A,2438,10,N,0,VBM PORTION,42,10,22
SANTA CLARITA,6220190A,2438,10,N,646,TOTAL,62,16,34
SANTA CLARITA,6220193A,2439,10,N,575,POLLING PLACE,54,28,17
SANTA CLARITA,6220193A,2439,10,N,0,VBM PORTION,73,23,43
SANTA CLARITA,6220193A,2439,10,N,575,TOTAL,127,51,60
SANTA CLARITA,6220194A,2440,10,N,751,POLLING PLACE,62,23,33
SANTA CLARITA,6220194A,2440,10,N,0,VBM PORTION,39,19,18
SANTA CLARITA,6220194A,2440,10,N,751,TOTAL,101,42,51
SAUGUS,6300023A,2507,10,N,1346,POLLING PLACE,92,32,52
SAUGUS,6300023A,2507,10,N,0,VBM PORTION,95,21,68
SAUGUS,6300023A,2507,10,N,1346,TOTAL,187,53,120
SAUGUS,6300031A,6158,10,Y,0,POLLING PLACE,0,0,0
SAUGUS,6300031A,6158,10,Y,0,VBM PORTION,0,0,0
SAUGUS,6300031A,6158,10,Y,0,TOTAL,0,0,0
SAUGUS,6300037A,6159,10,Y,32,POLLING PLACE,0,0,0
SAUGUS,6300037A,6159,10,Y,0,VBM PORTION,5,1,4
SAUGUS,6300037A,6159,10,Y,32,TOTAL,5,1,4
SAUGUS,6300040A,2508,10,N,733,POLLING PLACE,34,10,19
SAUGUS,6300040A,2508,10,N,0,VBM PORTION,67,24,36
SAUGUS,6300040A,2508,10,N,733,TOTAL,101,34,55
SAUGUS,6300247A,2509,10,N,712,POLLING PLACE,42,11,26
SAUGUS,6300247A,2509,10,N,0,VBM PORTION,62,21,32
SAUGUS,6300247A,2509,10,N,712,TOTAL,104,32,58
STEVENSON RANCH,6820001A,2621,10,N,1039,POLLING PLACE,85,22,56
STEVENSON RANCH,6820001A,2621,10,N,0,VBM PORTION,75,26,41
STEVENSON RANCH,6820001A,2621,10,N,1039,TOTAL,160,48,97
STEVENSON RANCH,6820003A,2622,10,N,1355,POLLING PLACE,137,54,76
STEVENSON RANCH,6820003A,2622,10,N,0,VBM PORTION,104,42,50
STEVENSON RANCH,6820003A,2622,10,N,1355,TOTAL,241,96,126
STEVENSON RANCH,6820004A,2623,10,N,1019,POLLING PLACE,81,26,49
STEVENSON RANCH,6820004A,2623,10,N,0,VBM PORTION,98,27,62
STEVENSON RANCH,6820004A,2623,10,N,1019,TOTAL,179,53,111
STEVENSON RANCH,6820005A,2624,10,N,1053,POLLING PLACE,95,23,62
STEVENSON RANCH,6820005A,2624,10,N,0,VBM PORTION,130,26,93
STEVENSON RANCH,6820005A,2624,10,N,1053,TOTAL,225,49,155
STEVENSON RANCH,6820006A,2625,10,N,916,POLLING PLACE,83,30,47
STEVENSON RANCH,6820006A,2625,10,N,0,VBM PORTION,83,20,58
STEVENSON RANCH,6820006A,2625,10,N,916,TOTAL,166,50,105
STEVENSON RANCH,6820007A,2626,10,N,928,POLLING PLACE,66,12,49
STEVENSON RANCH,6820007A,2626,10,N,0,VBM PORTION,99,14,72
STEVENSON RANCH,6820007A,2626,10,N,928,TOTAL,165,26,121
STEVENSON RANCH,6820008A,2627,10,N,1007,POLLING PLACE,74,23,46
STEVENSON RANCH,6820008A,2627,10,N,0,VBM PORTION,96,29,55
STEVENSON RANCH,6820008A,2627,10,N,1007,TOTAL,170,52,101
STEVENSON RANCH,6820010A,2628,10,N,1472,POLLING PLACE,113,46,53
STEVENSON RANCH,6820010A,2628,10,N,0,VBM PORTION,134,41,70
STEVENSON RANCH,6820010A,2628,10,N,1472,TOTAL,247,87,123
STEVENSON RANCH,6820011A,2629,10,N,1007,POLLING PLACE,60,9,46
STEVENSON RANCH,6820011A,2629,10,N,0,VBM PORTION,93,19,63
STEVENSON RANCH,6820011A,2629,10,N,1007,TOTAL,153,28,109
VALENCIA,7360006A,2730,10,N,1132,POLLING PLACE,63,11,49
VALENCIA,7360006A,2730,10,N,0,VBM PORTION,91,28,53
VALENCIA,7360006A,2730,10,N,1132,TOTAL,154,39,102
LOS ANGELES,9000016A,2979,14,N,750,POLLING PLACE,100,36,57
LOS ANGELES,9000016A,2979,14,N,0,VBM PORTION,91,27,50
LOS ANGELES,9000016A,2979,14,N,750,TOTAL,191,63,107
LOS ANGELES,9000017A,2980,14,N,1231,POLLING PLACE,160,68,75
LOS ANGELES,9000017A,2980,14,N,0,VBM PORTION,126,59,51
LOS ANGELES,9000017A,2980,14,N,1231,TOTAL,286,127,126
LOS ANGELES,9000023A,2983,14,N,1109,POLLING PLACE,143,44,93
LOS ANGELES,9000023A,2983,14,N,0,VBM PORTION,125,38,65
LOS ANGELES,9000023A,2983,14,N,1109,TOTAL,268,82,158
LOS ANGELES,9000024A,2984,14,N,1372,POLLING PLACE,181,72,90
LOS ANGELES,9000024A,2984,14,N,0,VBM PORTION,160,56,85
LOS ANGELES,9000024A,2984,14,N,1372,TOTAL,341,128,175
LOS ANGELES,9000095A,3033,14,N,844,POLLING PLACE,69,26,36
LOS ANGELES,9000095A,3033,14,N,0,VBM PORTION,75,27,33
LOS ANGELES,9000095A,3033,14,N,844,TOTAL,144,53,69
LOS ANGELES,9000104A,3040,14,N,1117,POLLING PLACE,129,44,75
LOS ANGELES,9000104A,3040,14,N,0,VBM PORTION,123,37,73
LOS ANGELES,9000104A,3040,14,N,1117,TOTAL,252,81,148
LOS ANGELES,9000185C,3088,14,N,1566,POLLING PLACE,89,29,46
LOS ANGELES,9000185C,3088,14,N,0,VBM PORTION,153,74,59
LOS ANGELES,9000185C,3088,14,N,1566,TOTAL,242,103,105
LOS ANGELES,9000224A,3109,9,N,1535,POLLING PLACE,105,55,39
LOS ANGELES,9000224A,3109,9,N,0,VBM PORTION,102,59,30
LOS ANGELES,9000224A,3109,9,N,1535,TOTAL,207,114,69
LOS ANGELES,9000304A,3159,14,N,1261,POLLING PLACE,92,29,55
LOS ANGELES,9000304A,3159,14,N,0,VBM PORTION,118,39,59
LOS ANGELES,9000304A,3159,14,N,1261,TOTAL,210,68,114
LOS ANGELES,9000315C,3167,14,N,968,POLLING PLACE,142,52,81
LOS ANGELES,9000315C,3167,14,N,0,VBM PORTION,108,24,77
LOS ANGELES,9000315C,3167,14,N,968,TOTAL,250,76,158
LOS ANGELES,9000333A,3180,9,N,911,POLLING PLACE,90,38,42
LOS ANGELES,9000333A,3180,9,N,0,VBM PORTION,59,24,31
LOS ANGELES,9000333A,3180,9,N,911,TOTAL,149,62,73
LOS ANGELES,9000343A,3184,9,N,654,POLLING PLACE,71,37,29
LOS ANGELES,9000343A,3184,9,N,0,VBM PORTION,36,15,19
LOS ANGELES,9000343A,3184,9,N,654,TOTAL,107,52,48
LOS ANGELES,9000350A,3190,13,N,1166,POLLING PLACE,100,30,54
LOS ANGELES,9000350A,3190,13,N,0,VBM PORTION,95,29,43
LOS ANGELES,9000350A,3190,13,N,1166,TOTAL,195,59,97
LOS ANGELES,9000352A,3191,7,N,1232,POLLING PLACE,110,49,50
LOS ANGELES,9000352A,3191,7,N,0,VBM PORTION,96,49,37
LOS ANGELES,9000352A,3191,7,N,1232,TOTAL,206,98,87
LOS ANGELES,9000362A,3196,7,N,1313,POLLING PLACE,105,58,44
LOS ANGELES,9000362A,3196,7,N,0,VBM PORTION,101,46,50
LOS ANGELES,9000362A,3196,7,N,1313,TOTAL,206,104,94
LOS ANGELES,9000612A,3352,14,N,1179,POLLING PLACE,115,36,73
LOS ANGELES,9000612A,3352,14,N,0,VBM PORTION,138,38,78
LOS ANGELES,9000612A,3352,14,N,1179,TOTAL,253,74,151
LOS ANGELES,9001744A,6189,10,Y,0,POLLING PLACE,0,0,0
LOS ANGELES,9001744A,6189,10,Y,0,VBM PORTION,0,0,0
LOS ANGELES,9001744A,6189,10,Y,0,TOTAL,0,0,0
LOS ANGELES,9001754A,3838,9,N,1375,POLLING PLACE,124,51,65
LOS ANGELES,9001754A,3838,9,N,0,VBM PORTION,129,49,57
LOS ANGELES,9001754A,3838,9,N,1375,TOTAL,253,100,122
LOS ANGELES,9001805A,3869,9,N,1320,POLLING PLACE,138,53,70
LOS ANGELES,9001805A,3869,9,N,0,VBM PORTION,93,36,44
LOS ANGELES,9001805A,3869,9,N,1320,TOTAL,231,89,114
LOS ANGELES,9002264B,4061,13,N,508,POLLING PLACE,56,27,22
LOS ANGELES,9002264B,4061,13,N,0,VBM PORTION,50,23,16
LOS ANGELES,9002264B,4061,13,N,508,TOTAL,106,50,38
LOS ANGELES,9002381A,4119,13,N,571,POLLING PLACE,74,25,40
LOS ANGELES,9002381A,4119,13,N,0,VBM PORTION,77,13,51
LOS ANGELES,9002381A,4119,13,N,571,TOTAL,151,38,91
LOS ANGELES,9002509A,4172,9,N,849,POLLING PLACE,73,35,35
LOS ANGELES,9002509A,4172,9,N,0,VBM PORTION,75,26,40
LOS ANGELES,9002509A,4172,9,N,849,TOTAL,148,61,75
LOS ANGELES,9002536A,6197,8,Y,0,POLLING PLACE,0,0,0
LOS ANGELES,9002536A,6197,8,Y,0,VBM PORTION,0,0,0
LOS ANGELES,9002536A,6197,8,Y,0,TOTAL,0,0,0
LOS ANGELES,9002579A,6202,6,Y,0,POLLING PLACE,0,0,0
LOS ANGELES,9002579A,6202,6,Y,0,VBM PORTION,0,0,0
LOS ANGELES,9002579A,6202,6,Y,0,TOTAL,0,0,0
LOS ANGELES,9002614A,6207,13,Y,0,POLLING PLACE,0,0,0
LOS ANGELES,9002614A,6207,13,Y,0,VBM PORTION,0,0,0
LOS ANGELES,9002614A,6207,13,Y,0,TOTAL,0,0,0
LOS ANGELES,9002622A,6208,6,Y,31,POLLING PLACE,0,0,0
LOS ANGELES,9002622A,6208,6,Y,0,VBM PORTION,10,1,4
LOS ANGELES,9002622A,6208,6,Y,31,TOTAL,10,1,4
LOS ANGELES,9002828E,4251,14,N,1041,POLLING PLACE,128,57,62
LOS ANGELES,9002828E,4251,14,N,0,VBM PORTION,119,40,62
LOS ANGELES,9002828E,4251,14,N,1041,TOTAL,247,97,124
LOS ANGELES,9002892A,4261,9,N,1110,POLLING PLACE,102,38,56
LOS ANGELES,9002892A,4261,9,N,0,VBM PORTION,75,34,32
LOS ANGELES,9002892A,4261,9,N,1110,TOTAL,177,72,88
LOS ANGELES,9002968A,4277,14,N,1181,POLLING PLACE,141,41,91
LOS ANGELES,9002968A,4277,14,N,0,VBM PORTION,132,36,86
LOS ANGELES,9002968A,4277,14,N,1181,TOTAL,273,77,177
LOS ANGELES,9003055A,4283,14,N,1402,POLLING PLACE,235,100,118
LOS ANGELES,9003055A,4283,14,N,0,VBM PORTION,143,42,83
LOS ANGELES,9003055A,4283,14,N,1402,TOTAL,378,142,201
LOS ANGELES,9003088A,4287,14,N,816,POLLING PLACE,88,30,49
LOS ANGELES,9003088A,4287,14,N,0,VBM PORTION,86,32,41
LOS ANGELES,9003088A,4287,14,N,816,TOTAL,174,62,90
LOS ANGELES,9003466A,4321,14,N,587,POLLING PLACE,65,29,31
LOS ANGELES,9003466A,4321,14,N,0,VBM PORTION,95,34,49
LOS ANGELES,9003466A,4321,14,N,587,TOTAL,160,63,80
LOS ANGELES,9004234A,4368,14,N,1263,POLLING PLACE,100,39,51
LOS ANGELES,9004234A,4368,14,N,0,VBM PORTION,142,51,71
LOS ANGELES,9004234A,4368,14,N,1263,TOTAL,242,90,122
LOS ANGELES,9004245A,4372,13,N,1187,POLLING PLACE,120,51,61
LOS ANGELES,9004245A,4372,13,N,0,VBM PORTION,131,43,64
LOS ANGELES,9004245A,4372,13,N,1187,TOTAL,251,94,125
LOS ANGELES,9006232A,4478,9,N,823,POLLING PLACE,70,33,36
LOS ANGELES,9006232A,4478,9,N,0,VBM PORTION,90,43,33
LOS ANGELES,9006232A,4478,9,N,823,TOTAL,160,76,69
LOS ANGELES,9006233A,4479,9,N,800,POLLING PLACE,93,33,53
LOS ANGELES,9006233A,4479,9,N,0,VBM PORTION,86,36,41
LOS ANGELES,9006233A,4479,9,N,800,TOTAL,179,69,94
LOS ANGELES,9006237A,4480,9,N,1105,POLLING PLACE,114,45,64
LOS ANGELES,9006237A,4480,9,N,0,VBM PORTION,93,28,56
LOS ANGELES,9006237A,4480,9,N,1105,TOTAL,207,73,120
LOS ANGELES,9006239A,4481,9,N,952,POLLING PLACE,80,26,51
LOS ANGELES,9006239A,4481,9,N,0,VBM PORTION,77,30,38
LOS ANGELES,9006239A,4481,9,N,952,TOTAL,157,56,89
LOS ANGELES,9006242B,4482,9,N,1335,POLLING PLACE,126,60,57
LOS ANGELES,9006242B,4482,9,N,0,VBM PORTION,143,41,85
LOS ANGELES,9006242B,4482,9,N,1335,TOTAL,269,101,142
LOS ANGELES,9006246A,4483,10,N,911,POLLING PLACE,105,44,55
LOS ANGELES,9006246A,4483,10,N,0,VBM PORTION,119,44,58
LOS ANGELES,9006246A,4483,10,N,911,TOTAL,224,88,113
LOS ANGELES,9006247A,4484,10,N,912,POLLING PLACE,97,35,47
LOS ANGELES,9006247A,4484,10,N,0,VBM PORTION,90,44,37
LOS ANGELES,9006247A,4484,10,N,912,TOTAL,187,79,84
LOS ANGELES,9006248A,4485,10,N,788,POLLING PLACE,82,23,53
LOS ANGELES,9006248A,4485,10,N,0,VBM PORTION,79,38,30
LOS ANGELES,9006248A,4485,10,N,788,TOTAL,161,61,83
LOS ANGELES,9006249A,4486,10,N,899,POLLING PLACE,111,34,62
LOS ANGELES,9006249A,4486,10,N,0,VBM PORTION,114,38,60
LOS ANGELES,9006249A,4486,10,N,899,TOTAL,225,72,122
LOS ANGELES,9006251A,4487,13,N,1048,POLLING PLACE,102,30,59
LOS ANGELES,9006251A,4487,13,N,0,VBM PORTION,122,35,71
LOS ANGELES,9006251A,4487,13,N,1048,TOTAL,224,65,130
LOS ANGELES,9006252A,4488,10,N,591,POLLING PLACE,57,18,31
LOS ANGELES,9006252A,4488,10,N,0,VBM PORTION,76,23,42
LOS ANGELES,9006252A,4488,10,N,591,TOTAL,133,41,73
LOS ANGELES,9006253A,4489,9,N,1389,POLLING PLACE,153,53,83
LOS ANGELES,9006253A,4489,9,N,0,VBM PORTION,154,53,84
LOS ANGELES,9006253A,4489,9,N,1389,TOTAL,307,106,167
LOS ANGELES,9006256A,4490,12,N,928,POLLING PLACE,116,54,49
LOS ANGELES,9006256A,4490,12,N,0,VBM PORTION,115,42,53
LOS ANGELES,9006256A,4490,12,N,928,TOTAL,231,96,102
LOS ANGELES,9006257A,4491,9,N,1189,POLLING PLACE,101,52,43
LOS ANGELES,9006257A,4491,9,N,0,VBM PORTION,109,50,49
LOS ANGELES,9006257A,4491,9,N,1189,TOTAL,210,102,92
LOS ANGELES,9006258A,4492,9,N,1181,POLLING PLACE,146,77,63
LOS ANGELES,9006258A,4492,9,N,0,VBM PORTION,97,44,46
LOS ANGELES,9006258A,4492,9,N,1181,TOTAL,243,121,109
LOS ANGELES,9007774A,4617,9,N,1004,POLLING PLACE,134,40,86
LOS ANGELES,9007774A,4617,9,N,0,VBM PORTION,116,37,48
LOS ANGELES,9007774A,4617,9,N,1004,TOTAL,250,77,134
LOS ANGELES,9007781A,4618,9,N,968,POLLING PLACE,111,52,54
LOS ANGELES,9007781A,4618,9,N,0,VBM PORTION,107,39,53
LOS ANGELES,9007781A,4618,9,N,968,TOTAL,218,91,107
LOS ANGELES,9007782A,4619,14,N,1271,POLLING PLACE,65,23,30
LOS ANGELES,9007782A,4619,14,N,0,VBM PORTION,97,25,60
LOS ANGELES,9007782A,4619,14,N,1271,TOTAL,162,48,90
LOS ANGELES,9007785A,4620,10,N,1199,POLLING PLACE,106,40,52
LOS ANGELES,9007785A,4620,10,N,0,VBM PORTION,116,27,70
LOS ANGELES,9007785A,4620,10,N,1199,TOTAL,222,67,122
LOS ANGELES,9007790B,4621,9,N,1377,POLLING PLACE,122,47,68
LOS ANGELES,9007790B,4621,9,N,0,VBM PORTION,121,48,47
LOS ANGELES,9007790B,4621,9,N,1377,TOTAL,243,95,115
LOS ANGELES,9007794A,4622,9,N,1218,POLLING PLACE,85,40,39
LOS ANGELES,9007794A,4622,9,N,0,VBM PORTION,47,17,20
LOS ANGELES,9007794A,4622,9,N,1218,TOTAL,132,57,59
LOS ANGELES,9007833A,4626,12,N,878,POLLING PLACE,118,53,57
LOS ANGELES,9007833A,4626,12,N,0,VBM PORTION,105,36,42
LOS ANGELES,9007833A,4626,12,N,878,TOTAL,223,89,99
LOS ANGELES,9007838A,4627,12,N,1097,POLLING PLACE,146,71,62
LOS ANGELES,9007838A,4627,12,N,0,VBM PORTION,128,34,63
LOS ANGELES,9007838A,4627,12,N,1097,TOTAL,274,105,125
BALLOT GROUP 6,9990006A,8006,6,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 6,9990006A,8006,6,N,0,VBM PORTION,0,0,0
BALLOT GROUP 6,9990006A,8006,6,N,0,TOTAL,0,0,0
BALLOT GROUP 7,9990007A,8007,7,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 7,9990007A,8007,7,N,0,VBM PORTION,0,0,0
BALLOT GROUP 7,9990007A,8007,7,N,0,TOTAL,0,0,0
BALLOT GROUP 8,9990008A,8008,8,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 8,9990008A,8008,8,N,0,VBM PORTION,0,0,0
BALLOT GROUP 8,9990008A,8008,8,N,0,TOTAL,0,0,0
BALLOT GROUP 9,9990009A,8009,9,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 9,9990009A,8009,9,N,0,VBM PORTION,6,3,0
BALLOT GROUP 9,9990009A,8009,9,N,0,TOTAL,3,3,0
BALLOT GROUP 10,9990010A,8010,10,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 10,9990010A,8010,10,N,0,VBM PORTION,4,0,1
BALLOT GROUP 10,9990010A,8010,10,N,0,TOTAL,2,0,1
BALLOT GROUP 11,9990011A,8011,11,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 11,9990011A,8011,11,N,0,VBM PORTION,0,0,0
BALLOT GROUP 11,9990011A,8011,11,N,0,TOTAL,0,0,0
BALLOT GROUP 12,9990012A,8012,12,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 12,9990012A,8012,12,N,0,VBM PORTION,0,0,0
BALLOT GROUP 12,9990012A,8012,12,N,0,TOTAL,0,0,0
BALLOT GROUP 13,9990013A,8013,13,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 13,9990013A,8013,13,N,0,VBM PORTION,0,0,0
BALLOT GROUP 13,9990013A,8013,13,N,0,TOTAL,0,0,0
BALLOT GROUP 14,9990014A,8014,14,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 14,9990014A,8014,14,N,0,VBM PORTION,4,0,1
BALLOT GROUP 14,9990014A,8014,14,N,0,TOTAL,2,0,1
