LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GEOFF RIZZO,KURT WEIDEMAN,AURELIO MATTUCCI,RYAN MAND,L KIMMEL-DAGOSTINO,RAHMAT KHAN,JOHN PAUL TABAKIAN,CLINT A PAULSON,MILTON HERRING,HEIDI ANN ASHCRAFT,OMAR NAVARRO,MIKE GRIFFITHS,TIM GOODRICH,CHARLOTTE A SVOLOS,ALEX M SEE,NORM SEGEL
TORRANCE,7150068B,2694,182,N,0,VBM PORTION,179,55,78,25,6,55,17,9,12,33,74,0,37,63,11,53,3
TORRANCE,7150068B,2694,182,N,1173,TOTAL,359,96,159,63,10,109,36,22,29,79,162,1,74,132,26,91,5
TORRANCE,7150069A,2695,182,N,1152,POLLING PLACE,166,56,63,34,6,34,18,8,19,29,75,5,28,60,19,27,5
TORRANCE,7150069A,2695,182,N,0,VBM PORTION,140,45,48,34,3,53,12,11,21,27,59,4,29,45,16,34,3
TORRANCE,7150069A,2695,182,N,1152,TOTAL,306,101,111,68,9,87,30,19,40,56,134,9,57,105,35,61,8
TORRANCE,7150071A,2696,180,N,984,POLLING PLACE,210,82,63,34,7,44,13,8,57,32,99,4,42,90,20,33,8
TORRANCE,7150071A,2696,180,N,0,VBM PORTION,133,55,39,13,3,27,5,10,27,19,62,3,28,46,14,22,3
TORRANCE,7150071A,2696,180,N,984,TOTAL,343,137,102,47,10,71,18,18,84,51,161,7,70,136,34,55,11
TORRANCE,7150076A,2697,185,N,1121,POLLING PLACE,109,33,26,14,2,31,12,14,13,27,27,2,11,29,17,21,4
TORRANCE,7150076A,2697,185,N,0,VBM PORTION,177,57,60,18,12,57,9,19,26,42,61,3,22,54,20,34,13
TORRANCE,7150076A,2697,185,N,1121,TOTAL,286,90,86,32,14,88,21,33,39,69,88,5,33,83,37,55,17
TORRANCE,7150077A,2698,185,N,950,POLLING PLACE,114,18,38,15,4,31,18,9,8,30,42,3,25,42,8,25,1
TORRANCE,7150077A,2698,185,N,0,VBM PORTION,143,38,47,16,7,31,7,8,11,25,53,1,33,48,17,28,4
TORRANCE,7150077A,2698,185,N,950,TOTAL,257,56,85,31,11,62,25,17,19,55,95,4,58,90,25,53,5
TORRANCE,7150078D,2699,180,N,749,POLLING PLACE,112,55,43,12,5,31,8,11,11,23,62,0,25,35,10,12,3
TORRANCE,7150078D,2699,180,N,0,VBM PORTION,156,50,54,26,10,35,6,16,20,24,65,4,22,46,18,30,2
TORRANCE,7150078D,2699,180,N,749,TOTAL,268,105,97,38,15,66,14,27,31,47,127,4,47,81,28,42,5
TORRANCE,7150081B,2700,180,N,902,POLLING PLACE,142,48,28,23,10,32,9,14,23,34,61,4,21,43,16,26,7
TORRANCE,7150081B,2700,180,N,0,VBM PORTION,150,50,50,21,5,27,17,15,31,22,69,3,28,66,13,25,11
TORRANCE,7150081B,2700,180,N,902,TOTAL,292,98,78,44,15,59,26,29,54,56,130,7,49,109,29,51,18
TORRANCE,7150082A,2701,180,N,1156,POLLING PLACE,224,65,52,51,20,46,25,19,28,40,85,13,40,63,30,49,9
TORRANCE,7150082A,2701,180,N,0,VBM PORTION,137,43,45,35,6,34,10,11,19,25,53,2,29,43,17,25,6
TORRANCE,7150082A,2701,180,N,1156,TOTAL,361,108,97,86,26,80,35,30,47,65,138,15,69,106,47,74,15
TORRANCE,7150084A,2702,180,N,1039,POLLING PLACE,191,61,50,67,10,44,10,8,26,31,80,5,38,77,21,36,6
TORRANCE,7150084A,2702,180,N,0,VBM PORTION,157,61,55,51,4,35,8,16,16,29,68,3,37,49,26,22,4
TORRANCE,7150084A,2702,180,N,1039,TOTAL,348,122,105,118,14,79,18,24,42,60,148,8,75,126,47,58,10
TORRANCE,7150087A,2703,182,N,1243,POLLING PLACE,137,37,38,28,4,36,8,10,12,39,60,2,28,46,11,26,7
TORRANCE,7150087A,2703,182,N,0,VBM PORTION,169,52,54,30,5,47,11,18,25,40,55,2,32,51,19,38,1
TORRANCE,7150087A,2703,182,N,1243,TOTAL,306,89,92,58,9,83,19,28,37,79,115,4,60,97,30,64,8
TORRANCE,7150090A,2704,180,N,980,POLLING PLACE,168,51,51,38,6,33,5,15,25,26,70,3,37,58,16,36,13
TORRANCE,7150090A,2704,180,N,0,VBM PORTION,163,54,59,24,4,35,7,7,16,32,77,2,51,54,15,42,4
TORRANCE,7150090A,2704,180,N,980,TOTAL,331,105,110,62,10,68,12,22,41,58,147,5,88,112,31,78,17
TORRANCE,7150092B,2705,180,N,1253,POLLING PLACE,262,86,82,69,14,41,24,18,51,47,91,6,50,115,19,39,15
TORRANCE,7150092B,2705,180,N,0,VBM PORTION,179,45,60,35,16,37,9,13,29,28,72,1,36,83,21,30,6
TORRANCE,7150092B,2705,180,N,1253,TOTAL,441,131,142,104,30,78,33,31,80,75,163,7,86,198,40,69,21
TORRANCE,7150094A,2706,180,N,1374,POLLING PLACE,174,45,58,29,9,27,22,11,22,29,51,8,51,67,17,44,11
TORRANCE,7150094A,2706,180,N,0,VBM PORTION,163,35,45,31,8,40,17,8,14,28,45,6,38,34,21,54,8
