LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PATRICK O'DONNELL,JOHN C GOYA,
LONG BEACH,3850271A,1555,392,N,1034,POLLING PLACE,239,135,92,
LONG BEACH,3850271A,1555,392,N,,VBM PORTION,84,35,44,
LONG BEACH,3850271A,1555,392,N,1034,TOTAL,323,170,136,
LONG BEACH,3850272A,1556,392,N,985,POLLING PLACE,213,105,98,
LONG BEACH,3850272A,1556,392,N,,VBM PORTION,84,31,43,
LONG BEACH,3850272A,1556,392,N,985,TOTAL,297,136,141,
LONG BEACH,3850275A,1557,392,N,1077,POLLING PLACE,245,133,99,
LONG BEACH,3850275A,1557,392,N,,VBM PORTION,144,66,68,
LONG BEACH,3850275A,1557,392,N,1077,TOTAL,389,199,167,
LONG BEACH,3850276A,1558,392,N,1128,POLLING PLACE,272,121,133,
LONG BEACH,3850276A,1558,392,N,,VBM PORTION,146,62,75,
LONG BEACH,3850276A,1558,392,N,1128,TOTAL,418,183,208,
LONG BEACH,3850280A,1559,392,N,1212,POLLING PLACE,300,125,157,
LONG BEACH,3850280A,1559,392,N,,VBM PORTION,229,85,128,
LONG BEACH,3850280A,1559,392,N,1212,TOTAL,529,210,285,
LONG BEACH,3850285A,1560,392,N,1035,POLLING PLACE,238,113,116,
LONG BEACH,3850285A,1560,392,N,,VBM PORTION,152,54,93,
LONG BEACH,3850285A,1560,392,N,1035,TOTAL,390,167,209,
LONG BEACH,3850287A,1561,392,N,835,POLLING PLACE,206,109,72,
LONG BEACH,3850287A,1561,392,N,,VBM PORTION,104,49,49,
LONG BEACH,3850287A,1561,392,N,835,TOTAL,310,158,121,
LONG BEACH,3850290A,1562,392,N,1186,POLLING PLACE,245,109,126,
LONG BEACH,3850290A,1562,392,N,,VBM PORTION,194,69,116,
LONG BEACH,3850290A,1562,392,N,1186,TOTAL,439,178,242,
LONG BEACH,3850293B,1563,392,N,843,POLLING PLACE,190,93,89,
LONG BEACH,3850293B,1563,392,N,,VBM PORTION,126,47,64,
LONG BEACH,3850293B,1563,392,N,843,TOTAL,316,140,153,
LONG BEACH,3850294A,1564,392,N,840,POLLING PLACE,195,98,90,
LONG BEACH,3850294A,1564,392,N,,VBM PORTION,62,27,31,
LONG BEACH,3850294A,1564,392,N,840,TOTAL,257,125,121,
LONG BEACH,3850295A,1565,392,N,1247,POLLING PLACE,260,137,116,
LONG BEACH,3850295A,1565,392,N,,VBM PORTION,136,59,66,
LONG BEACH,3850295A,1565,392,N,1247,TOTAL,396,196,182,
LONG BEACH,3850296B,1566,396,N,1013,POLLING PLACE,39,26,9,
LONG BEACH,3850296B,1566,396,N,,VBM PORTION,12,11,,
LONG BEACH,3850296B,1566,396,N,1013,TOTAL,51,37,9,
LONG BEACH,3850302A,1567,392,N,1327,POLLING PLACE,378,231,133,
