LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICHARD BLOOM,BRADLY S TORGAN,
SANTA MONICA,6250071A,2489,181,N,,VBM PORTION,55,37,11,
SANTA MONICA,6250071A,2489,181,N,930,TOTAL,253,203,30,
SANTA MONICA,6250072A,2490,181,N,1294,POLLING PLACE,460,329,87,
SANTA MONICA,6250072A,2490,181,N,,VBM PORTION,135,76,46,
SANTA MONICA,6250072A,2490,181,N,1294,TOTAL,595,405,133,
SANTA MONICA,6250076B,2491,181,N,878,POLLING PLACE,276,184,59,
SANTA MONICA,6250076B,2491,181,N,,VBM PORTION,68,41,20,
SANTA MONICA,6250076B,2491,181,N,878,TOTAL,344,225,79,
SANTA MONICA,6250078A,2492,181,N,826,POLLING PLACE,212,150,41,
SANTA MONICA,6250078A,2492,181,N,,VBM PORTION,47,25,16,
SANTA MONICA,6250078A,2492,181,N,826,TOTAL,259,175,57,
SANTA MONICA,6250081A,2493,181,N,1103,POLLING PLACE,372,280,58,
SANTA MONICA,6250081A,2493,181,N,,VBM PORTION,76,49,25,
SANTA MONICA,6250081A,2493,181,N,1103,TOTAL,448,329,83,
SANTA MONICA,6250083A,2494,181,N,1180,POLLING PLACE,384,266,82,
SANTA MONICA,6250083A,2494,181,N,,VBM PORTION,85,58,19,
SANTA MONICA,6250083A,2494,181,N,1180,TOTAL,469,324,101,
SANTA MONICA,6250085A,2495,181,N,1252,POLLING PLACE,324,234,67,
SANTA MONICA,6250085A,2495,181,N,,VBM PORTION,121,75,35,
SANTA MONICA,6250085A,2495,181,N,1252,TOTAL,445,309,102,
SANTA MONICA,6250089A,2496,181,N,1207,POLLING PLACE,455,303,119,
SANTA MONICA,6250089A,2496,181,N,,VBM PORTION,122,73,41,
SANTA MONICA,6250089A,2496,181,N,1207,TOTAL,577,376,160,
SANTA MONICA,6250092A,2497,181,N,1231,POLLING PLACE,346,257,58,
SANTA MONICA,6250092A,2497,181,N,,VBM PORTION,99,75,18,
SANTA MONICA,6250092A,2497,181,N,1231,TOTAL,445,332,76,
SANTA MONICA,6250094B,2498,181,N,943,POLLING PLACE,237,151,59,
SANTA MONICA,6250094B,2498,181,N,,VBM PORTION,75,52,16,
SANTA MONICA,6250094B,2498,181,N,943,TOTAL,312,203,75,
SANTA MONICA,6250095A,2499,181,N,1311,POLLING PLACE,302,210,68,
SANTA MONICA,6250095A,2499,181,N,,VBM PORTION,126,87,35,
SANTA MONICA,6250095A,2499,181,N,1311,TOTAL,428,297,103,
