LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SUE HIMMELRICH,JERRY RUBIN,PAM O'CONNOR,TERENCE LATER,FRANK GRUBER,PHIL BROCK,NICK BOLES,WHITNEY SCOTT BAIN,ZOE MUNTANER,KEVIN MCKEOWN,RICHARD MCKINNON,JON MANN,MICHAEL FEINSTEIN,JENNIFER KENNEDY,
SANTA MONICA,6250083A,2494,181,N,1180,TOTAL,469,165,31,114,48,108,108,19,33,17,201,88,24,70,79,
SANTA MONICA,6250085A,2495,181,N,1252,POLLING PLACE,324,100,14,68,16,72,84,20,18,4,144,79,17,45,61,
SANTA MONICA,6250085A,2495,181,N,,VBM PORTION,121,42,7,34,9,24,29,4,7,3,51,34,7,11,17,
SANTA MONICA,6250085A,2495,181,N,1252,TOTAL,445,142,21,102,25,96,113,24,25,7,195,113,24,56,78,
SANTA MONICA,6250089A,2496,181,N,1207,POLLING PLACE,455,140,22,98,32,121,116,18,24,10,193,100,15,85,86,
SANTA MONICA,6250089A,2496,181,N,,VBM PORTION,122,30,5,34,11,29,30,5,11,3,56,27,1,18,31,
SANTA MONICA,6250089A,2496,181,N,1207,TOTAL,577,170,27,132,43,150,146,23,35,13,249,127,16,103,117,
SANTA MONICA,6250092A,2497,181,N,1231,POLLING PLACE,346,120,23,73,15,89,77,13,6,6,171,85,7,45,60,
SANTA MONICA,6250092A,2497,181,N,,VBM PORTION,99,23,8,17,5,30,21,4,1,1,43,27,5,15,13,
SANTA MONICA,6250092A,2497,181,N,1231,TOTAL,445,143,31,90,20,119,98,17,7,7,214,112,12,60,73,
SANTA MONICA,6250094B,2498,181,N,943,POLLING PLACE,237,96,16,47,10,34,51,8,11,7,94,29,7,33,50,
SANTA MONICA,6250094B,2498,181,N,,VBM PORTION,75,27,8,15,2,6,8,2,2,3,35,10,,5,13,
SANTA MONICA,6250094B,2498,181,N,943,TOTAL,312,123,24,62,12,40,59,10,13,10,129,39,7,38,63,
SANTA MONICA,6250095A,2499,181,N,1311,POLLING PLACE,302,106,30,82,23,59,48,22,12,7,111,48,15,42,64,
SANTA MONICA,6250095A,2499,181,N,,VBM PORTION,126,58,9,30,5,21,22,1,4,1,44,24,6,12,27,
SANTA MONICA,6250095A,2499,181,N,1311,TOTAL,428,164,39,112,28,80,70,23,16,8,155,72,21,54,91,
SANTA MONICA,6250098A,2500,181,N,1199,POLLING PLACE,326,112,22,55,21,63,61,7,10,11,129,63,29,74,46,
SANTA MONICA,6250098A,2500,181,N,,VBM PORTION,78,22,7,21,2,10,13,7,6,1,24,10,6,10,7,
SANTA MONICA,6250098A,2500,181,N,1199,TOTAL,404,134,29,76,23,73,74,14,16,12,153,73,35,84,53,
SANTA MONICA,6250106A,2501,181,N,955,POLLING PLACE,249,86,19,61,14,52,51,21,8,5,97,65,17,48,49,
SANTA MONICA,6250106A,2501,181,N,,VBM PORTION,101,36,10,24,6,23,14,2,4,5,32,12,7,7,17,
SANTA MONICA,6250106A,2501,181,N,955,TOTAL,350,122,29,85,20,75,65,23,12,10,129,77,24,55,66,
SANTA MONICA,6250107A,2502,181,N,1181,POLLING PLACE,336,120,28,82,12,69,36,19,4,8,127,79,12,50,70,
SANTA MONICA,6250107A,2502,181,N,,VBM PORTION,129,32,13,48,4,18,20,4,6,8,48,24,8,17,16,
SANTA MONICA,6250107A,2502,181,N,1181,TOTAL,465,152,41,130,16,87,56,23,10,16,175,103,20,67,86,
SANTA MONICA,6250110D,2503,181,N,910,POLLING PLACE,245,84,20,60,4,49,53,14,10,5,87,32,16,35,57,
SANTA MONICA,6250110D,2503,181,N,,VBM PORTION,60,24,7,13,3,9,9,2,6,2,28,7,4,8,18,
SANTA MONICA,6250110D,2503,181,N,910,TOTAL,305,108,27,73,7,58,62,16,16,7,115,39,20,43,75,
SANTA MONICA,6250113A,2504,181,N,1372,POLLING PLACE,294,112,18,78,15,45,70,14,18,6,117,55,15,37,61,
SANTA MONICA,6250113A,2504,181,N,,VBM PORTION,119,40,4,23,10,16,19,7,11,11,30,11,7,23,25,
SANTA MONICA,6250113A,2504,181,N,1372,TOTAL,413,152,22,101,25,61,89,21,29,17,147,66,22,60,86,
