Precinct,Ballot_Group,Consolidation,IsVoteByMail
2550065C,45,2550065A,0
1000010F,56,1000010A,0
7750077E,79,7750077A,0
0700003E,164,0700007B,0
9002481C,136,9002481A,0
9005937B,146,9005937A,0
1450147G,179,1450147A,0
5230016G,127,5230013A,0
6220037H,14,6220023A,0
9001394A,152,9001390A,1
4500002F,69,4500001A,0
7770002A,50,7770002A,0
2930017E,114,2930017A,1
3450062A,160,3450062A,0
9002396A,21,9000497A,0
9001267B,43,9001267A,0
9000823G,86,9003518A,0
2950010E,155,2950010A,0
9002595C,58,9000197B,0
9005818C,82,9005818A,0
9000509B,21,9000509A,0
2950047B,155,2950047B,0
9005927D,81,9005924A,0
1040023B,14,1040020A,0
1850079B,129,1850079A,0
9003036A,104,9003036A,0
9003606E,21,9003606B,0
3850080B,208,3850216A,0
5150197C,36,5150197A,0
9001911D,94,9001904A,0
7680016B,196,7680016A,0
0750031C,124,0750031C,0
7800167G,120,7800167C,0
9002047B,138,9002047B,0
2500064A,196,2500064A,0
7800052B,120,7800058B,0
9007927C,55,9007927A,0
5150213C,36,5150213A,0
1300003F,37,1300003A,0
3750009W,36,3750010F,1
6550060F,171,6550060A,0
5230023E,127,5230023A,0
1000015C,56,1000013A,0
1900021F,67,1900021C,0
5250034C,90,5250038A,0
1040002D,14,1040002A,0
9000612C,19,9000612A,0
3550117B,2,3550034A,0
2100034G,64,2100034A,0
1040024A,14,1040020A,0
3850061B,204,3850049A,0
3400016F,39,3400016A,0
2950030B,155,2950030A,0
6220140C,14,6220003A,0
9002863C,150,9002863A,0
9000872B,86,9000872A,0
5230018E,127,5230018A,0
9000683D,49,9001184A,0
9000823H,86,9003518A,0
1450133F,179,1450133A,0
9000024D,19,9000024A,0
0750021B,129,0750021A,0
9002283A,80,9002283A,0
9000803F,86,9000319A,0
3550103F,1,3550101A,1
9007132E,60,9007131A,0
6050012B,21,6050012A,0
3150026A,46,3150021A,0
9002435A,136,9002077A,0
9002321B,58,9002321A,0
5230003A,127,5230080B,1
9001419B,86,9001419A,0
6220179H,3,6220179A,0
4800011F,120,4800011A,0
5150026A,38,5150004A,0
0950035B,41,0950035A,0
7750043A,79,7750043A,0
4800004D,124,4800004A,0
9006398D,215,9006398A,0
3300013C,120,3300070A,0
5550093A,190,5550090A,0
3750005K,2,3750005A,0
4500050A,69,4500023A,0
3850377D,209,3850374A,0
7150038B,191,7150038A,0
9002067C,104,9002102A,0
4780009A,120,4780003A,1
2500010A,196,2500010A,0
6220122E,18,6220040C,0
3300017E,120,3300017A,0
3990003F,156,3990003A,0
7680012C,196,7680012A,0
5000048E,2,5000048A,0
3850363C,209,3850067B,0
5530005C,192,5530018B,0
9006618D,55,9006618B,0
9000520B,21,9002305A,0
3850366C,209,3850366A,0
9000148A,58,9000148A,0
9000969G,85,9000969A,0
7150115E,191,7150115A,0
3850618D,205,3850618A,0
2850007B,99,2850001A,0
1500035B,63,1500035A,0
9001960A,175,9000354A,0
5000001C,2,5000008A,0
3450007A,161,3450007A,0
6700006A,120,6700062A,0
1450002A,179,1450002A,0
9001474E,104,9001474C,0
3430005C,104,3430007A,0
7150149F,198,7150149A,0
6220085J,14,6220042A,0
7150002C,198,7150002A,0
1770072A,2,1770001A,0
9000385C,58,9000385A,0
3550016C,1,3550064A,0
2100053D,72,2100053A,0
9001024B,136,9001024A,0
9000750C,43,9000750A,0
6600013D,36,6600013A,0
9000208A,30,9000416A,0
7700080D,109,7700122A,0
6200006G,75,6200006A,0
9002544E,180,9002544B,0
1750005A,2,1750001A,0
6250083B,81,6250083A,0
5100014B,163,5100014A,0
1960003E,180,1960003A,0
5100007G,163,5100007A,0
9000695B,30,9005656A,0
2700040A,155,2700039B,0
6550031A,171,6550031A,0
3450012D,161,3450013B,0
9001173F,60,9001173A,0
5150079A,36,5150079A,0
1000077F,56,1000077A,0
9000370A,20,9005662A,0
9002587C,176,9002587A,0
4500005D,69,4500005A,0
9001869A,94,9002099A,0
